Realization Number,Raleigh Average Weekly Release Volume (MGW),Durham Average Weekly Buyback Volume (MGW),Total Realization Cost of Releases to Raleigh,Total Realization Cost of Releases to Durham,Raleigh Average Weekly Transfer Volume (MGW),Durham Average Weekly Transfer Volume (MGW),Total Realization Cost of Transfers to Raleigh,Total Realization Cost of Transfers to Durham
69,25.9802,1.71051,1.52535,-1.52535,0.0636105,0.745443,0.456469,5.3493
70,27.711,2.23625,-2.24732,2.24732,0.109206,1.24333,0.783659,8.92215
71,23.9895,2.41683,-3.54315,3.54315,0.154701,0.996035,1.11013,7.14755
72,14.9915,1.52455,2.85982,-2.85982,0.103291,0.393199,0.741215,2.82159
73,25.1939,2.47763,-3.97944,3.97944,0.0192367,0.23786,0.138043,1.70688
74,17.857,1.22349,5.02026,-5.02026,0.126275,0.375265,0.906149,2.6929
75,27.9462,2.26696,-2.46769,2.46769,0.186431,1.12055,1.33783,8.04107
76,12.3584,0.775846,8.23253,-8.23253,0,0.347189,0,2.49143
77,15.8789,1.21916,5.0513,-5.0513,0.12895,0.522183,0.925348,3.74719
78,23.5577,1.67919,1.75012,-1.75012,0.0674234,0.695033,0.48383,4.98755
79,22.3184,1.44161,3.455,-3.455,0.00565028,0.39113,0.0405464,2.80675
80,34.3326,2.58933,-4.781,4.781,0.139201,0.546628,0.99891,3.92261
81,33.6753,2.04735,-0.891809,0.891809,0.16763,0.709744,1.20291,5.09312
82,28.5916,2.7385,-5.85145,5.85145,0.0634131,0.924849,0.455052,6.63672
83,23.2842,2.25196,-2.36004,2.36004,0.105114,0.491439,0.754297,3.52656
84,20.3894,1.36364,4.01454,-4.01454,0.073457,0.724092,0.527128,5.19609
85,23.5409,1.70358,1.5751,-1.5751,0.0857811,0.66331,0.615565,4.75991
86,15.0662,1.183,5.31081,-5.31081,0.0588362,0.513998,0.422209,3.68845
87,19.5966,1.02593,6.43791,-6.43791,0.0033886,0.334743,0.0243166,2.40211
88,25.0438,1.69091,1.66606,-1.66606,0.0762231,0.4447,0.546977,3.19116
89,20.6403,2.32925,-2.91468,2.91468,0.131339,0.634363,0.942492,4.55219
90,20.4682,0.816135,7.94341,-7.94341,0.0539696,0.28028,0.387286,2.01129
91,37.8766,2.96,-7.44095,7.44095,0.0814056,0.948235,0.584167,6.80454
92,18.806,1.7554,1.20325,-1.20325,0.143326,0.906043,1.02851,6.50176
93,33.393,2.33652,-2.96688,2.96688,0.114765,0.816126,0.823554,5.85652
94,29.251,1.88256,0.290722,-0.290722,0.0529098,0.792835,0.37968,5.68938
95,19.5153,1.78928,0.960105,-0.960105,0.00796755,0.213093,0.0571751,1.52916
96,25.8799,1.41637,3.63613,-3.63613,0.0561371,0.816409,0.40284,5.85855
97,17.0865,1.17869,5.34171,-5.34171,0.0527155,0.397623,0.378286,2.85334
98,13.0901,0.614407,9.39101,-9.39101,0.0297546,0.502073,0.213519,3.60288
99,20.8985,1.26974,4.68836,-4.68836,0.222053,0.799639,1.59345,5.73821
