Realization Number,Raleigh Average Weekly Release Volume (MGW),Durham Average Weekly Buyback Volume (MGW),Total Realization Cost of Releases to Raleigh,Total Realization Cost of Releases to Durham,Raleigh Average Weekly Transfer Volume (MGW),Durham Average Weekly Transfer Volume (MGW),Total Realization Cost of Transfers to Raleigh,Total Realization Cost of Transfers to Durham
0,5.42887,0.520982,10.0614,-10.0614,0.15055,0.685199,1.08035,4.91699
1,4.70683,0.0327813,13.5648,-13.5648,0.0308525,0.431982,0.221398,3.0999
2,2.22168,0.145975,12.7525,-12.7525,0,0.214357,0,1.53823
3,5.83544,0.422686,10.7668,-10.7668,0.0673369,0.510032,0.48321,3.65999
4,12.0379,0.936699,7.07825,-7.07825,0.0948142,0.671673,0.680386,4.81992
5,3.3427,0.303773,11.6201,-11.6201,0.038337,0.273738,0.275106,1.96434
6,7.68439,0.475049,10.391,-10.391,0.0457795,0.413687,0.328514,2.96862
7,5.11751,0.575876,9.66751,-9.66751,0.0831696,0.754582,0.596825,5.41488
8,6.35784,0.709025,8.71204,-8.71204,0.0828723,0.499435,0.594691,3.58394
9,13.0459,1.52824,2.83337,-2.83337,0.185317,0.795654,1.32983,5.70962
10,8.47321,0.540661,9.92022,-9.92022,0.0158363,0.249046,0.113641,1.78715
11,5.78738,0.815832,7.94559,-7.94559,0.0931645,0.390305,0.668549,2.80083
12,9.12814,0.632026,9.26458,-9.26458,0,0.407877,0,2.92693
13,9.93639,1.14133,5.6098,-5.6098,0.218465,0.96331,1.56771,6.91271
14,7.75374,0.440736,10.6373,-10.6373,0.0342877,0.349916,0.246048,2.511
15,15.0777,1.35141,4.10225,-4.10225,0.064403,0.748932,0.462156,5.37434
16,6.56259,0.778234,8.21539,-8.21539,0.0698535,0.403135,0.501269,2.8929
17,15.2613,1.46632,3.27769,-3.27769,0.210301,0.877534,1.50912,6.29719
18,9.6255,0.665872,9.0217,-9.0217,0.0129729,0.179174,0.0930937,1.28575
19,6.77631,0.859574,7.63169,-7.63169,0.071662,0.0891193,0.514247,0.63952
20,4.6159,0.443456,10.6178,-10.6178,0.0588793,0.490131,0.422518,3.51718
21,6.87523,0.88189,7.47156,-7.47156,0.0667235,0.979462,0.478808,7.02862
22,5.0872,0.893273,7.38988,-7.38988,0.206135,0.872831,1.47923,6.26344
23,3.96353,0.318512,11.5144,-11.5144,0.0135409,0.456796,0.0971697,3.27797
24,5.10821,0.363425,11.1921,-11.1921,0.0526397,0.194469,0.377742,1.39551
25,10.9721,1.17933,5.33714,-5.33714,0.169442,0.885397,1.21591,6.35361
26,10.9344,1.46387,3.29528,-3.29528,0.145493,0.468809,1.04406,3.36417
27,10.2756,1.00154,6.61292,-6.61292,0.114626,0.43951,0.822553,3.15393
28,6.32008,0.503272,10.1885,-10.1885,0.0539909,0.412259,0.387438,2.95837
29,8.74819,0.606095,9.45066,-9.45066,0.117097,0.995281,0.840286,7.14214
30,4.81377,0.742176,8.47415,-8.47415,0.00150144,0.516615,0.0107743,3.70723
31,7.09147,0.45415,10.541,-10.541,0.0876247,1.03753,0.628795,7.44534
32,10.4987,1.26322,4.73517,-4.73517,0.153815,0.364005,1.10378,2.6121
33,6.80387,0.546142,9.88089,-9.88089,0.0219413,0.556952,0.157451,3.99669
34,3.78481,0.257548,11.9518,-11.9518,0.00711376,0.157284,0.0510484,1.12867
35,8.29818,1.04519,6.29971,-6.29971,0.043537,0.412594,0.312422,2.96078
36,5.23734,0.286585,11.7435,-11.7435,0.00888284,0.257073,0.0637433,1.84476
37,8.8377,1.04692,6.28731,-6.28731,0.269092,0.714511,1.93101,5.12733
38,12.7674,1.13775,5.63551,-5.63551,0.143025,0.635158,1.02635,4.55789
39,2.90841,0.208259,12.3055,-12.3055,0.0536554,0.0730397,0.385031,0.524133
40,6.31149,0.470829,10.4213,-10.4213,0.0920227,0.571428,0.660355,4.10057
41,4.82774,0.448771,10.5796,-10.5796,0.0681456,0.272531,0.489013,1.95568
42,5.04078,0.814078,7.95818,-7.95818,0.120745,0.505148,0.866464,3.62494
43,7.83738,0.61276,9.40283,-9.40283,0.0468161,0.278591,0.335952,1.99917
44,2.53312,0.139823,12.7966,-12.7966,0.0563667,0.523398,0.404488,3.7559
45,8.09674,0.530853,9.9906,-9.9906,0.093654,0.264137,0.672061,1.89545
46,3.67187,0.326652,11.4559,-11.4559,0.0803249,0.189952,0.576411,1.36309
47,7.0449,0.483349,10.3315,-10.3315,0.00421449,0.233545,0.0302432,1.67592
48,5.00211,0.265426,11.8953,-11.8953,0.00712529,0.166166,0.0511311,1.19241
49,2.49435,0.552526,9.83507,-9.83507,0.0353902,0.339062,0.25396,2.43311
50,4.64345,0.365842,11.1747,-11.1747,0.0682336,0.239603,0.489645,1.71939
51,4.36414,0.616885,9.37324,-9.37324,0.284242,0.830139,2.03972,5.95708
52,8.37841,0.704137,8.74711,-8.74711,0.023407,0.310347,0.167969,2.22705
53,8.6701,0.752098,8.40294,-8.40294,0.0076536,0.477157,0.0549223,3.42408
54,10.2414,1.2573,4.77759,-4.77759,0.0497949,0.384475,0.357328,2.75899
55,14.8637,1.14203,5.60477,-5.60477,0.145987,0.579195,1.0476,4.1563
56,3.51397,0.391528,10.9904,-10.9904,0.0667429,0.353832,0.478947,2.53909
57,2.90563,0.106171,13.0381,-13.0381,0.0048923,0.341253,0.0351071,2.44883
58,7.30003,0.791144,8.12275,-8.12275,0.216759,1.07098,1.55546,7.68536
59,10.2259,0.82468,7.8821,-7.8821,0.130182,0.487302,0.934183,3.49688
60,7.20055,0.409132,10.8641,-10.8641,0.014258,0.236529,0.102316,1.69733
61,9.93386,0.812832,7.96712,-7.96712,0.117312,0.302416,0.841831,2.17014
62,1.39685,0.155976,12.6807,-12.6807,0.0185514,0.340552,0.133125,2.4438
63,9.7816,0.942824,7.03429,-7.03429,0.0350418,0.212052,0.25146,1.52168
64,2.3286,0.340977,11.3532,-11.3532,0.0309183,0.46072,0.22187,3.30612
65,4.30166,0.447645,10.5877,-10.5877,0.0158885,0.371584,0.114016,2.66648
66,4.51808,0.514219,10.11,-10.11,0.102898,0.82853,0.738395,5.94553
67,3.19304,0.358645,11.2264,-11.2264,0.00799376,0.338123,0.0573632,2.42637
68,7.3159,0.424682,10.7525,-10.7525,0.0428012,0.392238,0.307141,2.8147
69,11.3349,0.887146,7.43384,-7.43384,0.0356917,0.504212,0.256124,3.61823
70,7.60034,0.743194,8.46684,-8.46684,0.0503017,0.754827,0.360965,5.41664
71,8.13539,1.38819,3.83837,-3.83837,0.0811845,0.802078,0.58258,5.75571
72,5.45645,0.619142,9.35704,-9.35704,0.0427476,0.171512,0.306757,1.23077
73,7.01376,0.743259,8.46638,-8.46638,0.0249508,0.191803,0.179047,1.37638
74,6.12208,0.611418,9.41247,-9.41247,0.0762831,0.221859,0.547407,1.59206
75,4.1955,0.768448,8.28562,-8.28562,0.217078,0.671176,1.55775,4.81636
76,6.22534,0.936894,7.07685,-7.07685,0,0.198694,0,1.42583
77,3.25891,0.521256,10.0595,-10.0595,0,0.220179,0,1.58
78,5.79454,0.475922,10.3848,-10.3848,0.00112735,0.31735,0.00808989,2.2773
79,7.47793,0.576236,9.66493,-9.66493,0.0185743,0.271727,0.133289,1.94991
80,10.2027,1.0706,6.11737,-6.11737,0.0780393,0.294792,0.56001,2.11542
81,14.0192,1.42171,3.59779,-3.59779,0.143147,0.466497,1.02722,3.34758
82,8.89375,0.791668,8.11899,-8.11899,0.0391731,0.632499,0.281106,4.53881
83,7.19774,0.583345,9.61392,-9.61392,0.0885605,0.296458,0.63551,2.12738
84,2.5868,0.367219,11.1648,-11.1648,0.012864,0.294279,0.0923124,2.11175
85,8.4713,0.953952,6.95444,-6.95444,0.0872797,0.21045,0.626319,1.51019
86,3.64739,0.450958,10.5639,-10.5639,0.0611257,0.249937,0.438638,1.79355
87,5.223,0.469429,10.4314,-10.4314,0.00385231,0.255094,0.0276442,1.83056
88,4.01379,0.405407,10.8908,-10.8908,0.0718501,0.249092,0.515596,1.78748
89,5.45733,0.356506,11.2417,-11.2417,0,0.206908,0,1.48477
90,4.77278,0.442472,10.6248,-10.6248,0.0482976,0.092694,0.346584,0.665172
91,12.1415,0.908261,7.28232,-7.28232,0.0490661,0.519737,0.352098,3.72964
92,4.12589,0.468983,10.4346,-10.4346,0.102524,0.4938,0.735712,3.54351
93,9.03524,1.13265,5.67212,-5.67212,0.112333,0.438634,0.8061,3.14763
94,8.87476,0.964494,6.87879,-6.87879,0.0510548,0.58984,0.366369,4.23269
95,3.79847,0.690341,8.84611,-8.84611,0,0.151229,0,1.08522
96,10.8483,0.848266,7.71285,-7.71285,0.0798197,0.681181,0.572786,4.88815
97,3.86304,0.318512,11.5144,-11.5144,0.099667,0.111782,0.71521,0.802144
98,3.95548,0.592853,9.54569,-9.54569,0,0.254648,0,1.82736
