Rank,Realization,Raleigh Average Weekly Release Volume (MGW),Durham Average Weekly Buyback Volume (MGW),Total Realization Cost of Releases to Raleigh,Total Realization Cost of Releases to Durham,Raleigh Average Weekly Transfer Volume (MGW),Durham Average Weekly Transfer Volume (MGW),Total Realization Cost of Transfers to Raleigh,Total Realization Cost of Transfers to Durham
2,0,0,0,13.8,-13.8,0.142522,0.934841,1.02274,6.70842
2,1,3.33908,0.0480873,13.4549,-13.4549,0.643029,0.944778,4.61438,6.77973
2,2,0.902899,1.22581,5.0036,-5.0036,0.541948,3.32645,3.88902,23.8706
2,3,4.63579,3.90948,-14.2545,14.2545,1.14662,1.64524,8.22814,11.8063
2,4,9.15463,9.06861,-51.2763,51.2763,1.56793,1.8999,11.2515,13.6337
2,5,4.60519,12.8343,-78.2986,78.2986,1.40867,1.76561,10.1086,12.67
2,6,3.73585,1.44722,3.41474,-3.41474,0.397018,0.489374,2.849,3.51174
2,7,5.4434,6.41852,-32.2593,32.2593,0.718586,0.60159,5.15658,4.31701
2,8,2.39897,20.931,-136.401,136.401,1.23412,2.99078,8.85605,21.4619
2,9,3.38706,6.50836,-32.904,32.904,0.851779,0.788899,6.11236,5.66114
2,10,2.881,1.39996,3.75388,-3.75388,0.119586,0.67987,0.85815,4.87875
2,11,4.85495,7.7644,-41.9173,41.9173,0.716645,0.795684,5.14265,5.70983
2,12,5.67216,0,13.8,-13.8,0.364021,0.292986,2.61222,2.10247
2,13,4.7124,5.42348,-25.1189,25.1189,1.12812,3.01789,8.09537,21.6564
2,14,4.23899,3.09398,-8.40241,8.40241,0.383399,1.13643,2.75127,8.15499
2,15,3.17972,6.66424,-34.0226,34.0226,1.06556,5.56063,7.64643,39.9031
2,16,2.29767,1.23962,4.90448,-4.90448,0.557621,0.775181,4.00149,5.5627
2,17,7.73491,4.66695,-19.69,19.69,0.794019,6.26327,5.69788,44.9452
2,18,2.46614,0.936993,7.07614,-7.07614,0.145108,0.402312,1.04129,2.88699
2,19,3.91537,2.22476,-2.16484,2.16484,0.877408,0.948697,6.29628,6.80785
2,20,1.64069,5.19277,-23.4633,23.4633,1.11938,0.739964,8.03269,5.30998
2,21,5.87691,5.73954,-27.387,27.387,1.13811,1.4235,8.16711,10.215
2,22,7.67827,14.3764,-89.3649,89.3649,2.49727,2.02221,17.9204,14.5114
2,23,2.33064,2.75509,-5.97055,5.97055,0.655337,1.09679,4.7027,7.87059
2,24,5.28512,13.9641,-86.4062,86.4062,1.10365,2.43072,7.91982,17.4428
2,25,6.69563,12.1344,-73.2763,73.2763,1.78023,3.80309,12.7749,27.2909
2,26,1.94021,4.7529,-20.3068,20.3068,0.866674,0.701452,6.21925,5.03362
2,27,8.35579,17.9882,-115.283,115.283,1.58827,1.62321,11.3974,11.6481
2,28,1.23483,0.659976,9.06401,-9.06401,0.244638,0.10459,1.75552,0.750536
2,29,4.55138,10.9049,-64.4537,64.4537,1.32059,0.90982,9.47652,6.52887
2,30,4.80656,8.60084,-47.9196,47.9196,1.08122,3.34429,7.75883,23.9986
2,31,2.36318,3.9315,-14.4125,14.4125,0.54252,0.886601,3.89312,6.36225
2,32,4.00588,19.6812,-127.433,127.433,2.16205,3.3333,15.5149,23.9198
2,33,1.75145,1.47744,3.19791,-3.19791,0.298003,6.08701,2.13847,43.6804
2,34,8.44107,21.7607,-142.355,142.355,3.30443,1.19296,23.7126,8.56071
2,35,4.37508,3.2254,-9.34548,9.34548,0.671614,0.835013,4.8195,5.99205
2,36,0.81787,1.82153,0.728721,-0.728721,0.190422,0.238359,1.36647,1.71046
2,37,2.38869,4.25664,-16.7456,16.7456,1.11506,1.06114,8.00169,7.61475
2,38,4.16289,2.66894,-5.35232,5.35232,0.55518,1.73478,3.98397,12.4488
2,39,1.8118,2.57739,-4.69538,4.69538,0.232636,0.416671,1.6694,2.99003
2,40,4.66551,14.8542,-92.794,92.794,1.51174,1.61523,10.8483,11.5909
2,41,5.88503,4.38263,-17.6498,17.6498,1.02056,1.15057,7.32352,8.25652
2,42,6.41117,6.95386,-36.1009,36.1009,1.13653,0.897426,8.15575,6.43993
2,43,0,0,13.8,-13.8,0,0.331024,0,2.37543
2,44,1.12005,6.72637,-34.4684,34.4684,0.837293,0.300818,6.00841,2.15867
2,45,6.32594,8.34656,-46.0949,46.0949,1.10979,1.31462,7.96386,9.43375
2,46,4.5327,11.0345,-65.3838,65.3838,0.724619,1.10162,5.19987,7.90522
2,47,4.10007,4.47995,-18.3481,18.3481,0.496296,1.08045,3.56142,7.75329
2,48,1.01142,6.47287,-32.6493,32.6493,0.269002,0.669252,1.93036,4.80255
2,49,2.17913,0.597084,9.51533,-9.51533,0.411857,1.29341,2.95549,9.2815
2,50,2.52353,0.019115,13.6628,-13.6628,0.152044,0.456197,1.09107,3.27367
2,51,10.1109,26.5315,-176.59,176.59,1.8154,7.76684,13.0273,55.7349
2,52,6.71996,2.52162,-4.29517,4.29517,0.796978,1.09645,5.71911,7.86814
2,53,1.65686,6.31151,-31.4914,31.4914,1.0324,4.3959,7.40847,31.545
2,54,1.43573,2.42839,-3.6261,3.6261,0.462743,0.620063,3.32064,4.44957
2,55,8.05561,10.5142,-61.6502,61.6502,1.16192,0.844197,8.33793,6.05796
2,56,2.62943,1.53098,2.81365,-2.81365,0.741949,1.19818,5.32422,8.59811
2,57,5.8895,5.77377,-27.6326,27.6326,0.647585,0.60415,4.64707,4.33538
2,58,5.71195,5.83024,-28.0378,28.0378,1.49962,5.68497,10.7613,40.7953
2,59,4.65958,9.57152,-54.8852,54.8852,1.91111,2.04467,13.7141,14.6725
2,60,5.98926,11.1262,-66.0419,66.0419,0.932595,2.46954,6.6923,17.7215
2,61,6.65598,20.0151,-129.829,129.829,1.99883,3.6598,14.3436,26.2627
2,62,6.53933,7.75638,-41.8598,41.8598,1.34456,1.82535,9.64856,13.0987
2,63,0,0,13.8,-13.8,0,0.631385,0,4.53082
2,64,3.87126,6.69301,-34.2291,34.2291,1.28235,1.77726,9.20214,12.7536
2,65,4.35047,9.07682,-51.3353,51.3353,0.85215,0.930925,6.11503,6.68032
2,66,8.41121,13.1881,-80.838,80.838,1.78366,1.73123,12.7995,12.4233
2,67,0,4.07921,-15.4724,15.4724,0.455764,0.736741,3.27056,5.28685
2,68,1.83589,2.00339,-0.576295,0.576295,0.370053,1.111,2.6555,7.97257
2,69,0.748331,5.02782,-22.2797,22.2797,0.458815,0.594748,3.29246,4.26791
2,70,3.68736,9.67594,-55.6345,55.6345,0.985903,0.88429,7.07484,6.34566
2,71,2.61444,4.23387,-16.5822,16.5822,1.09161,1.24787,7.83341,8.95469
2,72,2.21455,7.24848,-38.2151,38.2151,1.15105,2.36046,8.25992,16.9386
2,73,6.60626,11.6338,-69.684,69.684,0.887349,1.22968,6.36762,8.8242
2,74,2.75597,4.13782,-15.893,15.893,0.892649,0.698819,6.40565,5.01473
2,75,5.36082,3.13747,-8.71445,8.71445,0.904622,1.24849,6.49156,8.95913
2,76,0,0,13.8,-13.8,0.0725681,1.12926,0.520748,8.10354
2,77,3.27272,4.54043,-18.7821,18.7821,1.0109,1.19938,7.25422,8.60674
2,78,3.64804,5.33668,-24.496,24.496,1.18765,2.0049,8.52257,14.3872
2,79,2.43112,0.840334,7.76976,-7.76976,0.256178,0.420899,1.83833,3.02037
2,80,2.59965,4.45197,-18.1474,18.1474,1.07505,1.26517,7.71455,9.07889
2,81,2.88801,6.43888,-32.4054,32.4054,1.02369,1.90321,7.34601,13.6574
2,82,6.06561,5.30829,-24.2923,24.2923,0.652049,0.867272,4.6791,6.22354
2,83,2.18284,0.202274,12.3485,-12.3485,0.0214467,0.833786,0.153902,5.98325
2,84,4.44056,7.0899,-37.0772,37.0772,1.01891,0.772766,7.31169,5.54537
2,85,2.44935,1.09056,5.97416,-5.97416,0.495056,0.222802,3.55252,1.59883
2,86,4.23846,4.04536,-15.2295,15.2295,1.21678,1.02317,8.73161,7.34227
2,87,2.8522,6.37478,-31.9454,31.9454,0.645923,0.561311,4.63514,4.02797
2,88,5.33658,11.1473,-66.193,66.193,0.872899,0.748323,6.26392,5.36996
2,89,2.35998,3.70711,-12.8022,12.8022,0.840845,0.877631,6.0339,6.29788
2,90,2.77181,0.391397,10.9913,-10.9913,0.143765,1.66989,1.03166,11.9832
2,91,5.30222,10.2883,-60.0286,60.0286,1.06845,2.18416,7.66722,15.6735
2,92,4.09718,8.40244,-46.4959,46.4959,0.818093,7.43334,5.87063,53.3417
2,93,6.17552,6.35885,-31.8311,31.8311,1.66188,1.31284,11.9257,9.42092
2,94,6.07419,13.4361,-82.6177,82.6177,1.74105,1.48859,12.4937,10.6821
2,95,5.74692,4.50944,-18.5597,18.5597,0.779869,0.609437,5.59634,4.37332
2,96,0,0,13.8,-13.8,0.0740768,0.656683,0.531575,4.71236
2,97,2.40702,1.82294,0.718551,-0.718551,0.659256,0.336703,4.73082,2.41618
2,98,2.46228,4.87356,-21.1727,21.1727,0.769494,0.606808,5.52189,4.35445
2,99,2.20764,15.1334,-94.7974,94.7974,2.00601,2.96406,14.3951,21.2701
