Realization Number,Raleigh Average Weekly Release Volume (MGW),Durham Average Weekly Buyback Volume (MGW),Total Realization Cost of Releases to Raleigh,Total Realization Cost of Releases to Durham,Raleigh Average Weekly Transfer Volume (MGW),Durham Average Weekly Transfer Volume (MGW),Total Realization Cost of Transfers to Raleigh,Total Realization Cost of Transfers to Durham
0,1.81781,0.247691,12.0226,-12.0226,0.15055,0.531015,1.08035,3.81057
1,1.57951,0.0530853,13.4191,-13.4191,0.00961784,0.171961,0.0690176,1.23399
2,0.602018,0.135317,12.829,-12.829,0,0.107702,0,0.772869
3,2.4519,0.141774,12.7826,-12.7826,0.0131735,0.121527,0.0945333,0.872076
4,3.56905,0.419853,10.7871,-10.7871,0.071125,0.339894,0.510393,2.43908
5,0.730919,0.106171,13.0381,-13.0381,0.00868588,0.087767,0.0623299,0.629816
6,3.40875,0.32408,11.4744,-11.4744,0.0314824,0.0955246,0.225918,0.685485
7,0.563333,0.244973,12.0421,-12.0421,0.043133,0.441386,0.309523,3.16739
8,2.68017,0.159256,12.6572,-12.6572,0.00997136,0.166102,0.0715545,1.19195
9,5.08997,0.824143,7.88595,-7.88595,0.211929,0.429563,1.5208,3.08255
10,2.2557,0.358738,11.2257,-11.2257,0.0306267,0.150549,0.219777,1.08034
11,2.79048,0.574617,9.67655,-9.67655,0,0.0519398,0,0.37272
12,2.62887,0.120641,12.9343,-12.9343,0,0.26873,0,1.92841
13,4.82275,0.506502,10.1653,-10.1653,0.0457392,0.272772,0.328225,1.95741
14,2.42743,0.265426,11.8953,-11.8953,0.0318376,0.0981246,0.228467,0.704142
15,7.80213,1.10602,5.8632,-5.8632,0.0539903,0.467401,0.387434,3.35407
16,3.03121,0.485544,10.3157,-10.3157,0.048877,0.286324,0.350742,2.05466
17,8.7607,1.48505,3.1433,-3.1433,0.158082,0.411553,1.13439,2.95331
18,3.64481,0.409202,10.8636,-10.8636,0.0129729,0.0892808,0.0930937,0.640679
