Realization Number,Raleigh Average Weekly Release Volume (MGW),Durham Average Weekly Buyback Volume (MGW),Total Realization Cost of Releases to Raleigh,Total Realization Cost of Releases to Durham,Raleigh Average Weekly Transfer Volume (MGW),Durham Average Weekly Transfer Volume (MGW),Total Realization Cost of Transfers to Raleigh,Total Realization Cost of Transfers to Durham
0,2.54621,0.68462,8.88717,-8.88717,0.15055,0.522353,1.08035,3.7484
1,2.43644,0.371597,11.1334,-11.1334,0.0100746,0.171504,0.0722956,1.23071
2,1.06274,0.212341,12.2762,-12.2762,0,0.107702,0,0.772869
3,3.89466,0.5101,10.1395,-10.1395,0.0131735,0.121527,0.0945334,0.872076
4,4.70437,0.573443,9.68497,-9.68497,0.0439878,0.23614,0.315657,1.69454
5,1.02747,0.36321,11.1936,-11.1936,0.00872112,0.0690791,0.0625828,0.495712
6,5.26462,0.694121,8.81899,-8.81899,0.0332968,0.0698336,0.238938,0.501126
7,0.853514,0.212341,12.2762,-12.2762,0.043133,0.425937,0.309523,3.05653
8,3.41621,0.525563,10.0286,-10.0286,0.00997136,0.109213,0.0715545,0.783716
9,6.11785,0.57145,9.69928,-9.69928,0.185094,0.359228,1.32823,2.57782
10,2.71919,0.415996,10.8148,-10.8148,0.0441707,0.0962899,0.316969,0.690976
11,1.91948,0.396186,10.957,-10.957,0,0.049813,0,0.357458
12,3.28217,0.370077,11.1443,-11.1443,0,0.244175,0,1.7522
13,5.94204,1.29249,4.52509,-4.52509,0.0460082,0.25761,0.330155,1.84861
14,2.85816,0.58631,9.59264,-9.59264,0.0318376,0.174428,0.228467,1.2517
15,9.46213,1.05432,6.23418,-6.23418,0.0540628,0.467329,0.387955,3.35355
16,2.12261,0.186528,12.4615,-12.4615,0.0664223,0.278171,0.476647,1.99616
17,8.09187,1.09088,5.97187,-5.97187,0.176976,0.502381,1.26998,3.60509
18,5.09846,0.50271,10.1926,-10.1926,0.0129729,0.0971604,0.0930937,0.697223
19,2.25601,0.482367,10.3385,-10.3385,0.0824461,0.0741858,0.591633,0.532357
20,0.235129,0.146929,12.7456,-12.7456,0.0083654,0.173877,0.0600301,1.24774
21,3.19291,0.344981,11.3244,-11.3244,0.044575,0.687632,0.31987,4.93445
22,1.71269,0.430565,10.7103,-10.7103,0.183817,0.553385,1.31907,3.97109
23,0.953371,0.0617679,13.3568,-13.3568,0,0.207271,0,1.48738
24,1.35397,0.132388,12.85,-12.85,0.0651175,0.156695,0.467283,1.12444
25,4.80218,0.607323,9.44185,-9.44185,0.145903,0.353186,1.047,2.53446
