Realization Number,Raleigh Average Weekly Release Volume (MGW),Durham Average Weekly Buyback Volume (MGW),Total Realization Cost of Releases to Raleigh,Total Realization Cost of Releases to Durham,Raleigh Average Weekly Transfer Volume (MGW),Durham Average Weekly Transfer Volume (MGW),Total Realization Cost of Transfers to Raleigh,Total Realization Cost of Transfers to Durham
69,9.0662,2.0276,-0.750088,0.750088,0.0325384,0.355814,0.233496,2.55332
70,5.88514,1.8951,0.200769,-0.200769,0.0426884,0.65512,0.306332,4.70114
71,7.12498,3.80464,-13.5021,13.5021,0.112374,0.612884,0.806396,4.39806
72,4.22287,1.22855,4.9839,-4.9839,0.061876,0.155486,0.444022,1.11577
73,5.5202,3.29211,-9.82418,9.82418,0.0263168,0.142997,0.188849,1.02614
74,5.18083,1.34424,4.15371,-4.15371,0.0892948,0.148344,0.640779,1.06452
75,2.83502,1.26736,4.70545,-4.70545,0.0944332,0.29111,0.677652,2.08901
76,4.60603,1.83817,0.609275,-0.609275,0,0.110381,0,0.792094
77,2.51556,1.68299,1.72285,-1.72285,0,0.199457,0,1.43131
78,4.12676,0.637474,9.22548,-9.22548,0.00112735,0.267113,0.00808989,1.9168
79,5.52679,1.76592,1.12774,-1.12774,0.026691,0.206096,0.191535,1.47895
80,9.21724,2.75568,-5.97477,5.97477,0.104473,0.217338,0.749698,1.55962
81,11.9591,2.81621,-6.40911,6.40911,0.131568,0.255326,0.944135,1.83222
82,6.83398,2.42257,-3.58433,3.58433,0.0172668,0.486301,0.123907,3.4897
83,5.99933,1.79278,0.935034,-0.935034,0.11462,0.204877,0.822513,1.47019
84,1.14106,0.567555,9.72722,-9.72722,0.012864,0.279881,0.0923124,2.00842
85,5.8661,2.24509,-2.31077,2.31077,0.087552,0.185611,0.628273,1.33195
86,2.3157,0.825398,7.87694,-7.87694,0,0.0498781,0,0.357925
87,4.53962,0.973285,6.81571,-6.81571,0.00660339,0.217748,0.0473859,1.56256
88,2.68255,0.623134,9.32839,-9.32839,0.0210402,0.114989,0.150984,0.825164
89,4.42258,2.04405,-0.868102,0.868102,0.00490597,0.144951,0.0352053,1.04017
90,3.21253,1.10372,5.87972,-5.87972,0.0423457,0.0480353,0.303873,0.344702
91,9.94884,2.39545,-3.38973,3.38973,0.0496983,0.512213,0.356635,3.67564
92,2.24286,0.87092,7.55028,-7.55028,0.0806004,0.46374,0.578388,3.3278
93,6.44548,2.18942,-1.91129,1.91129,0.0786208,0.174312,0.564183,1.25086
94,6.93352,1.67199,1.80178,-1.80178,0.0765203,0.55788,0.54911,4.00335
95,2.62313,0.638539,9.21784,-9.21784,0,0.143254,0,1.02799
96,8.47191,1.74792,1.25695,-1.25695,0.0458316,0.370264,0.328888,2.65702
97,2.7635,0.813725,7.96071,-7.96071,0.136503,0.0485744,0.979544,0.34857
98,2.51513,0.74807,8.43185,-8.43185,0,0.170157,0,1.22104
99,2.29543,1.13389,5.66319,-5.66319,0.117826,0.433302,0.845516,3.10937
