Realization Number,Raleigh Average Weekly Release Volume (MGW),Durham Average Weekly Buyback Volume (MGW),Total Realization Cost of Releases to Raleigh,Total Realization Cost of Releases to Durham,Raleigh Average Weekly Transfer Volume (MGW),Durham Average Weekly Transfer Volume (MGW),Total Realization Cost of Transfers to Raleigh,Total Realization Cost of Transfers to Durham
0,4.59818,0.576803,9.66086,-9.66086,0.201564,1.51281,1.44642,10.8559
1,4.69063,0.232615,12.1308,-12.1308,0.026889,0.992796,0.192955,7.1243
2,2.87165,0.41032,10.8555,-10.8555,0,0.200159,0,1.43634
3,5.81306,0.401391,10.9196,-10.9196,0.0315616,1.56836,0.226486,11.2545
4,8.7908,0.981451,6.7571,-6.7571,0.211457,2.80336,1.51741,20.1169
5,3.54406,0.295942,11.6763,-11.6763,0.0452139,1.52974,0.324455,10.9774
6,7.85422,0.39299,10.9799,-10.9799,0.0706425,0.837782,0.506931,6.01192
7,3.76459,0.600091,9.49375,-9.49375,0.0829749,2.43938,0.595428,17.505
8,6.63242,0.705342,8.73847,-8.73847,0.152603,1.53924,1.09508,11.0456
9,12.3859,1.16136,5.46608,-5.46608,0.462111,1.20627,3.31611,8.65618
10,6.26863,0.820089,7.91504,-7.91504,0.112837,0.495877,0.809717,3.55841
11,6.52194,0.973182,6.81644,-6.81644,0.080703,1.35904,0.579125,9.75246
12,8.03668,0.586515,9.59117,-9.59117,0.0255649,0.668815,0.183454,4.79942
13,11.0429,1.60936,2.25127,-2.25127,0.160101,2.0819,1.14888,14.9397
14,6.97807,0.627128,9.29973,-9.29973,0.0288037,1.61308,0.206695,11.5755
15,12.7146,0.901602,7.3301,-7.3301,0.075248,1.7882,0.539979,12.8321
16,6.35816,0.601804,9.48145,-9.48145,0.153316,1.28308,1.10019,9.20741
17,17.0031,1.86523,0.415137,-0.415137,0.807094,1.97724,5.79171,14.1887
18,8.70846,0.365663,11.176,-11.176,0.0129729,0.378621,0.0930937,2.71698
19,5.87452,0.687076,8.86954,-8.86954,0.107827,0.133651,0.773767,0.959078
20,3.61587,0.633673,9.25276,-9.25276,0.0927684,1.30711,0.665706,9.37985
21,5.1756,0.50294,10.1909,-10.1909,0.236016,2.70831,1.69365,19.4348
22,4.91915,0.896274,7.36834,-7.36834,0.258099,2.50793,1.85212,17.9969
23,2.82101,0.424682,10.7525,-10.7525,0.021465,0.824066,0.154033,5.9135
24,4.8686,0.587039,9.58741,-9.58741,0.0526396,0.348301,0.377742,2.49941
25,11.9457,1.91379,0.0666443,-0.0666443,0.41741,1.71294,2.99533,12.2921
26,12.2667,1.74688,1.26441,-1.26441,0.150023,1.66419,1.07657,11.9422
27,9.58034,0.71191,8.69133,-8.69133,0.153905,1.14035,1.10442,8.18314
28,5.65154,0.597106,9.51516,-9.51516,0.0737101,0.511667,0.528944,3.67172
29,8.17257,1.20737,5.13591,-5.13591,0.174351,2.44407,1.25114,17.5386
30,4.88641,0.729518,8.56498,-8.56498,0.0193827,2.77936,0.139091,19.9447
31,7.44416,0.974597,6.80629,-6.80629,0.125122,2.45595,0.897873,17.6239
32,6.45866,1.08943,5.98224,-5.98224,0.347186,3.1635,2.4914,22.7013
33,6.05796,0.47569,10.3865,-10.3865,0.0669906,1.19229,0.480724,8.55586
34,3.42731,0.329262,11.4372,-11.4372,0.0134493,0.274635,0.096512,1.97078
35,6.8115,0.961649,6.89921,-6.89921,0.0535923,1.65602,0.384578,11.8836
36,4.56456,0.271938,11.8486,-11.8486,0.0271914,0.453726,0.195126,3.25594
37,10.165,1.5207,2.88747,-2.88747,0.279614,1.53458,2.00651,11.0122
38,12.2373,1.39611,3.7815,-3.7815,0.158604,1.62361,1.13814,11.651
39,3.65891,0.291956,11.7049,-11.7049,0.055555,1.03037,0.398663,7.39394
40,5.10114,0.563868,9.75368,-9.75368,0.0676006,2.00548,0.485102,14.3913
41,3.9651,0.555946,9.81053,-9.81053,0.0701485,0.978804,0.503386,7.0239
42,4.28204,0.695502,8.80908,-8.80908,0.223449,0.532,1.60347,3.81763
43,7.11612,0.485982,10.3126,-10.3126,0.0625505,0.40967,0.448862,2.93979
44,2.02388,0.161265,12.6428,-12.6428,0.0811104,0.669177,0.582048,4.80201
45,7.32769,0.603303,9.4707,-9.4707,0.110085,0.897844,0.789967,6.44293
46,4.17413,0.311207,11.5668,-11.5668,0.0959614,0.448802,0.688619,3.2206
47,6.41112,0.367842,11.1604,-11.1604,0.0132314,0.552659,0.0949485,3.96588
48,3.56508,0.321169,11.4953,-11.4953,0.0446343,0.361558,0.320295,2.59454
49,2.32533,0.342749,11.3404,-11.3404,0.0512703,0.576863,0.367916,4.13957
50,4.55173,0.437904,10.6576,-10.6576,0.111301,0.913368,0.798694,6.55433
51,2.99121,0.451283,10.5616,-10.5616,0.302237,1.71929,2.16885,12.3376
52,7.91183,1.12426,5.7323,-5.7323,0.115691,0.496884,0.830197,3.56564
53,8.59288,0.773856,8.24681,-8.24681,0.0354606,4.12344,0.254465,29.5898
54,10.2504,0.906555,7.29456,-7.29456,0.0746657,0.987651,0.535801,7.08738
55,15.7463,1.41716,3.63049,-3.63049,0.406324,2.53719,2.91578,18.2069
56,3.02385,0.193265,12.4131,-12.4131,0.0738288,1.48843,0.529795,10.681
57,2.70083,0.135829,12.8253,-12.8253,0.00745476,0.367269,0.0534954,2.63553
58,7.08391,0.641483,9.19672,-9.19672,0.252798,2.98756,1.81408,21.4387
59,10.5904,0.974266,6.80867,-6.80867,0.142401,2.14064,1.02187,15.3612
60,6.35878,0.779846,8.20383,-8.20383,0.0154492,0.380474,0.110863,2.73028
61,7.30065,0.711654,8.69317,-8.69317,0.141746,1.89214,1.01717,13.578
62,1.21058,0.12584,12.897,-12.897,0.0288286,0.505485,0.206874,3.62736
