Solution,RDMnum,Realization,Year,Utility,Project
0,0,148,48,Raleigh,Neuse River Intake
0,0,149,16,Durham,Western JL WTP (Small)
0,0,149,21,Raleigh,Reallocate Falls Lake
0,0,149,33,Durham,Western JL WTP (Large)
0,0,149,43,Raleigh,Neuse River Intake
0,0,150,16,Durham,Western JL WTP (Small)
0,0,150,21,Raleigh,Reallocate Falls Lake
0,0,150,33,Durham,Western JL WTP (Large)
0,0,150,38,Raleigh,Neuse River Intake
0,0,151,16,Durham,Western JL WTP (Small)
0,0,151,23,Raleigh,Reallocate Falls Lake
0,0,151,33,Durham,Western JL WTP (Large)
0,0,151,47,Raleigh,Neuse River Intake
0,0,152,16,Durham,Western JL WTP (Small)
0,0,152,21,Raleigh,Reallocate Falls Lake
0,0,152,33,Durham,Western JL WTP (Large)
0,0,152,42,Raleigh,Neuse River Intake
0,0,153,16,Durham,Western JL WTP (Small)
0,0,153,23,Raleigh,Reallocate Falls Lake
0,0,153,33,Durham,Western JL WTP (Large)
0,0,153,47,Raleigh,Neuse River Intake
0,0,154,16,Durham,Western JL WTP (Small)
0,0,154,23,Raleigh,Reallocate Falls Lake
0,0,154,33,Durham,Western JL WTP (Large)
0,0,155,16,Durham,Western JL WTP (Small)
0,0,155,23,Raleigh,Reallocate Falls Lake
0,0,155,33,Durham,Western JL WTP (Large)
0,0,156,16,Durham,Western JL WTP (Small)
0,0,156,23,Raleigh,Reallocate Falls Lake
0,0,156,33,Durham,Western JL WTP (Large)
0,0,156,50,Raleigh,Neuse River Intake
0,0,157,16,Durham,Western JL WTP (Small)
0,0,157,21,Raleigh,Reallocate Falls Lake
0,0,157,33,Durham,Western JL WTP (Large)
0,0,157,48,Raleigh,Neuse River Intake
0,0,158,16,Durham,Western JL WTP (Small)
0,0,158,23,Raleigh,Reallocate Falls Lake
0,0,158,33,Durham,Western JL WTP (Large)
0,0,159,16,Durham,Western JL WTP (Small)
0,0,159,23,Raleigh,Reallocate Falls Lake
0,0,159,33,Durham,Western JL WTP (Large)
0,0,160,16,Durham,Western JL WTP (Small)
0,0,160,23,Raleigh,Reallocate Falls Lake
0,0,160,33,Durham,Western JL WTP (Large)
0,0,160,48,Raleigh,Neuse River Intake
0,0,161,16,Durham,Western JL WTP (Small)
0,0,161,23,Raleigh,Reallocate Falls Lake
0,0,161,33,Durham,Western JL WTP (Large)
0,0,161,48,Raleigh,Neuse River Intake
0,0,162,16,Durham,Western JL WTP (Small)
0,0,162,21,Raleigh,Reallocate Falls Lake
0,0,162,33,Durham,Western JL WTP (Large)
0,0,162,36,Raleigh,Neuse River Intake
0,0,163,16,Durham,Western JL WTP (Small)
0,0,163,23,Raleigh,Reallocate Falls Lake
0,0,163,33,Durham,Western JL WTP (Large)
0,0,164,16,Durham,Western JL WTP (Small)
0,0,164,23,Raleigh,Reallocate Falls Lake
0,0,164,33,Durham,Western JL WTP (Large)
0,0,164,47,Raleigh,Neuse River Intake
0,0,165,16,Durham,Western JL WTP (Small)
0,0,165,23,Raleigh,Reallocate Falls Lake
0,0,165,33,Durham,Western JL WTP (Large)
0,0,165,48,Raleigh,Neuse River Intake
0,0,166,16,Durham,Western JL WTP (Small)
0,0,166,23,Raleigh,Reallocate Falls Lake
0,0,166,33,Durham,Western JL WTP (Large)
0,0,166,46,Raleigh,Neuse River Intake
0,0,167,16,Durham,Western JL WTP (Small)
0,0,167,23,Raleigh,Reallocate Falls Lake
0,0,167,33,Durham,Western JL WTP (Large)
0,0,167,48,Raleigh,Neuse River Intake
0,0,168,16,Durham,Western JL WTP (Small)
0,0,168,21,Raleigh,Reallocate Falls Lake
0,0,168,33,Durham,Western JL WTP (Large)
0,0,168,48,Raleigh,Neuse River Intake
0,0,169,16,Durham,Western JL WTP (Small)
0,0,169,23,Raleigh,Reallocate Falls Lake
0,0,169,33,Durham,Western JL WTP (Large)
0,0,169,48,Raleigh,Neuse River Intake
0,0,170,16,Durham,Western JL WTP (Small)
0,0,170,23,Raleigh,Reallocate Falls Lake
0,0,170,33,Durham,Western JL WTP (Large)
0,0,170,48,Raleigh,Neuse River Intake
0,0,171,16,Durham,Western JL WTP (Small)
0,0,171,23,Raleigh,Reallocate Falls Lake
0,0,171,33,Durham,Western JL WTP (Large)
0,0,171,48,Raleigh,Neuse River Intake
0,0,172,16,Durham,Western JL WTP (Small)
0,0,172,22,Raleigh,Reallocate Falls Lake
0,0,172,33,Durham,Western JL WTP (Large)
0,0,172,43,Raleigh,Neuse River Intake
0,0,173,16,Durham,Western JL WTP (Small)
0,0,173,23,Raleigh,Reallocate Falls Lake
0,0,173,33,Durham,Western JL WTP (Large)
0,0,174,16,Durham,Western JL WTP (Small)
0,0,174,23,Raleigh,Reallocate Falls Lake
0,0,174,33,Durham,Western JL WTP (Large)
0,0,174,47,Raleigh,Neuse River Intake
0,0,175,16,Durham,Western JL WTP (Small)
0,0,175,21,Raleigh,Reallocate Falls Lake
0,0,175,33,Durham,Western JL WTP (Large)
0,0,175,40,Raleigh,Neuse River Intake
0,0,176,16,Durham,Western JL WTP (Small)
0,0,176,21,Raleigh,Reallocate Falls Lake
0,0,176,33,Durham,Western JL WTP (Large)
0,0,176,40,Raleigh,Neuse River Intake
0,0,177,16,Durham,Western JL WTP (Small)
0,0,177,21,Raleigh,Reallocate Falls Lake
0,0,177,33,Durham,Western JL WTP (Large)
0,0,177,48,Raleigh,Neuse River Intake
0,0,178,16,Durham,Western JL WTP (Small)
0,0,178,23,Raleigh,Reallocate Falls Lake
0,0,178,33,Durham,Western JL WTP (Large)
0,0,178,46,Raleigh,Neuse River Intake
0,0,179,16,Durham,Western JL WTP (Small)
0,0,179,21,Raleigh,Reallocate Falls Lake
0,0,179,33,Durham,Western JL WTP (Large)
0,0,179,48,Raleigh,Neuse River Intake
0,0,180,16,Durham,Western JL WTP (Small)
0,0,180,23,Raleigh,Reallocate Falls Lake
0,0,180,33,Durham,Western JL WTP (Large)
0,0,180,46,Raleigh,Neuse River Intake
0,0,181,16,Durham,Western JL WTP (Small)
0,0,181,23,Raleigh,Reallocate Falls Lake
0,0,181,33,Durham,Western JL WTP (Large)
0,0,181,48,Raleigh,Neuse River Intake
0,0,182,16,Durham,Western JL WTP (Small)
0,0,182,23,Raleigh,Reallocate Falls Lake
0,0,182,33,Durham,Western JL WTP (Large)
0,0,183,16,Durham,Western JL WTP (Small)
0,0,183,23,Raleigh,Reallocate Falls Lake
0,0,183,33,Durham,Western JL WTP (Large)
0,0,183,48,Raleigh,Neuse River Intake
0,0,184,16,Durham,Western JL WTP (Small)
0,0,184,23,Raleigh,Reallocate Falls Lake
0,0,184,33,Durham,Western JL WTP (Large)
0,0,184,48,Raleigh,Neuse River Intake
0,0,185,16,Durham,Western JL WTP (Small)
0,0,185,23,Raleigh,Reallocate Falls Lake
0,0,185,33,Durham,Western JL WTP (Large)
0,0,185,47,Raleigh,Neuse River Intake
0,0,186,16,Durham,Western JL WTP (Small)
0,0,186,21,Raleigh,Reallocate Falls Lake
0,0,186,33,Durham,Western JL WTP (Large)
0,0,186,48,Raleigh,Neuse River Intake
0,0,187,16,Durham,Western JL WTP (Small)
0,0,187,21,Raleigh,Reallocate Falls Lake
0,0,187,33,Durham,Western JL WTP (Large)
0,0,187,47,Raleigh,Neuse River Intake
0,0,188,16,Durham,Western JL WTP (Small)
0,0,188,23,Raleigh,Reallocate Falls Lake
0,0,188,33,Durham,Western JL WTP (Large)
0,0,188,45,Raleigh,Neuse River Intake
0,0,189,16,Durham,Western JL WTP (Small)
0,0,189,23,Raleigh,Reallocate Falls Lake
0,0,189,33,Durham,Western JL WTP (Large)
0,0,190,16,Durham,Western JL WTP (Small)
0,0,190,23,Raleigh,Reallocate Falls Lake
0,0,190,33,Durham,Western JL WTP (Large)
0,0,190,48,Raleigh,Neuse River Intake
0,0,191,16,Durham,Western JL WTP (Small)
0,0,191,23,Raleigh,Reallocate Falls Lake
0,0,191,33,Durham,Western JL WTP (Large)
0,0,191,48,Raleigh,Neuse River Intake
0,0,192,16,Durham,Western JL WTP (Small)
0,0,192,23,Raleigh,Reallocate Falls Lake
0,0,192,33,Durham,Western JL WTP (Large)
0,0,192,48,Raleigh,Neuse River Intake
0,0,193,16,Durham,Western JL WTP (Small)
0,0,193,23,Raleigh,Reallocate Falls Lake
0,0,193,33,Durham,Western JL WTP (Large)
0,0,193,48,Raleigh,Neuse River Intake
0,0,194,16,Durham,Western JL WTP (Small)
0,0,194,23,Raleigh,Reallocate Falls Lake
0,0,194,33,Durham,Western JL WTP (Large)
0,0,195,16,Durham,Western JL WTP (Small)
0,0,195,23,Raleigh,Reallocate Falls Lake
0,0,195,33,Durham,Western JL WTP (Large)
0,0,195,52,Raleigh,Neuse River Intake
0,0,196,16,Durham,Western JL WTP (Small)
0,0,196,23,Raleigh,Reallocate Falls Lake
0,0,196,33,Durham,Western JL WTP (Large)
0,0,197,16,Durham,Western JL WTP (Small)
0,0,197,23,Raleigh,Reallocate Falls Lake
0,0,197,33,Durham,Western JL WTP (Large)
0,0,197,47,Raleigh,Neuse River Intake
0,0,198,16,Durham,Western JL WTP (Small)
0,0,198,23,Raleigh,Reallocate Falls Lake
0,0,198,33,Durham,Western JL WTP (Large)
0,0,198,48,Raleigh,Neuse River Intake
0,0,199,16,Durham,Western JL WTP (Small)
0,0,199,23,Raleigh,Reallocate Falls Lake
0,0,199,33,Durham,Western JL WTP (Large)
0,0,199,46,Raleigh,Neuse River Intake
0,0,200,16,Durham,Western JL WTP (Small)
0,0,200,23,Raleigh,Reallocate Falls Lake
0,0,200,33,Durham,Western JL WTP (Large)
0,0,200,45,Raleigh,Neuse River Intake
0,0,201,16,Durham,Western JL WTP (Small)
0,0,201,23,Raleigh,Reallocate Falls Lake
0,0,201,33,Durham,Western JL WTP (Large)
0,0,201,48,Raleigh,Neuse River Intake
0,0,202,16,Durham,Western JL WTP (Small)
0,0,202,23,Raleigh,Reallocate Falls Lake
0,0,202,33,Durham,Western JL WTP (Large)
0,0,202,48,Raleigh,Neuse River Intake
0,0,203,16,Durham,Western JL WTP (Small)
0,0,203,23,Raleigh,Reallocate Falls Lake
0,0,203,33,Durham,Western JL WTP (Large)
0,0,203,48,Raleigh,Neuse River Intake
0,0,204,16,Durham,Western JL WTP (Small)
0,0,204,23,Raleigh,Reallocate Falls Lake
0,0,204,33,Durham,Western JL WTP (Large)
0,0,204,48,Raleigh,Neuse River Intake
0,0,205,16,Durham,Western JL WTP (Small)
0,0,205,23,Raleigh,Reallocate Falls Lake
0,0,205,33,Durham,Western JL WTP (Large)
0,0,205,48,Raleigh,Neuse River Intake
0,0,206,16,Durham,Western JL WTP (Small)
0,0,206,21,Raleigh,Reallocate Falls Lake
0,0,206,33,Durham,Western JL WTP (Large)
0,0,206,42,Raleigh,Neuse River Intake
0,0,207,16,Durham,Western JL WTP (Small)
0,0,207,23,Raleigh,Reallocate Falls Lake
0,0,207,33,Durham,Western JL WTP (Large)
0,0,208,16,Durham,Western JL WTP (Small)
0,0,208,21,Raleigh,Reallocate Falls Lake
0,0,208,33,Durham,Western JL WTP (Large)
0,0,208,46,Raleigh,Neuse River Intake
0,0,209,16,Durham,Western JL WTP (Small)
0,0,209,23,Raleigh,Reallocate Falls Lake
0,0,209,33,Durham,Western JL WTP (Large)
0,0,209,48,Raleigh,Neuse River Intake
0,0,210,16,Durham,Western JL WTP (Small)
0,0,210,23,Raleigh,Reallocate Falls Lake
0,0,210,33,Durham,Western JL WTP (Large)
0,0,210,48,Raleigh,Neuse River Intake
0,0,211,16,Durham,Western JL WTP (Small)
0,0,211,23,Raleigh,Reallocate Falls Lake
0,0,211,33,Durham,Western JL WTP (Large)
0,0,211,48,Raleigh,Neuse River Intake
0,0,212,16,Durham,Western JL WTP (Small)
0,0,212,23,Raleigh,Reallocate Falls Lake
0,0,212,33,Durham,Western JL WTP (Large)
0,0,212,48,Raleigh,Neuse River Intake
0,0,213,16,Durham,Western JL WTP (Small)
0,0,213,23,Raleigh,Reallocate Falls Lake
0,0,213,33,Durham,Western JL WTP (Large)
0,0,213,47,Raleigh,Neuse River Intake
0,0,214,16,Durham,Western JL WTP (Small)
0,0,214,23,Raleigh,Reallocate Falls Lake
0,0,214,33,Durham,Western JL WTP (Large)
0,0,214,48,Raleigh,Neuse River Intake
0,0,215,16,Durham,Western JL WTP (Small)
0,0,215,23,Raleigh,Reallocate Falls Lake
0,0,215,33,Durham,Western JL WTP (Large)
0,0,215,48,Raleigh,Neuse River Intake
0,0,216,16,Durham,Western JL WTP (Small)
0,0,216,23,Raleigh,Reallocate Falls Lake
0,0,216,33,Durham,Western JL WTP (Large)
0,0,216,47,Raleigh,Neuse River Intake
0,0,217,16,Durham,Western JL WTP (Small)
0,0,217,23,Raleigh,Reallocate Falls Lake
0,0,217,33,Durham,Western JL WTP (Large)
0,0,217,48,Raleigh,Neuse River Intake
0,0,218,16,Durham,Western JL WTP (Small)
0,0,218,21,Raleigh,Reallocate Falls Lake
0,0,218,33,Durham,Western JL WTP (Large)
0,0,218,39,Raleigh,Neuse River Intake
0,0,219,16,Durham,Western JL WTP (Small)
0,0,219,23,Raleigh,Reallocate Falls Lake
0,0,219,33,Durham,Western JL WTP (Large)
0,0,219,43,Raleigh,Neuse River Intake
0,0,220,16,Durham,Western JL WTP (Small)
0,0,220,21,Raleigh,Reallocate Falls Lake
0,0,220,33,Durham,Western JL WTP (Large)
0,0,220,45,Raleigh,Neuse River Intake
0,0,221,16,Durham,Western JL WTP (Small)
0,0,221,23,Raleigh,Reallocate Falls Lake
0,0,221,33,Durham,Western JL WTP (Large)
0,0,221,45,Raleigh,Neuse River Intake
0,0,222,16,Durham,Western JL WTP (Small)
0,0,222,23,Raleigh,Reallocate Falls Lake
0,0,222,33,Durham,Western JL WTP (Large)
0,0,223,16,Durham,Western JL WTP (Small)
0,0,223,23,Raleigh,Reallocate Falls Lake
0,0,223,33,Durham,Western JL WTP (Large)
0,0,223,48,Raleigh,Neuse River Intake
0,0,224,16,Durham,Western JL WTP (Small)
0,0,224,23,Raleigh,Reallocate Falls Lake
0,0,224,33,Durham,Western JL WTP (Large)
0,0,224,48,Raleigh,Neuse River Intake
0,0,225,16,Durham,Western JL WTP (Small)
0,0,225,23,Raleigh,Reallocate Falls Lake
0,0,225,33,Durham,Western JL WTP (Large)
0,0,226,16,Durham,Western JL WTP (Small)
0,0,226,21,Raleigh,Reallocate Falls Lake
0,0,226,33,Durham,Western JL WTP (Large)
0,0,226,44,Raleigh,Neuse River Intake
0,0,227,16,Durham,Western JL WTP (Small)
0,0,227,23,Raleigh,Reallocate Falls Lake
0,0,227,33,Durham,Western JL WTP (Large)
0,0,227,47,Raleigh,Neuse River Intake
0,0,228,16,Durham,Western JL WTP (Small)
0,0,228,22,Raleigh,Reallocate Falls Lake
0,0,228,33,Durham,Western JL WTP (Large)
0,0,228,43,Raleigh,Neuse River Intake
0,0,229,16,Durham,Western JL WTP (Small)
0,0,229,21,Raleigh,Reallocate Falls Lake
0,0,229,33,Durham,Western JL WTP (Large)
0,0,229,42,Raleigh,Neuse River Intake
0,0,230,16,Durham,Western JL WTP (Small)
0,0,230,23,Raleigh,Reallocate Falls Lake
0,0,230,33,Durham,Western JL WTP (Large)
0,0,230,48,Raleigh,Neuse River Intake
0,0,231,16,Durham,Western JL WTP (Small)
0,0,231,23,Raleigh,Reallocate Falls Lake
0,0,231,33,Durham,Western JL WTP (Large)
0,0,231,50,Raleigh,Neuse River Intake
0,0,232,16,Durham,Western JL WTP (Small)
0,0,232,23,Raleigh,Reallocate Falls Lake
0,0,232,33,Durham,Western JL WTP (Large)
0,0,233,16,Durham,Western JL WTP (Small)
0,0,233,23,Raleigh,Reallocate Falls Lake
0,0,233,33,Durham,Western JL WTP (Large)
0,0,233,48,Raleigh,Neuse River Intake
0,0,234,16,Durham,Western JL WTP (Small)
0,0,234,23,Raleigh,Reallocate Falls Lake
0,0,234,33,Durham,Western JL WTP (Large)
0,0,234,48,Raleigh,Neuse River Intake
0,0,235,16,Durham,Western JL WTP (Small)
0,0,235,23,Raleigh,Reallocate Falls Lake
0,0,235,33,Durham,Western JL WTP (Large)
0,0,235,48,Raleigh,Neuse River Intake
0,0,236,16,Durham,Western JL WTP (Small)
0,0,236,23,Raleigh,Reallocate Falls Lake
0,0,236,33,Durham,Western JL WTP (Large)
0,0,236,48,Raleigh,Neuse River Intake
0,0,237,16,Durham,Western JL WTP (Small)
0,0,237,21,Raleigh,Reallocate Falls Lake
0,0,237,33,Durham,Western JL WTP (Large)
0,0,237,41,Raleigh,Neuse River Intake
0,0,238,16,Durham,Western JL WTP (Small)
0,0,238,21,Raleigh,Reallocate Falls Lake
0,0,238,33,Durham,Western JL WTP (Large)
0,0,238,33,Raleigh,Neuse River Intake
0,0,239,16,Durham,Western JL WTP (Small)
0,0,239,23,Raleigh,Reallocate Falls Lake
0,0,239,33,Durham,Western JL WTP (Large)
0,0,240,16,Durham,Western JL WTP (Small)
0,0,240,23,Raleigh,Reallocate Falls Lake
0,0,240,33,Durham,Western JL WTP (Large)
0,0,240,48,Raleigh,Neuse River Intake
0,0,241,16,Durham,Western JL WTP (Small)
0,0,241,23,Raleigh,Reallocate Falls Lake
0,0,241,33,Durham,Western JL WTP (Large)
0,0,241,50,Raleigh,Neuse River Intake
0,0,242,16,Durham,Western JL WTP (Small)
0,0,242,23,Raleigh,Reallocate Falls Lake
0,0,242,33,Durham,Western JL WTP (Large)
0,0,242,48,Raleigh,Neuse River Intake
0,0,243,16,Durham,Western JL WTP (Small)
0,0,243,23,Raleigh,Reallocate Falls Lake
0,0,243,33,Durham,Western JL WTP (Large)
0,0,243,48,Raleigh,Neuse River Intake
0,0,244,16,Durham,Western JL WTP (Small)
0,0,244,23,Raleigh,Reallocate Falls Lake
0,0,244,33,Durham,Western JL WTP (Large)
0,0,244,45,Raleigh,Neuse River Intake
0,0,245,16,Durham,Western JL WTP (Small)
0,0,245,22,Raleigh,Reallocate Falls Lake
0,0,245,33,Durham,Western JL WTP (Large)
0,0,245,44,Raleigh,Neuse River Intake
0,0,246,16,Durham,Western JL WTP (Small)
0,0,246,23,Raleigh,Reallocate Falls Lake
0,0,246,33,Durham,Western JL WTP (Large)
0,0,246,48,Raleigh,Neuse River Intake
0,0,247,16,Durham,Western JL WTP (Small)
0,0,247,23,Raleigh,Reallocate Falls Lake
0,0,247,33,Durham,Western JL WTP (Large)
0,0,248,16,Durham,Western JL WTP (Small)
0,0,248,23,Raleigh,Reallocate Falls Lake
0,0,248,33,Durham,Western JL WTP (Large)
0,0,248,48,Raleigh,Neuse River Intake
0,0,249,16,Durham,Western JL WTP (Small)
0,0,249,23,Raleigh,Reallocate Falls Lake
0,0,249,33,Durham,Western JL WTP (Large)
0,0,249,49,Raleigh,Neuse River Intake
0,0,250,16,Durham,Western JL WTP (Small)
0,0,250,23,Raleigh,Reallocate Falls Lake
0,0,250,33,Durham,Western JL WTP (Large)
0,0,250,47,Raleigh,Neuse River Intake
0,0,251,16,Durham,Western JL WTP (Small)
0,0,251,23,Raleigh,Reallocate Falls Lake
0,0,251,33,Durham,Western JL WTP (Large)
0,0,251,48,Raleigh,Neuse River Intake
0,0,252,16,Durham,Western JL WTP (Small)
0,0,252,23,Raleigh,Reallocate Falls Lake
0,0,252,33,Durham,Western JL WTP (Large)
0,0,252,42,Raleigh,Neuse River Intake
0,0,253,16,Durham,Western JL WTP (Small)
0,0,253,21,Raleigh,Reallocate Falls Lake
0,0,253,33,Durham,Western JL WTP (Large)
0,0,253,43,Raleigh,Neuse River Intake
0,0,254,16,Durham,Western JL WTP (Small)
0,0,254,23,Raleigh,Reallocate Falls Lake
0,0,254,33,Durham,Western JL WTP (Large)
0,0,254,48,Raleigh,Neuse River Intake
0,0,255,16,Durham,Western JL WTP (Small)
0,0,255,23,Raleigh,Reallocate Falls Lake
0,0,255,33,Durham,Western JL WTP (Large)
0,0,255,49,Raleigh,Neuse River Intake
0,0,256,16,Durham,Western JL WTP (Small)
0,0,256,23,Raleigh,Reallocate Falls Lake
0,0,256,33,Durham,Western JL WTP (Large)
0,0,257,16,Durham,Western JL WTP (Small)
0,0,257,21,Raleigh,Reallocate Falls Lake
0,0,257,33,Durham,Western JL WTP (Large)
0,0,257,48,Raleigh,Neuse River Intake
0,0,258,16,Durham,Western JL WTP (Small)
0,0,258,21,Raleigh,Reallocate Falls Lake
0,0,258,33,Durham,Western JL WTP (Large)
0,0,258,40,Raleigh,Neuse River Intake
0,0,259,16,Durham,Western JL WTP (Small)
0,0,259,21,Raleigh,Reallocate Falls Lake
0,0,259,33,Durham,Western JL WTP (Large)
0,0,259,38,Raleigh,Neuse River Intake
0,0,260,16,Durham,Western JL WTP (Small)
0,0,260,23,Raleigh,Reallocate Falls Lake
0,0,260,33,Durham,Western JL WTP (Large)
0,0,260,48,Raleigh,Neuse River Intake
0,0,261,16,Durham,Western JL WTP (Small)
0,0,261,23,Raleigh,Reallocate Falls Lake
0,0,261,33,Durham,Western JL WTP (Large)
0,0,261,47,Raleigh,Neuse River Intake
0,0,262,16,Durham,Western JL WTP (Small)
0,0,262,21,Raleigh,Reallocate Falls Lake
0,0,262,33,Durham,Western JL WTP (Large)
0,0,262,48,Raleigh,Neuse River Intake
0,0,263,16,Durham,Western JL WTP (Small)
0,0,263,21,Raleigh,Reallocate Falls Lake
0,0,263,33,Durham,Western JL WTP (Large)
0,0,263,48,Raleigh,Neuse River Intake
0,0,264,16,Durham,Western JL WTP (Small)
0,0,264,23,Raleigh,Reallocate Falls Lake
0,0,264,33,Durham,Western JL WTP (Large)
0,0,264,48,Raleigh,Neuse River Intake
0,0,265,16,Durham,Western JL WTP (Small)
0,0,265,23,Raleigh,Reallocate Falls Lake
0,0,265,33,Durham,Western JL WTP (Large)
0,0,266,16,Durham,Western JL WTP (Small)
0,0,266,23,Raleigh,Reallocate Falls Lake
0,0,266,33,Durham,Western JL WTP (Large)
0,0,266,42,Raleigh,Neuse River Intake
0,0,267,16,Durham,Western JL WTP (Small)
0,0,267,23,Raleigh,Reallocate Falls Lake
0,0,267,33,Durham,Western JL WTP (Large)
0,0,267,52,Raleigh,Neuse River Intake
0,0,268,16,Durham,Western JL WTP (Small)
0,0,268,23,Raleigh,Reallocate Falls Lake
0,0,268,33,Durham,Western JL WTP (Large)
0,0,269,16,Durham,Western JL WTP (Small)
0,0,269,21,Raleigh,Reallocate Falls Lake
0,0,269,33,Durham,Western JL WTP (Large)
0,0,269,42,Raleigh,Neuse River Intake
0,0,270,16,Durham,Western JL WTP (Small)
0,0,270,23,Raleigh,Reallocate Falls Lake
0,0,270,33,Durham,Western JL WTP (Large)
0,0,270,49,Raleigh,Neuse River Intake
0,0,271,16,Durham,Western JL WTP (Small)
0,0,271,23,Raleigh,Reallocate Falls Lake
0,0,271,33,Durham,Western JL WTP (Large)
0,0,271,48,Raleigh,Neuse River Intake
0,0,272,16,Durham,Western JL WTP (Small)
0,0,272,23,Raleigh,Reallocate Falls Lake
0,0,272,33,Durham,Western JL WTP (Large)
0,0,272,52,Raleigh,Neuse River Intake
0,0,273,16,Durham,Western JL WTP (Small)
0,0,273,23,Raleigh,Reallocate Falls Lake
0,0,273,33,Durham,Western JL WTP (Large)
0,0,273,48,Raleigh,Neuse River Intake
0,0,274,16,Durham,Western JL WTP (Small)
0,0,274,23,Raleigh,Reallocate Falls Lake
0,0,274,33,Durham,Western JL WTP (Large)
0,0,274,48,Raleigh,Neuse River Intake
0,0,275,16,Durham,Western JL WTP (Small)
0,0,275,23,Raleigh,Reallocate Falls Lake
0,0,275,33,Durham,Western JL WTP (Large)
0,0,275,48,Raleigh,Neuse River Intake
0,0,276,16,Durham,Western JL WTP (Small)
0,0,276,23,Raleigh,Reallocate Falls Lake
0,0,276,33,Durham,Western JL WTP (Large)
0,0,276,48,Raleigh,Neuse River Intake
0,0,277,16,Durham,Western JL WTP (Small)
0,0,277,23,Raleigh,Reallocate Falls Lake
0,0,277,33,Durham,Western JL WTP (Large)
0,0,277,48,Raleigh,Neuse River Intake
0,0,278,16,Durham,Western JL WTP (Small)
0,0,278,21,Raleigh,Reallocate Falls Lake
0,0,278,33,Durham,Western JL WTP (Large)
0,0,278,48,Raleigh,Neuse River Intake
0,0,279,16,Durham,Western JL WTP (Small)
0,0,279,23,Raleigh,Reallocate Falls Lake
0,0,279,33,Durham,Western JL WTP (Large)
0,0,279,46,Raleigh,Neuse River Intake
0,0,280,16,Durham,Western JL WTP (Small)
0,0,280,23,Raleigh,Reallocate Falls Lake
0,0,280,33,Durham,Western JL WTP (Large)
0,0,280,48,Raleigh,Neuse River Intake
0,0,281,16,Durham,Western JL WTP (Small)
0,0,281,23,Raleigh,Reallocate Falls Lake
0,0,281,33,Durham,Western JL WTP (Large)
0,0,281,48,Raleigh,Neuse River Intake
0,0,282,16,Durham,Western JL WTP (Small)
0,0,282,23,Raleigh,Reallocate Falls Lake
0,0,282,33,Durham,Western JL WTP (Large)
0,0,282,46,Raleigh,Neuse River Intake
0,0,283,16,Durham,Western JL WTP (Small)
0,0,283,23,Raleigh,Reallocate Falls Lake
0,0,283,33,Durham,Western JL WTP (Large)
0,0,284,16,Durham,Western JL WTP (Small)
0,0,284,21,Raleigh,Reallocate Falls Lake
0,0,284,33,Durham,Western JL WTP (Large)
0,0,284,35,Raleigh,Neuse River Intake
0,0,285,16,Durham,Western JL WTP (Small)
0,0,285,21,Raleigh,Reallocate Falls Lake
0,0,285,33,Durham,Western JL WTP (Large)
0,0,285,47,Raleigh,Neuse River Intake
0,0,286,16,Durham,Western JL WTP (Small)
0,0,286,23,Raleigh,Reallocate Falls Lake
0,0,286,33,Durham,Western JL WTP (Large)
0,0,286,45,Raleigh,Neuse River Intake
0,0,287,16,Durham,Western JL WTP (Small)
0,0,287,23,Raleigh,Reallocate Falls Lake
0,0,287,33,Durham,Western JL WTP (Large)
0,0,288,16,Durham,Western JL WTP (Small)
0,0,288,23,Raleigh,Reallocate Falls Lake
0,0,288,33,Durham,Western JL WTP (Large)
0,0,288,48,Raleigh,Neuse River Intake
0,0,289,16,Durham,Western JL WTP (Small)
0,0,289,23,Raleigh,Reallocate Falls Lake
0,0,289,33,Durham,Western JL WTP (Large)
0,0,290,16,Durham,Western JL WTP (Small)
0,0,290,23,Raleigh,Reallocate Falls Lake
0,0,290,33,Durham,Western JL WTP (Large)
0,0,290,39,Raleigh,Neuse River Intake
0,0,291,16,Durham,Western JL WTP (Small)
0,0,291,23,Raleigh,Reallocate Falls Lake
0,0,291,33,Durham,Western JL WTP (Large)
0,0,291,48,Raleigh,Neuse River Intake
0,0,292,16,Durham,Western JL WTP (Small)
0,0,292,23,Raleigh,Reallocate Falls Lake
0,0,292,33,Durham,Western JL WTP (Large)
0,0,292,48,Raleigh,Neuse River Intake
0,0,293,16,Durham,Western JL WTP (Small)
0,0,293,23,Raleigh,Reallocate Falls Lake
0,0,293,33,Durham,Western JL WTP (Large)
0,0,293,48,Raleigh,Neuse River Intake
0,0,294,16,Durham,Western JL WTP (Small)
0,0,294,23,Raleigh,Reallocate Falls Lake
0,0,294,33,Durham,Western JL WTP (Large)
0,0,294,48,Raleigh,Neuse River Intake
0,0,295,16,Durham,Western JL WTP (Small)
0,0,295,23,Raleigh,Reallocate Falls Lake
0,0,295,33,Durham,Western JL WTP (Large)
0,0,295,43,Raleigh,Neuse River Intake
0,0,296,16,Durham,Western JL WTP (Small)
0,0,296,23,Raleigh,Reallocate Falls Lake
0,0,296,33,Durham,Western JL WTP (Large)
0,0,296,50,Raleigh,Neuse River Intake
0,0,297,16,Durham,Western JL WTP (Small)
0,0,297,23,Raleigh,Reallocate Falls Lake
0,0,297,33,Durham,Western JL WTP (Large)
0,0,298,16,Durham,Western JL WTP (Small)
