Solution,RDMnum,Realization,Year,Utility,Project
0,0,29,33,Durham,Western JL WTP (Large)
0,0,29,45,Raleigh,Neuse River Intake
0,0,30,16,Durham,Western JL WTP (Small)
0,0,30,23,Raleigh,Reallocate Falls Lake
0,0,30,33,Durham,Western JL WTP (Large)
0,0,30,48,Raleigh,Neuse River Intake
0,0,31,16,Durham,Western JL WTP (Small)
0,0,31,21,Raleigh,Reallocate Falls Lake
0,0,31,33,Durham,Western JL WTP (Large)
0,0,31,44,Raleigh,Neuse River Intake
0,0,32,16,Durham,Western JL WTP (Small)
0,0,32,23,Raleigh,Reallocate Falls Lake
0,0,32,33,Durham,Western JL WTP (Large)
0,0,33,16,Durham,Western JL WTP (Small)
0,0,33,23,Raleigh,Reallocate Falls Lake
0,0,33,33,Durham,Western JL WTP (Large)
0,0,33,46,Raleigh,Neuse River Intake
0,0,34,16,Durham,Western JL WTP (Small)
0,0,34,23,Raleigh,Reallocate Falls Lake
0,0,34,33,Durham,Western JL WTP (Large)
0,0,34,48,Raleigh,Neuse River Intake
0,0,35,16,Durham,Western JL WTP (Small)
0,0,35,23,Raleigh,Reallocate Falls Lake
0,0,35,33,Durham,Western JL WTP (Large)
0,0,36,16,Durham,Western JL WTP (Small)
0,0,36,23,Raleigh,Reallocate Falls Lake
0,0,36,33,Durham,Western JL WTP (Large)
0,0,37,16,Durham,Western JL WTP (Small)
0,0,37,23,Raleigh,Reallocate Falls Lake
0,0,37,33,Durham,Western JL WTP (Large)
0,0,38,16,Durham,Western JL WTP (Small)
0,0,38,23,Raleigh,Reallocate Falls Lake
0,0,38,33,Durham,Western JL WTP (Large)
0,0,38,48,Raleigh,Neuse River Intake
0,0,39,16,Durham,Western JL WTP (Small)
0,0,39,23,Raleigh,Reallocate Falls Lake
0,0,39,33,Durham,Western JL WTP (Large)
0,0,39,48,Raleigh,Neuse River Intake
0,0,40,16,Durham,Western JL WTP (Small)
0,0,40,21,Raleigh,Reallocate Falls Lake
0,0,40,33,Durham,Western JL WTP (Large)
0,0,40,48,Raleigh,Neuse River Intake
0,0,41,16,Durham,Western JL WTP (Small)
0,0,41,23,Raleigh,Reallocate Falls Lake
0,0,41,33,Durham,Western JL WTP (Large)
0,0,42,16,Durham,Western JL WTP (Small)
0,0,42,23,Raleigh,Reallocate Falls Lake
0,0,42,33,Durham,Western JL WTP (Large)
0,0,42,43,Raleigh,Neuse River Intake
0,0,43,16,Durham,Western JL WTP (Small)
0,0,43,23,Raleigh,Reallocate Falls Lake
0,0,43,33,Durham,Western JL WTP (Large)
0,0,43,49,Raleigh,Neuse River Intake
0,0,44,16,Durham,Western JL WTP (Small)
0,0,44,23,Raleigh,Reallocate Falls Lake
0,0,44,33,Durham,Western JL WTP (Large)
0,0,45,16,Durham,Western JL WTP (Small)
0,0,45,23,Raleigh,Reallocate Falls Lake
0,0,45,33,Durham,Western JL WTP (Large)
0,0,46,16,Durham,Western JL WTP (Small)
0,0,46,23,Raleigh,Reallocate Falls Lake
0,0,46,33,Durham,Western JL WTP (Large)
0,0,46,48,Raleigh,Neuse River Intake
0,0,47,16,Durham,Western JL WTP (Small)
0,0,47,23,Raleigh,Reallocate Falls Lake
0,0,47,33,Durham,Western JL WTP (Large)
0,0,47,45,Raleigh,Neuse River Intake
0,0,48,16,Durham,Western JL WTP (Small)
0,0,48,21,Raleigh,Reallocate Falls Lake
0,0,48,33,Durham,Western JL WTP (Large)
0,0,48,48,Raleigh,Neuse River Intake
0,0,49,16,Durham,Western JL WTP (Small)
0,0,49,23,Raleigh,Reallocate Falls Lake
0,0,49,33,Durham,Western JL WTP (Large)
0,0,50,16,Durham,Western JL WTP (Small)
0,0,50,23,Raleigh,Reallocate Falls Lake
0,0,50,33,Durham,Western JL WTP (Large)
0,0,50,49,Raleigh,Neuse River Intake
0,0,51,16,Durham,Western JL WTP (Small)
0,0,51,23,Raleigh,Reallocate Falls Lake
0,0,51,33,Durham,Western JL WTP (Large)
0,0,51,49,Raleigh,Neuse River Intake
0,0,52,16,Durham,Western JL WTP (Small)
0,0,52,23,Raleigh,Reallocate Falls Lake
0,0,52,33,Durham,Western JL WTP (Large)
0,0,52,48,Raleigh,Neuse River Intake
0,0,53,16,Durham,Western JL WTP (Small)
0,0,53,23,Raleigh,Reallocate Falls Lake
0,0,53,33,Durham,Western JL WTP (Large)
0,0,54,16,Durham,Western JL WTP (Small)
0,0,54,23,Raleigh,Reallocate Falls Lake
0,0,54,33,Durham,Western JL WTP (Large)
0,0,54,48,Raleigh,Neuse River Intake
0,0,55,16,Durham,Western JL WTP (Small)
0,0,55,23,Raleigh,Reallocate Falls Lake
0,0,55,33,Durham,Western JL WTP (Large)
0,0,55,45,Raleigh,Neuse River Intake
0,0,56,16,Durham,Western JL WTP (Small)
0,0,56,23,Raleigh,Reallocate Falls Lake
0,0,56,33,Durham,Western JL WTP (Large)
0,0,56,48,Raleigh,Neuse River Intake
0,0,57,16,Durham,Western JL WTP (Small)
0,0,57,21,Raleigh,Reallocate Falls Lake
0,0,57,33,Durham,Western JL WTP (Large)
0,0,57,48,Raleigh,Neuse River Intake
0,0,58,16,Durham,Western JL WTP (Small)
0,0,58,23,Raleigh,Reallocate Falls Lake
0,0,58,33,Durham,Western JL WTP (Large)
0,0,58,48,Raleigh,Neuse River Intake
0,0,59,16,Durham,Western JL WTP (Small)
0,0,59,23,Raleigh,Reallocate Falls Lake
0,0,59,33,Durham,Western JL WTP (Large)
0,0,59,40,Raleigh,Neuse River Intake
0,0,60,16,Durham,Western JL WTP (Small)
0,0,60,23,Raleigh,Reallocate Falls Lake
0,0,60,33,Durham,Western JL WTP (Large)
0,0,60,48,Raleigh,Neuse River Intake
0,0,61,16,Durham,Western JL WTP (Small)
0,0,61,23,Raleigh,Reallocate Falls Lake
0,0,61,33,Durham,Western JL WTP (Large)
0,0,61,48,Raleigh,Neuse River Intake
0,0,62,16,Durham,Western JL WTP (Small)
0,0,62,23,Raleigh,Reallocate Falls Lake
0,0,62,33,Durham,Western JL WTP (Large)
0,0,62,48,Raleigh,Neuse River Intake
0,0,63,16,Durham,Western JL WTP (Small)
0,0,63,23,Raleigh,Reallocate Falls Lake
0,0,63,33,Durham,Western JL WTP (Large)
0,0,64,16,Durham,Western JL WTP (Small)
0,0,64,21,Raleigh,Reallocate Falls Lake
0,0,64,33,Durham,Western JL WTP (Large)
0,0,64,47,Raleigh,Neuse River Intake
0,0,65,16,Durham,Western JL WTP (Small)
0,0,65,23,Raleigh,Reallocate Falls Lake
0,0,65,33,Durham,Western JL WTP (Large)
0,0,65,48,Raleigh,Neuse River Intake
0,0,66,16,Durham,Western JL WTP (Small)
0,0,66,23,Raleigh,Reallocate Falls Lake
0,0,66,33,Durham,Western JL WTP (Large)
0,0,67,16,Durham,Western JL WTP (Small)
0,0,67,22,Raleigh,Reallocate Falls Lake
0,0,67,33,Durham,Western JL WTP (Large)
0,0,67,48,Raleigh,Neuse River Intake
0,0,68,16,Durham,Western JL WTP (Small)
0,0,68,23,Raleigh,Reallocate Falls Lake
0,0,68,33,Durham,Western JL WTP (Large)
0,0,68,48,Raleigh,Neuse River Intake
0,0,69,16,Durham,Western JL WTP (Small)
0,0,69,23,Raleigh,Reallocate Falls Lake
0,0,69,33,Durham,Western JL WTP (Large)
0,0,69,48,Raleigh,Neuse River Intake
0,0,70,16,Durham,Western JL WTP (Small)
0,0,70,23,Raleigh,Reallocate Falls Lake
0,0,70,33,Durham,Western JL WTP (Large)
0,0,71,16,Durham,Western JL WTP (Small)
0,0,71,23,Raleigh,Reallocate Falls Lake
0,0,71,33,Durham,Western JL WTP (Large)
0,0,72,16,Durham,Western JL WTP (Small)
0,0,72,23,Raleigh,Reallocate Falls Lake
0,0,72,33,Durham,Western JL WTP (Large)
0,0,72,48,Raleigh,Neuse River Intake
0,0,73,16,Durham,Western JL WTP (Small)
0,0,73,23,Raleigh,Reallocate Falls Lake
0,0,73,33,Durham,Western JL WTP (Large)
0,0,73,47,Raleigh,Neuse River Intake
0,0,74,16,Durham,Western JL WTP (Small)
0,0,74,23,Raleigh,Reallocate Falls Lake
0,0,74,33,Durham,Western JL WTP (Large)
0,0,74,48,Raleigh,Neuse River Intake
0,0,75,16,Durham,Western JL WTP (Small)
0,0,75,21,Raleigh,Reallocate Falls Lake
0,0,75,33,Durham,Western JL WTP (Large)
0,0,75,47,Raleigh,Neuse River Intake
0,0,76,16,Durham,Western JL WTP (Small)
0,0,76,23,Raleigh,Reallocate Falls Lake
0,0,76,33,Durham,Western JL WTP (Large)
0,0,76,46,Raleigh,Neuse River Intake
0,0,77,16,Durham,Western JL WTP (Small)
0,0,77,23,Raleigh,Reallocate Falls Lake
0,0,77,33,Durham,Western JL WTP (Large)
0,0,77,46,Raleigh,Neuse River Intake
0,0,78,16,Durham,Western JL WTP (Small)
0,0,78,23,Raleigh,Reallocate Falls Lake
0,0,78,33,Durham,Western JL WTP (Large)
0,0,78,48,Raleigh,Neuse River Intake
0,0,79,16,Durham,Western JL WTP (Small)
0,0,79,23,Raleigh,Reallocate Falls Lake
0,0,79,33,Durham,Western JL WTP (Large)
0,0,79,46,Raleigh,Neuse River Intake
0,0,80,16,Durham,Western JL WTP (Small)
0,0,80,23,Raleigh,Reallocate Falls Lake
0,0,80,33,Durham,Western JL WTP (Large)
0,0,80,48,Raleigh,Neuse River Intake
0,0,81,16,Durham,Western JL WTP (Small)
0,0,81,23,Raleigh,Reallocate Falls Lake
0,0,81,33,Durham,Western JL WTP (Large)
0,0,81,48,Raleigh,Neuse River Intake
0,0,82,16,Durham,Western JL WTP (Small)
0,0,82,23,Raleigh,Reallocate Falls Lake
0,0,82,33,Durham,Western JL WTP (Large)
0,0,83,16,Durham,Western JL WTP (Small)
0,0,83,23,Raleigh,Reallocate Falls Lake
0,0,83,33,Durham,Western JL WTP (Large)
0,0,83,48,Raleigh,Neuse River Intake
0,0,84,16,Durham,Western JL WTP (Small)
0,0,84,23,Raleigh,Reallocate Falls Lake
0,0,84,33,Durham,Western JL WTP (Large)
0,0,84,43,Raleigh,Neuse River Intake
0,0,85,16,Durham,Western JL WTP (Small)
0,0,85,23,Raleigh,Reallocate Falls Lake
0,0,85,33,Durham,Western JL WTP (Large)
0,0,85,46,Raleigh,Neuse River Intake
0,0,86,16,Durham,Western JL WTP (Small)
0,0,86,23,Raleigh,Reallocate Falls Lake
0,0,86,33,Durham,Western JL WTP (Large)
0,0,86,48,Raleigh,Neuse River Intake
0,0,87,16,Durham,Western JL WTP (Small)
0,0,87,21,Raleigh,Reallocate Falls Lake
0,0,87,33,Durham,Western JL WTP (Large)
0,0,87,48,Raleigh,Neuse River Intake
0,0,88,16,Durham,Western JL WTP (Small)
0,0,88,23,Raleigh,Reallocate Falls Lake
0,0,88,33,Durham,Western JL WTP (Large)
0,0,88,47,Raleigh,Neuse River Intake
0,0,89,16,Durham,Western JL WTP (Small)
0,0,89,23,Raleigh,Reallocate Falls Lake
0,0,89,33,Durham,Western JL WTP (Large)
0,0,89,48,Raleigh,Neuse River Intake
0,0,90,16,Durham,Western JL WTP (Small)
0,0,90,22,Raleigh,Reallocate Falls Lake
0,0,90,33,Durham,Western JL WTP (Large)
0,0,90,40,Raleigh,Neuse River Intake
0,0,91,16,Durham,Western JL WTP (Small)
0,0,91,21,Raleigh,Reallocate Falls Lake
0,0,91,33,Durham,Western JL WTP (Large)
0,0,91,39,Raleigh,Neuse River Intake
0,0,92,16,Durham,Western JL WTP (Small)
0,0,92,23,Raleigh,Reallocate Falls Lake
0,0,92,33,Durham,Western JL WTP (Large)
0,0,92,49,Raleigh,Neuse River Intake
0,0,93,16,Durham,Western JL WTP (Small)
0,0,93,23,Raleigh,Reallocate Falls Lake
0,0,93,33,Durham,Western JL WTP (Large)
0,0,93,48,Raleigh,Neuse River Intake
0,0,94,16,Durham,Western JL WTP (Small)
0,0,94,23,Raleigh,Reallocate Falls Lake
0,0,94,33,Durham,Western JL WTP (Large)
0,0,94,48,Raleigh,Neuse River Intake
0,0,95,16,Durham,Western JL WTP (Small)
