Realization Number,Raleigh Average Weekly Release Volume (MGW),Durham Average Weekly Buyback Volume (MGW),Total Realization Cost of Releases to Raleigh,Total Realization Cost of Releases to Durham,Raleigh Average Weekly Transfer Volume (MGW),Durham Average Weekly Transfer Volume (MGW),Total Realization Cost of Transfers to Raleigh,Total Realization Cost of Transfers to Durham
0,4.83505,0.621135,9.34274,-9.34274,1.52653,6.51074,10.9544,46.721
1,5.1081,0.318512,11.5144,-11.5144,0.545474,7.88098,3.91432,56.5539
2,2.89346,0.411492,10.8471,-10.8471,0.622055,6.66209,4.46387,47.8072
3,5.92985,0.401391,10.9196,-10.9196,0.748503,6.99769,5.37126,50.2154
4,8.99547,1.02978,6.41028,-6.41028,3.09339,10.4234,22.1982,74.7986
5,3.83786,0.285995,11.7477,-11.7477,1.90646,10.116,13.6808,72.5921
6,7.9533,0.371597,11.1334,-11.1334,0.846903,7.16843,6.07738,51.4407
7,3.41151,0.656938,9.08581,-9.08581,0.689433,6.0384,4.94737,43.3315
8,7.1569,0.810334,7.98504,-7.98504,1.9518,9.12559,14.0061,65.4852
9,12.459,1.13701,5.64082,-5.64082,2.41967,5.08576,17.3635,36.4954
10,6.44593,0.75993,8.34674,-8.34674,0.960133,4.90233,6.88991,35.1791
11,6.67109,0.989756,6.69751,-6.69751,1.95823,6.34883,14.0523,45.5592
12,8.26763,0.548508,9.86391,-9.86391,0.783857,5.67305,5.62496,40.7098
13,11.445,1.52376,2.86548,-2.86548,1.58628,8.28861,11.3831,59.479
14,7.41596,0.575295,9.67168,-9.67168,1.17461,7.06416,8.42902,50.6924
15,12.6756,0.870535,7.55304,-7.55304,2.24358,6.19104,16.0999,44.4269
16,6.39314,0.664254,9.03332,-9.03332,0.828416,7.47767,5.94471,53.6598
17,17.4071,1.8352,0.630596,-0.630596,2.71631,8.46043,19.4923,60.712
18,8.69901,0.392073,10.9865,-10.9865,0.277881,4.67561,1.99408,33.5521
19,5.89069,0.687078,8.86953,-8.86953,0.675028,6.77317,4.844,48.6043
20,4.17547,0.725479,8.59396,-8.59396,2.22853,7.05406,15.9919,50.62
21,5.56609,0.568042,9.72373,-9.72373,1.5946,7.32078,11.4428,52.5339
22,5.75548,1.43814,3.47987,-3.47987,2.57441,7.43408,18.4739,53.3469
