Realization Number,Raleigh Average Weekly Release Volume (MGW),Durham Average Weekly Buyback Volume (MGW),Total Realization Cost of Releases to Raleigh,Total Realization Cost of Releases to Durham,Raleigh Average Weekly Transfer Volume (MGW),Durham Average Weekly Transfer Volume (MGW),Total Realization Cost of Transfers to Raleigh,Total Realization Cost of Transfers to Durham
0,3.20539,0.406431,10.8835,-10.8835,0.15055,0.535564,1.08035,3.8432
1,3.49899,0.251546,11.9949,-11.9949,0.00970519,0.210992,0.0696444,1.51408
2,1.79042,0.274706,11.8287,-11.8287,0,0.107702,0,0.772869
3,4.95035,0.623922,9.32274,-9.32274,0.0131735,0.133182,0.0945333,0.955713
4,5.7564,0.833095,7.82171,-7.82171,0.0599422,0.329456,0.430145,2.36418
5,1.85405,0.49508,10.2473,-10.2473,0.00863605,0.100893,0.0619723,0.724011
6,6.29464,0.781559,8.19153,-8.19153,0.0332968,0.0864458,0.238938,0.620335
7,2.03707,0.316886,11.526,-11.526,0.043133,0.487797,0.309523,3.50043
8,4.03591,0.424682,10.7525,-10.7525,0.0143428,0.136965,0.102924,0.982864
9,8.2048,0.862051,7.61392,-7.61392,0.261984,0.560838,1.88,4.02457
10,5.34435,0.500106,10.2112,-10.2112,0.0306267,0.121063,0.219777,0.868751
11,2.6026,0.559244,9.78686,-9.78686,0,0.0519398,0,0.37272
12,4.16656,0.280815,11.7849,-11.7849,0,0.253207,0,1.81701
13,6.71584,0.723367,8.60912,-8.60912,0.0655099,0.286585,0.470099,2.05654
14,4.30817,0.420901,10.7796,-10.7796,0.0322586,0.184491,0.231488,1.32391
15,12.1013,1.37107,3.96121,-3.96121,0.0540473,0.467701,0.387844,3.35622
16,2.99816,0.350574,11.2843,-11.2843,0.064333,0.284729,0.461654,2.04321
17,9.71356,1.45199,3.38052,-3.38052,0.175312,0.520441,1.25804,3.73468
18,6.08586,0.494415,10.2521,-10.2521,0.0129729,0.153032,0.0930937,1.09815
19,3.36857,0.716702,8.65694,-8.65694,0.106509,0.0739819,0.764306,0.530894
20,1.51286,0.354551,11.2557,-11.2557,0.000812891,0.24128,0.0058333,1.73143
21,3.25184,0.205162,12.3278,-12.3278,0.0510162,0.681191,0.366092,4.88823
22,2.74253,0.549588,9.85616,-9.85616,0.174825,0.566126,1.25454,4.06252
23,1.50421,0.373453,11.1201,-11.1201,0,0.22516,0,1.61575
24,2.0382,0.198924,12.3725,-12.3725,0.0651175,0.156695,0.467283,1.12444
25,5.83183,1.23287,4.95295,-4.95295,0.145947,0.440675,1.04732,3.16229
26,6.93656,1.53205,2.80602,-2.80602,0.165793,0.218213,1.18973,1.56589
27,4.5332,0.440827,10.6366,-10.6366,0.135298,0.216548,0.970895,1.55395
28,3.76055,0.218217,12.2341,-12.2341,0.0656432,0.304626,0.471055,2.18599
29,6.41855,0.962027,6.89649,-6.89649,0.115774,0.424131,0.830791,3.04356
30,2.22178,0.343133,11.3377,-11.3377,0.0146411,0.197246,0.105065,1.41544
31,4.23226,0.564496,9.74917,-9.74917,0.0652583,0.717099,0.468293,5.1459
32,5.65695,0.46131,10.4896,-10.4896,0.0635071,0.212061,0.455727,1.52175
33,4.0239,0.69046,8.84526,-8.84526,0.038458,0.304378,0.275975,2.18421
34,2.27431,0.54563,9.88456,-9.88456,0.00711376,0.144969,0.0510484,1.0403
35,3.71975,0.478252,10.3681,-10.3681,0.0416627,0.235869,0.298972,1.6926
36,2.79743,0.369701,11.147,-11.147,0.0033057,0.0682762,0.0237217,0.48995
37,4.79171,0.804302,8.02833,-8.02833,0.247408,0.654588,1.7754,4.69732
38,7.59759,1.11134,5.825,-5.825,0.137391,0.473527,0.985916,3.39803
39,2.05533,0.326328,11.4583,-11.4583,0.0536554,0.0730397,0.385031,0.524133
40,3.54348,0.169894,12.5808,-12.5808,0.052295,0.351644,0.375269,2.52339
41,2.05049,0.417935,10.8009,-10.8009,0.0681456,0.119696,0.489013,0.858938
42,2.15968,0.569939,9.71012,-9.71012,0.162274,0.41617,1.16448,2.98643
43,3.96434,0.424076,10.7568,-10.7568,0.0507915,0.100562,0.36448,0.721634
44,1.39511,0.125281,12.901,-12.901,0.0181184,0.194424,0.130017,1.39519
45,4.02826,0.418599,10.7961,-10.7961,0.0882746,0.169351,0.633459,1.21526
46,1.56824,0.312268,11.5592,-11.5592,0.0709474,0.137531,0.509119,0.986919
47,4.90182,0.628296,9.29135,-9.29135,0.00421449,0.0888595,0.0302432,0.637656
48,2.14276,0.349573,11.2915,-11.2915,0.00712529,0.126092,0.0511311,0.904838
49,0.751798,0.129594,12.87,-12.87,0.0353902,0.24756,0.25396,1.77649
50,3.27937,0.372905,11.124,-11.124,0.068278,0.214023,0.489963,1.53583
51,2.86212,0.0530853,13.4191,-13.4191,0.102298,0.348495,0.73409,2.5008
52,4.32443,0.5461,9.88119,-9.88119,0.0843719,0.13502,0.605453,0.968904
53,6.30285,0.637282,9.22686,-9.22686,0.00264606,0.336918,0.0189881,2.41772
54,7.14551,0.838883,7.78018,-7.78018,0.049693,0.227588,0.356597,1.63317
55,9.95987,1.24407,4.87259,-4.87259,0.0914553,0.10729,0.656283,0.769914
56,2.09357,0.0764388,13.2515,-13.2515,0.0518081,0.232958,0.371775,1.67171
57,1.97787,0.172086,12.5651,-12.5651,0.000460575,0.168887,0.00330508,1.21193
58,3.36892,0.602362,9.47745,-9.47745,0.19093,0.339657,1.37011,2.43738
59,6.70077,0.752833,8.39767,-8.39767,0.0628664,0.175692,0.451129,1.26077
60,4.8728,0.631504,9.26833,-9.26833,0.0143908,0.089799,0.103268,0.644398
61,4.51088,0.376159,11.1007,-11.1007,0.115976,0.288041,0.832242,2.06698
62,0.525281,0.212341,12.2762,-12.2762,0.0145803,0.147689,0.104628,1.05982
63,7.13764,0.996027,6.65251,-6.65251,0.0374482,0.13138,0.268728,0.942781
64,0.627732,0.0163482,13.6827,-13.6827,0.0264961,0.438442,0.190136,3.14626
65,1.67814,0.161917,12.6381,-12.6381,0.00278273,0.235371,0.0199689,1.68902
66,2.03672,0.255433,11.967,-11.967,0.0426809,0.363906,0.306278,2.61139
67,2.01797,0.378265,11.0856,-11.0856,0,0.292843,0,2.10144
68,4.96691,0.299574,11.6503,-11.6503,0.0427635,0.336212,0.306871,2.41266
69,5.75307,0.393606,10.9755,-10.9755,0.0244533,0.250294,0.175477,1.79611
70,4.64519,0.891476,7.40277,-7.40277,0.0255278,0.403689,0.183188,2.89687
71,4.94835,0.846181,7.72781,-7.72781,0.0493875,0.5006,0.354405,3.59231
72,3.92195,0.616042,9.37928,-9.37928,0.0636937,0.112708,0.457066,0.808791
73,4.69345,0.964793,6.87665,-6.87665,0.0275606,0.131623,0.197775,0.944528
74,4.401,0.377695,11.0897,-11.0897,0.110079,0.148975,0.789924,1.06904
75,2.04841,0.363023,11.1949,-11.1949,0.0306829,0.215499,0.220181,1.54642
76,2.36504,0.608151,9.43591,-9.43591,0,0.1721,0,1.23499
77,1.91748,0.462804,10.4789,-10.4789,0,0.191642,0,1.37523
78,3.82409,0.371597,11.1334,-11.1334,0.00112735,0.20886,0.00808983,1.49878
79,4.7236,0.355068,11.252,-11.252,0.0308145,0.181971,0.221125,1.30582
80,7.84445,0.83918,7.77804,-7.77804,0.104233,0.190756,0.747977,1.36886
81,11.2541,1.16484,5.44109,-5.44109,0.092869,0.194033,0.666428,1.39238
82,4.71138,0.763379,8.32199,-8.32199,0.0157585,0.37783,0.113083,2.71131
83,4.86926,0.388368,11.0131,-11.0131,0.102805,0.215568,0.737726,1.54692
84,0.810653,0.0284928,13.5955,-13.5955,0.012864,0.274795,0.0923124,1.97193
85,4.35033,0.583938,9.60966,-9.60966,0.0868804,0.186283,0.623453,1.33677
86,2.05851,0.231076,12.1418,-12.1418,0,0.0208185,0,0.149393
87,3.85025,0.337378,11.379,-11.379,0.00660339,0.217748,0.0473859,1.56256
88,2.66767,0.100502,13.0788,-13.0788,0.0209343,0.103606,0.150224,0.743478
89,3.66918,0.496937,10.234,-10.234,0,0.149857,0,1.07538
