Realization Number,Raleigh Average Weekly Release Volume (MGW),Durham Average Weekly Buyback Volume (MGW),Total Realization Cost of Releases to Raleigh,Total Realization Cost of Releases to Durham,Raleigh Average Weekly Transfer Volume (MGW),Durham Average Weekly Transfer Volume (MGW),Total Realization Cost of Transfers to Raleigh,Total Realization Cost of Transfers to Durham
0,4.54403,0.532039,9.98208,-9.98208,0.15055,0.622174,1.08035,4.46472
1,4.52988,0.169866,12.581,-12.581,0.00961784,0.202488,0.0690176,1.45305
2,2.87165,0.41032,10.8555,-10.8555,0,0.135476,0,0.972177
3,5.77827,0.402306,10.9131,-10.9131,0.0131735,0.135185,0.0945332,0.97009
4,8.75827,1.00117,6.61558,-6.61558,0.07376,0.501014,0.529302,3.59528
5,3.25471,0.320202,11.5022,-11.5022,0.00729328,0.102236,0.0523366,0.733647
6,7.69334,0.39299,10.9799,-10.9799,0.0352123,0.293597,0.252684,2.10685
7,3.76243,0.49213,10.2685,-10.2685,0.043133,0.464743,0.309523,3.335
8,6.24934,0.575489,9.67029,-9.67029,0.0309065,0.237222,0.221785,1.7023
9,12.239,1.1909,5.25407,-5.25407,0.196884,0.554649,1.41284,3.98016
10,6.12935,0.83334,7.81995,-7.81995,0.0608147,0.145867,0.436406,1.04674
11,5.84244,0.938522,7.06516,-7.06516,0,0.0580457,0,0.416536
12,8.01601,0.56663,9.73387,-9.73387,0,0.233692,0,1.67697
13,10.7639,1.41744,3.62845,-3.62845,0.0816373,0.451228,0.585829,3.23801
14,6.86583,0.549745,9.85503,-9.85503,0.0324072,0.237559,0.232554,1.70472
15,12.4289,0.881467,7.4746,-7.4746,0.0539869,0.51974,0.38741,3.72965
16,6.38137,0.725145,8.59636,-8.59636,0.0437019,0.291499,0.313605,2.0918
17,16.478,1.82736,0.686875,-0.686875,0.138887,0.534168,0.996656,3.83319
18,8.6447,0.349064,11.2951,-11.2951,0.0129729,0.0971378,0.0930937,0.697061
19,5.8704,0.687076,8.86954,-8.86954,0.0536566,0.102975,0.38504,0.738948
20,3.60684,0.633673,9.25276,-9.25276,0.0123473,0.287627,0.0886044,2.06401
21,5.04885,0.527923,10.0116,-10.0116,0.0441324,0.689447,0.316694,4.94747
22,4.59596,0.889689,7.41559,-7.41559,0.181815,0.625795,1.3047,4.49071
23,2.82111,0.424682,10.7525,-10.7525,0.0135408,0.386888,0.0971691,2.77631
24,4.76948,0.556929,9.80348,-9.80348,0.0247462,0.172173,0.177578,1.23551
25,11.1772,1.9042,0.135456,-0.135456,0.138274,0.519058,0.992255,3.72476
26,12.1503,1.79163,0.943298,-0.943298,0.0886764,0.304676,0.636342,2.18635
