Realization Number,Raleigh Average Weekly Release Volume (MGW),Durham Average Weekly Buyback Volume (MGW),Total Realization Cost of Releases to Raleigh,Total Realization Cost of Releases to Durham,Raleigh Average Weekly Transfer Volume (MGW),Durham Average Weekly Transfer Volume (MGW),Total Realization Cost of Transfers to Raleigh,Total Realization Cost of Transfers to Durham
0,3.59636,0.565513,9.74188,-9.74188,0.15055,0.60457,1.08035,4.33839
1,9.33459,0.883244,7.46184,-7.46184,0.0125121,0.275085,0.0897868,1.97401
2,3.99293,0.353258,11.265,-11.265,0,0.135476,0,0.972177
3,7.79545,0.787406,8.14958,-8.14958,0.0853769,0.696009,0.612665,4.99456
4,10.3814,0.8785,7.49588,-7.49588,0.119971,0.768106,0.860909,5.51193
5,7.98509,0.970585,6.83508,-6.83508,0.0206389,0.194195,0.148105,1.39355
6,9.54576,1.11419,5.80454,-5.80454,0.0549309,0.420612,0.394184,3.01831
7,8.07578,0.770692,8.26951,-8.26951,0.0511687,0.600288,0.367187,4.30767
8,5.39004,0.583938,9.60966,-9.60966,0.0927791,0.493749,0.665782,3.54314
9,11.4532,1.15413,5.51798,-5.51798,0.295059,0.74754,2.11734,5.36435
10,9.98035,0.71568,8.66428,-8.66428,0.0646571,0.237713,0.463979,1.70583
11,6.83964,0.733675,8.53515,-8.53515,0.0271447,0.380286,0.194791,2.72893
12,9.9684,0.782814,8.18252,-8.18252,0,0.321075,0,2.30403
13,11.276,1.41654,3.63493,-3.63493,0.145493,0.794125,1.04406,5.69864
14,7.11003,0.562997,9.75994,-9.75994,0.0323328,0.287486,0.23202,2.063
15,16.5297,1.77864,1.0365,-1.0365,0.0697773,0.771619,0.500722,5.53714
16,6.89448,0.693998,8.81987,-8.81987,0.0873073,0.362149,0.626517,2.59878
17,13.8791,1.55016,2.67603,-2.67603,0.176304,0.572139,1.26516,4.10567
18,9.7743,1.00635,6.57842,-6.57842,0.0129729,0.20095,0.0930937,1.44202
19,7.3159,1.46831,3.26342,-3.26342,0.0953255,0.0851649,0.684056,0.611143
20,6.37858,0.814172,7.9575,-7.9575,0.0458536,0.365041,0.329046,2.61954
21,7.64064,1.08611,6.00604,-6.00604,0.10326,0.826277,0.740993,5.92937
22,6.08733,0.548561,9.86353,-9.86353,0.21152,0.819697,1.51787,5.88215
23,4.17417,0.815962,7.94466,-7.94466,0.0135408,0.387798,0.0971691,2.78283
24,6.8843,0.4995,10.2156,-10.2156,0.0651175,0.194469,0.467283,1.39551
25,11.9807,1.52778,2.83667,-2.83667,0.165929,0.638497,1.19071,4.58186
26,9.40654,1.38194,3.88316,-3.88316,0.15684,0.508756,1.12548,3.65083
27,10.9022,0.979704,6.76964,-6.76964,0.100705,0.772628,0.722656,5.54438
28,7.8814,0.738012,8.50403,-8.50403,0.0744688,0.401759,0.534388,2.88302
29,14.238,1.49545,3.06865,-3.06865,0.145011,0.93643,1.0406,6.71982
30,9.19013,1.22106,5.03766,-5.03766,0.0144446,0.511656,0.103654,3.67164
31,7.17861,0.600438,9.49126,-9.49126,0.0762942,0.892858,0.547487,6.40715
32,10.9045,1.12195,5.74888,-5.74888,0.16765,0.318357,1.20305,2.28453
33,7.91184,1.05153,6.2542,-6.2542,0.0215494,0.528434,0.154638,3.79204
34,4.66372,1.28663,4.56713,-4.56713,0.00711376,0.177572,0.0510484,1.27425
35,7.08823,0.769429,8.27858,-8.27858,0.0703345,0.431505,0.50472,3.09648
36,4.06724,0.438924,10.6503,-10.6503,0.00506705,0.261305,0.0363611,1.87512
37,7.44053,0.826931,7.86594,-7.86594,0.219743,0.721195,1.57687,5.1753
38,13.1899,1.38169,3.88502,-3.88502,0.155535,0.647646,1.11612,4.64751
39,4.9705,0.520026,10.0683,-10.0683,0.0536554,0.130927,0.385031,0.939532
40,8.83584,0.746085,8.44609,-8.44609,0.100992,0.580833,0.724721,4.16806
41,6.01371,0.754303,8.38712,-8.38712,0.0718712,0.206185,0.515748,1.47958
