Realization Number,Raleigh Average Weekly Release Volume (MGW),Durham Average Weekly Buyback Volume (MGW),Total Realization Cost of Releases to Raleigh,Total Realization Cost of Releases to Durham,Raleigh Average Weekly Transfer Volume (MGW),Durham Average Weekly Transfer Volume (MGW),Total Realization Cost of Transfers to Raleigh,Total Realization Cost of Transfers to Durham
72,4.48914,0.637023,9.22872,-9.22872,0.0398265,0,0.285795,0
73,9.90173,1.35195,4.09839,-4.09839,0.0189803,0.00586754,0.136203,0.0421054
74,6.49135,0.800659,8.05447,-8.05447,0.0553412,0.0117502,0.397129,0.0843197
75,9.59278,1.29291,4.52208,-4.52208,0.0417851,0.163177,0.29985,1.17096
76,4.79778,0.742221,8.47382,-8.47382,0,0.00632693,0,0.045402
77,5.73765,0.392177,10.9857,-10.9857,0,0.00332645,0,0.0238706
78,8.69009,0.692933,8.82751,-8.82751,0,0.0659436,0,0.473211
79,7.25995,0.496242,10.239,-10.239,0,0.00327644,0,0.0235118
80,13.0426,1.13749,5.63739,-5.63739,0.0107827,0.0122614,0.0773765,0.0879877
81,17.6349,1.3565,4.06579,-4.06579,0.0118158,0.0212135,0.0847905,0.152228
82,11.4907,1.27932,4.6196,-4.6196,0.00461425,0.187434,0.0331118,1.34502
83,7.49035,0.765463,8.30704,-8.30704,0.0722496,0.0637751,0.518463,0.45765
84,5.80947,0.769634,8.2771,-8.2771,0,0.0222349,0,0.159558
85,7.92513,1.09026,5.97632,-5.97632,0.0530053,0.00716586,0.380366,0.0514222
86,3.403,0.431832,10.7012,-10.7012,0,0,0,0
87,6.36073,0.488327,10.2958,-10.2958,0.0066034,0.0259319,0.047386,0.186087
88,8.41887,1.05902,6.2005,-6.2005,0.0292397,0.0293493,0.209824,0.210611
89,7.31827,1.06875,6.13064,-6.13064,0,0,0,0
90,4.39691,0.45461,10.5377,-10.5377,0.0172757,0,0.12397,0
91,15.9516,1.28815,4.55622,-4.55622,0.0281889,0.159494,0.202284,1.14453
92,4.77216,0.787173,8.15125,-8.15125,0.0671827,0.031107,0.482103,0.223224
93,12.4713,1.30864,4.40918,-4.40918,0.0318514,0.0461257,0.228565,0.330998
94,10.2059,0.961,6.90386,-6.90386,0,0.109979,0,0.789207
95,4.96389,0.767537,8.29216,-8.29216,0,0,0,0
96,10.1575,1.22585,5.00328,-5.00328,0.0192377,0.0137481,0.13805,0.0986563
97,6.37957,0.77624,8.2297,-8.2297,0.0142995,0.015673,0.102613,0.112469
98,6.01533,0.308026,11.5896,-11.5896,0,0.000928594,0,0.00666359
99,4.48853,0.842573,7.7537,-7.7537,0.0476258,0.149864,0.341763,1.07542
