Realization Number,Raleigh Average Weekly Release Volume (MGW),Durham Average Weekly Buyback Volume (MGW),Total Realization Cost of Releases to Raleigh,Total Realization Cost of Releases to Durham,Raleigh Average Weekly Transfer Volume (MGW),Durham Average Weekly Transfer Volume (MGW),Total Realization Cost of Transfers to Raleigh,Total Realization Cost of Transfers to Durham
70,22.4046,1.54906,2.68394,-2.68394,0.130323,1.47995,0.935199,10.6201
71,18.552,1.78221,1.01086,-1.01086,0.230333,1.55408,1.65287,11.1521
72,10.7956,1.08676,6.00143,-6.00143,0.131889,0.554694,0.946435,3.98049
73,21.2626,2.04329,-0.862616,0.862616,0.0875744,0.342154,0.628434,2.4553
74,14.7873,0.9986,6.63405,-6.63405,0.192285,0.503754,1.37984,3.61494
75,22.1723,2.04656,-0.886136,0.886136,0.302442,1.56522,2.17032,11.232
76,10.4934,0.838601,7.7822,-7.7822,0,0.493172,0,3.539
77,12.9843,0.839595,7.77507,-7.77507,0.246601,0.861419,1.76961,6.18154
78,19.5142,1.40594,3.71098,-3.71098,0.239451,1.05311,1.7183,7.55709
79,17.2937,1.17919,5.33814,-5.33814,0.00826465,0.53284,0.0593071,3.82366
80,28.6864,2.48303,-4.01823,4.01823,0.150437,0.611555,1.07954,4.38852
81,28.8456,2.59927,-4.85238,4.85238,0.283733,0.927996,2.03607,6.6593
82,20.8111,1.90392,0.137485,-0.137485,0.1303,1.2542,0.935033,9.00015
83,17.5134,1.34167,4.17216,-4.17216,0.10486,0.750204,0.752477,5.38346
84,16.4728,1.05014,6.26417,-6.26417,0.211237,1.32811,1.51584,9.5305
85,18.1626,1.76984,1.09964,-1.09964,0.133857,1.02792,0.96056,7.37635
86,12.8799,1.18574,5.29114,-5.29114,0.168266,1.02187,1.20747,7.33296
87,19.0677,0.922342,7.18127,-7.18127,0.0186793,0.340514,0.134043,2.44353
88,23.576,1.63833,2.04331,-2.04331,0.0762231,0.532934,0.546977,3.82433
89,15.4925,1.41932,3.61493,-3.61493,0.195453,1.01039,1.40257,7.25054
90,16.5782,1.41322,3.65873,-3.65873,0.0586647,0.339492,0.420978,2.4362
91,32.1119,1.93665,-0.0974194,0.0974194,0.188367,1.47085,1.35172,10.5549
92,13.8686,0.906908,7.29203,-7.29203,0.183645,1.23225,1.31783,8.8426
93,25.8391,2.08603,-1.16938,1.16938,0.321339,1.36333,2.30593,9.78324
94,23.0693,1.98296,-0.429727,0.429727,0.197509,1.0518,1.41733,7.54772
95,15.0885,0.914295,7.23902,-7.23902,0.0483353,0.497067,0.346854,3.56695
96,22.824,1.0135,6.52712,-6.52712,0.0781025,0.854393,0.560463,6.13112
97,14.4695,1.21069,5.11212,-5.11212,0.200791,0.620118,1.44088,4.44997
98,11.8093,0.615314,9.3845,-9.3845,0.0867975,0.694842,0.622859,4.98619
99,18.073,1.07996,6.05018,-6.05018,0.238635,0.903156,1.71245,6.48104
