Rank,Realization,Raleigh Average Weekly Release Volume (MGW),Durham Average Weekly Buyback Volume (MGW),Total Realization Cost of Releases to Raleigh,Total Realization Cost of Releases to Durham,Raleigh Average Weekly Transfer Volume (MGW),Durham Average Weekly Transfer Volume (MGW),Total Realization Cost of Transfers to Raleigh,Total Realization Cost of Transfers to Durham
0,0,1.87349,1.23133,4.96397,-4.96397,0.134307,1.0016,0.96379,7.18745
0,1,5.58238,1.77325,1.07518,-1.07518,0.291724,1.12147,2.09341,8.04764
0,2,2.99284,4.57921,-19.0604,19.0604,0.352316,3.41423,2.52822,24.5005
0,3,8.55614,9.24783,-52.5624,52.5624,0.58314,2.23362,4.18461,16.0285
0,4,12.6491,19.0836,-123.144,123.144,1.50963,2.06236,10.8331,14.7995
0,5,12.0946,18.8168,-121.23,121.23,1.11426,1.97115,7.9959,14.1449
0,6,7.54798,5.99402,-29.2131,29.2131,0.333935,0.523431,2.39632,3.75614
0,7,9.52738,9.6572,-55.5,55.5,0.458203,0.81435,3.28806,5.84378
0,8,6.14043,27.1402,-180.958,180.958,1.18681,3.0718,8.51652,22.0433
0,9,7.53018,10.6413,-62.5621,62.5621,0.73062,0.953912,5.24293,6.84527
0,10,6.54249,6.06713,-29.7377,29.7377,0.116886,0.829602,0.838776,5.95322
0,11,7.68286,12.3372,-74.7314,74.7314,0.621386,1.01498,4.45907,7.28349
0,12,10.3624,1.91416,0.0639936,-0.0639936,0.100776,0.422545,0.723169,3.03219
0,13,8.12358,9.37571,-53.4801,53.4801,0.649451,3.34555,4.66046,24.0077
0,14,8.19994,7.83274,-42.4077,42.4077,0.229068,1.4037,1.64379,10.0729
0,15,9.06558,15.3338,-96.2354,96.2354,0.699745,5.77886,5.02137,41.4691
0,16,4.75416,3.48118,-11.1809,11.1809,0.534825,0.820871,3.8379,5.89057
0,17,16.8552,9.76185,-56.251,56.251,0.692624,6.40602,4.97027,45.9696
0,18,5.16697,2.62213,-5.01638,5.01638,0.0601894,0.539379,0.431919,3.87058
0,19,8.9325,5.02655,-22.2705,22.2705,0.702341,1.16721,5.04,8.37588
0,20,4.87808,8.61155,-47.9965,47.9965,0.986219,1.00071,7.0771,7.1811
0,21,7.80039,8.15405,-44.7135,44.7135,0.469151,1.8216,3.36663,13.0718
0,22,12.2272,21.8743,-143.17,143.17,1.99899,2.30476,14.3448,16.539
0,23,5.02785,4.25037,-16.7006,16.7006,0.550431,1.19303,3.94989,8.56117
