Realization Number,Raleigh Average Weekly Release Volume (MGW),Durham Average Weekly Buyback Volume (MGW),Total Realization Cost of Releases to Raleigh,Total Realization Cost of Releases to Durham,Raleigh Average Weekly Transfer Volume (MGW),Durham Average Weekly Transfer Volume (MGW),Total Realization Cost of Transfers to Raleigh,Total Realization Cost of Transfers to Durham
0,3.73707,0.249,12.0132,-12.0132,0.207828,0.696467,1.49137,4.99785
1,3.91801,0.174477,12.548,-12.548,0.0126388,0.363811,0.0906963,2.61071
2,1.99666,0.308883,11.5835,-11.5835,0,0.130254,0,0.934704
3,4.82336,0.59161,9.55461,-9.55461,0.0131964,0.151983,0.0946974,1.09063
4,6.13513,0.737939,8.50455,-8.50455,0.147361,0.436744,1.05746,3.13408
5,2.35806,0.39895,10.9371,-10.9371,0.0231715,0.245582,0.166279,1.7623
6,7.02552,0.35016,11.2873,-11.2873,0.0621965,0.477233,0.446322,3.42463
7,2.81842,0.410591,10.8536,-10.8536,0.0495819,0.557014,0.3558,3.99713
8,5.83915,0.560562,9.77741,-9.77741,0.063646,0.360809,0.456724,2.58917
9,9.5978,0.900107,7.34083,-7.34083,0.393698,0.613206,2.82518,4.40037
10,5.09518,0.909966,7.27008,-7.27008,0.128655,0.142325,0.923225,1.02132
11,3.63673,0.646866,9.15809,-9.15809,0.0533258,0.156111,0.382666,1.12025
12,4.6997,0.391879,10.9879,-10.9879,0.0413022,0.389504,0.296385,2.79508
13,8.43981,1.08761,5.99534,-5.99534,0.0765072,0.471907,0.549016,3.38641
14,5.23571,0.585437,9.59891,-9.59891,0.0286552,0.35041,0.205629,2.51454
15,10.0956,0.757201,8.36632,-8.36632,0.0633964,0.771563,0.454932,5.53674
16,3.7137,0.809758,7.98918,-7.98918,0.0694721,0.533536,0.498532,3.82865
17,13.0303,1.6209,2.16839,-2.16839,0.250435,0.601839,1.79712,4.3188
18,6.86372,0.638787,9.21607,-9.21607,0.0129729,0.177364,0.0930937,1.27276
19,4.00282,0.882917,7.46419,-7.46419,0.114519,0.0746944,0.821787,0.536007
20,1.83339,0.459068,10.5057,-10.5057,0.0897838,0.36961,0.644289,2.65232
21,4.04373,0.335392,11.3932,-11.3932,0.140961,0.935909,1.01154,6.71609
22,3.63739,0.795133,8.09412,-8.09412,0.242234,0.884415,1.73827,6.34656
23,1.84217,0.458881,10.5071,-10.5071,0.0769567,0.332028,0.552241,2.38263
24,2.49759,0.210489,12.2895,-12.2895,0.0651175,0.249705,0.467283,1.79188
25,8.49091,1.41204,3.66719,-3.66719,0.206308,0.644958,1.48046,4.62822
26,9.11561,1.31361,4.37351,-4.37351,0.154131,0.438638,1.10605,3.14767
27,5.15771,0.565677,9.7407,-9.7407,0.136759,0.304079,0.981382,2.18207
28,4.4242,0.318512,11.5144,-11.5144,0.0711097,0.391699,0.510283,2.81083
29,6.51316,0.960316,6.90877,-6.90877,0.16102,0.569804,1.15548,4.08891
30,2.93585,0.580088,9.63729,-9.63729,0.0245639,0.486522,0.17627,3.49128
31,5.55214,0.627932,9.29396,-9.29396,0.0627683,1.02202,0.450426,7.33404
