Realization Number,Raleigh Average Weekly Release Volume (MGW),Durham Average Weekly Buyback Volume (MGW),Total Realization Cost of Releases to Raleigh,Total Realization Cost of Releases to Durham,Raleigh Average Weekly Transfer Volume (MGW),Durham Average Weekly Transfer Volume (MGW),Total Realization Cost of Transfers to Raleigh,Total Realization Cost of Transfers to Durham
0,5.55819,0.504963,10.1764,-10.1764,0.15055,0.645467,1.08035,4.63187
1,5.3587,0.245122,12.041,-12.041,0.0117797,0.249084,0.0845312,1.78743
2,3.16364,0.280476,11.7873,-11.7873,0,0.172415,0,1.23725
3,6.78782,0.337692,11.3767,-11.3767,0.0327665,0.310156,0.235133,2.22568
4,11.2767,1.08703,5.9995,-5.9995,0.0875561,0.554225,0.628302,3.97712
5,4.22494,0.40361,10.9037,-10.9037,0.0193324,0.176687,0.138729,1.26791
6,8.84621,0.435552,10.6745,-10.6745,0.0227708,0.349952,0.163403,2.51125
7,5.6942,0.757575,8.36364,-8.36364,0.067928,0.664792,0.487451,4.77055
8,7.98103,0.878933,7.49278,-7.49278,0.0524378,0.357323,0.376293,2.56415
9,16.2605,1.69246,1.6549,-1.6549,0.234722,0.672365,1.68437,4.82489
10,8.93914,0.658182,9.07688,-9.07688,0.00363806,0.19224,0.0261067,1.37951
11,8.16604,1.01515,6.51527,-6.51527,0.037111,0.205326,0.266308,1.47342
12,10.1099,0.759677,8.34856,-8.34856,0,0.301098,0,2.16068
13,13.209,1.6968,1.62374,-1.62374,0.151257,0.684002,1.08542,4.9084
14,9.34208,0.565427,9.74249,-9.74249,0.0319021,0.303216,0.22893,2.17588
15,14.813,1.04114,6.32878,-6.32878,0.04617,0.61152,0.331316,4.38827
16,8.40529,1.30617,4.4269,-4.4269,0.0526587,0.348746,0.377879,2.5026
17,19.3287,1.73566,1.34488,-1.34488,0.132157,0.594156,0.948359,4.26366
18,10.607,0.927476,7.14443,-7.14443,0.0129729,0.183607,0.0930937,1.31756
19,7.48363,0.589062,9.57289,-9.57289,0.0340081,0.122623,0.244042,0.879944
20,5.16788,0.607841,9.43813,-9.43813,0.0161569,0.412288,0.115942,2.95858
21,7.10212,0.596435,9.51998,-9.51998,0.0498319,0.816766,0.357594,5.86111
22,6.23257,1.13404,5.6621,-5.6621,0.151633,0.736202,1.08812,5.28299
23,4.89595,0.380042,11.0728,-11.0728,0.0135409,0.420116,0.0971693,3.01476
24,6.70118,0.530853,9.9906,-9.9906,0.0247462,0.189683,0.177578,1.36117
25,14.5267,2.14392,-1.58477,1.58477,0.147462,0.721963,1.05818,5.18081
26,15.0971,1.81902,0.746725,-0.746725,0.0715269,0.410507,0.513277,2.9458
27,11.782,0.8656,7.58846,-7.58846,0.0593878,0.446917,0.426167,3.20708
28,6.75392,0.638211,9.2202,-9.2202,0.0195015,0.356592,0.139943,2.5589
29,8.99053,0.850187,7.69906,-7.69906,0.10061,0.854943,0.721978,6.13507
30,6.18825,0.805115,8.0225,-8.0225,0.0144736,0.472927,0.103863,3.39372
31,9.21698,0.938984,7.06185,-7.06185,0.0875845,0.929468,0.628506,6.66986
32,9.9271,1.15972,5.47787,-5.47787,0.0537325,0.370234,0.385585,2.6568
33,7.48526,0.579383,9.64234,-9.64234,0.0154725,0.500385,0.111031,3.59076
34,4.32995,0.419774,10.7877,-10.7877,0.00711376,0.156283,0.0510484,1.12148
35,8.89848,1.23831,4.91389,-4.91389,0.0354731,0.38051,0.254555,2.73054
36,5.44613,0.542131,9.90967,-9.90967,0.00712149,0.196972,0.0511038,1.41347
