Realization Number,Raleigh Average Weekly Release Volume (MGW),Durham Average Weekly Buyback Volume (MGW),Total Realization Cost of Releases to Raleigh,Total Realization Cost of Releases to Durham,Raleigh Average Weekly Transfer Volume (MGW),Durham Average Weekly Transfer Volume (MGW),Total Realization Cost of Transfers to Raleigh,Total Realization Cost of Transfers to Durham
0,3.71095,2.27927,-2.55603,2.55603,0.201559,1.49578,1.44638,10.7337
1,4.09249,1.00252,6.60589,-6.60589,0.0171941,0.920126,0.123385,6.60282
2,2.10011,2.1948,-1.94988,1.94988,0,0.180715,0,1.29681
3,4.93101,2.90512,-7.04713,7.04713,0.0172418,1.41236,0.123727,10.1351
4,6.6258,6.50844,-32.9046,32.9046,0.266415,2.68961,1.91179,19.3007
5,2.60352,2.59997,-4.85736,4.85736,0.0520037,1.48369,0.373179,10.6469
6,7.30425,2.9363,-7.27092,7.27092,0.0671315,0.700743,0.481736,5.02853
7,2.53148,3.09818,-8.43254,8.43254,0.0862018,2.30821,0.618584,16.5637
8,5.88164,4.76541,-20.3966,20.3966,0.128818,1.43427,0.924397,10.2923
9,10.4986,6.06524,-29.7241,29.7241,0.58775,1.03664,4.21769,7.43894
10,5.09753,5.26196,-23.9598,23.9598,0.115523,0.417092,0.828991,2.99305
11,3.84177,5.47543,-25.4917,25.4917,0.0485874,1.22058,0.348663,8.75887
12,4.94305,3.73241,-12.9838,12.9838,0.0410985,0.557172,0.294923,3.99826
13,9.33152,8.08354,-44.2075,44.2075,0.127175,1.91284,0.91261,13.7265
14,5.54592,3.78723,-13.3772,13.3772,0.0421318,1.52921,0.302338,10.9736
15,10.9319,6.43792,-32.3985,32.3985,0.0770789,1.75693,0.553118,12.6077
16,4.19183,6.49856,-32.8337,32.8337,0.0899655,1.15051,0.645592,8.25605
17,13.7001,10.5778,-62.106,62.106,0.798449,1.88496,5.72967,13.5265
18,7.57823,3.89274,-14.1343,14.1343,0.0192101,0.316426,0.137851,2.27067
19,4.34221,4.6792,-19.778,19.778,0.11134,0.125989,0.798974,0.904095
20,2.05992,3.55477,-11.709,11.709,0.112963,1.23477,0.81062,8.86068
21,3.89066,3.24482,-9.48485,9.48485,0.25575,2.66334,1.83526,19.1121
22,4.07223,5.28918,-24.1552,24.1552,0.26482,2.50121,1.90035,17.9487
23,2.03531,3.16567,-8.91684,8.91684,0.130649,0.76907,0.937541,5.51885
24,2.68262,4.35334,-17.4396,17.4396,0.0651175,0.307143,0.467283,2.20406
25,8.93004,11.6182,-69.5719,69.5719,0.41585,1.58648,2.98414,11.3846
26,9.81976,9.67658,-55.6391,55.6391,0.159017,1.52879,1.14111,10.9706
27,5.6298,4.51837,-18.6238,18.6238,0.201162,0.995961,1.44354,7.14701
28,4.47602,3.76827,-13.2411,13.2411,0.119277,0.452481,0.855929,3.247
29,6.86958,6.58695,-33.468,33.468,0.208389,2.19333,1.4954,15.7394
30,3.10777,3.45009,-10.9578,10.9578,0.0222839,2.72876,0.159909,19.5815
31,6.01435,5.8164,-27.9385,27.9385,0.0965767,2.34785,0.693034,16.8482
32,4.93862,6.51437,-32.9472,32.9472,0.362251,3.03495,2.59951,21.7788
33,4.77431,3.01161,-7.81128,7.81128,0.07115,1.16613,0.510573,8.36813
34,2.80788,2.09425,-1.22836,1.22836,0.0134492,0.273634,0.0965118,1.96359
35,5.48258,6.68218,-34.1513,34.1513,0.0540181,1.62306,0.387634,11.6471
36,3.76417,1.89418,0.207399,-0.207399,0.0202686,0.343057,0.145448,2.46178
37,8.48886,9.00549,-50.8234,50.8234,0.282359,1.50072,2.02621,10.7692
38,10.1492,9.79784,-56.5093,56.5093,0.177066,1.56998,1.27063,11.2662
39,3.53167,1.96111,-0.272911,0.272911,0.0560937,1.02983,0.402528,7.39007
40,3.59068,2.60986,-4.92837,4.92837,0.0417438,1.91528,0.299554,13.744
41,2.48786,3.26181,-9.60674,9.60674,0.0770659,0.899692,0.553025,6.45619
42,3.20101,4.55155,-18.8619,18.8619,0.177935,0.5551,1.27686,3.9834
43,5.20885,3.11482,-8.55192,8.55192,0.0616265,0.344194,0.442232,2.46993
44,1.56804,1.29736,4.49013,-4.49013,0.0564196,0.588213,0.404867,4.22102
45,5.5141,4.18363,-16.2217,16.2217,0.113244,0.78703,0.812642,5.64773
46,3.07038,2.71213,-5.66222,5.66222,0.109271,0.395276,0.784128,2.8365
47,5.69867,2.73995,-5.86185,5.86185,0.0132313,0.470844,0.0949479,3.37878
48,2.69621,1.74841,1.25342,-1.25342,0.0446343,0.361558,0.320295,2.59454
49,0.998064,2.85661,-6.69904,6.69904,0.0575617,0.506923,0.413063,3.63768
50,4.28794,2.3859,-3.32124,3.32124,0.123226,0.893667,0.884268,6.41296
51,2.59119,1.99257,-0.498672,0.498672,0.259325,1.54749,1.86092,11.1048
52,5.9728,5.72366,-27.273,27.273,0.13092,0.440948,0.939483,3.16424
53,7.86742,4.43624,-18.0345,18.0345,0.0364544,4.09523,0.261596,29.3874
54,9.25001,6.02602,-29.4427,29.4427,0.0744627,0.936565,0.534344,6.72079
55,13.6565,10.4336,-61.0718,61.0718,0.376106,2.45712,2.69894,17.6323
56,2.43851,1.7259,1.41491,-1.41491,0.0743055,1.42262,0.533216,10.2087
57,2.37122,1.53096,2.81385,-2.81385,0.00584629,0.305224,0.041953,2.19028
58,5.38997,5.62633,-26.5745,26.5745,0.214758,2.74106,1.5411,19.6699
59,8.92177,5.74225,-27.4064,27.4064,0.0868434,1.95515,0.623188,14.0302
60,4.57976,2.9371,-7.27662,7.27662,0.0170121,0.374181,0.122079,2.68512
61,5.95788,3.34925,-10.2342,10.2342,0.14349,1.85976,1.02969,13.3457
62,0.866169,0.896323,7.36799,-7.36799,0.0288282,0.505484,0.206872,3.62736
63,8.17027,7.24368,-38.1806,38.1806,0.0925321,0.58379,0.66401,4.18928
64,1.22633,1.93871,-0.112192,0.112192,0.065315,2.59774,0.4687,18.6414
65,2.17162,3.44191,-10.8991,10.8991,0.049996,2.08038,0.358771,14.9288
66,2.50285,2.8355,-6.54758,6.54758,0.0827863,3.17493,0.594075,22.7833
67,2.41953,1.08568,6.00914,-6.00914,0.069902,1.08949,0.501617,7.81821
68,6.29492,2.3728,-3.22718,3.22718,0.0537477,0.847185,0.385693,6.0794
69,6.54967,4.69641,-19.9014,19.9014,0.0468924,0.548789,0.3365,3.93811
70,7.24412,3.94762,-14.5281,14.5281,0.131092,1.18677,0.940715,8.51628
71,8.74662,9.0725,-51.3043,51.3043,0.217039,2.04898,1.55747,14.7035
72,5.06396,4.37624,-17.6039,17.6039,0.128838,0.388946,0.924544,2.79108
73,6.90787,4.91482,-21.4687,21.4687,0.0279812,0.232108,0.200793,1.66561
74,5.6328,4.36179,-17.5002,17.5002,0.100353,0.419975,0.720136,3.01374
75,2.86732,3.16001,-8.87624,8.87624,0.121652,1.63064,0.872972,11.7015
76,3.43062,4.59685,-19.187,19.187,0.0019556,0.568302,0.0140334,4.07814
77,3.10964,5.02978,-22.2937,22.2937,0.0197273,1.51646,0.141563,10.8821
78,4.95419,2.47813,-3.98306,3.98306,0.0391287,0.358338,0.280788,2.57143
79,6.23921,2.81321,-6.38759,6.38759,0.0658653,0.504674,0.472649,3.62154
80,9.93929,5.08863,-22.716,22.716,0.188881,0.728467,1.35541,5.22748
81,12.2106,6.71859,-34.4126,34.4126,0.318202,0.393499,2.28341,2.82375
82,5.97045,4.85618,-21.0479,21.0479,0.206188,0.686717,1.4796,4.92788
83,5.97521,4.05141,-15.2729,15.2729,0.144532,2.09872,1.03716,15.0604
84,0.928162,1.70728,1.54854,-1.54854,0.0426924,1.13594,0.306361,8.15147
85,5.32901,5.64401,-26.7014,26.7014,0.101603,0.930461,0.729104,6.67699
86,2.08891,1.99647,-0.526658,0.526658,0.00932646,0.641123,0.0669267,4.6007
87,4.23537,1.711,1.52184,-1.52184,0.00793617,0.472183,0.0569499,3.38838
88,2.42146,1.14125,5.61042,-5.61042,0.0210388,0.233492,0.150975,1.67554
89,5.88594,5.86135,-28.261,28.261,0.00313699,0.255024,0.022511,1.83005
90,2.75018,3.05081,-8.09261,8.09261,0.0722751,0.162091,0.518646,1.16317
91,10.6608,8.1609,-44.7626,44.7626,0.114353,3.5673,0.820596,25.5989
92,3.0883,2.17453,-1.80442,1.80442,0.183137,2.27177,1.31419,16.3022
93,6.33175,5.29906,-24.226,24.226,0.110645,1.67206,0.79399,11.9987
94,6.87757,5.25803,-23.9316,23.9316,0.162792,1.66766,1.1682,11.9671
95,2.74697,2.19323,-1.93859,1.93859,0.0482834,0.33277,0.346482,2.38796
96,8.76235,5.15598,-23.1993,23.1993,0.0661824,0.776862,0.474925,5.57476
97,3.01199,2.70711,-5.62621,5.62621,0.115977,0.150422,0.83225,1.07943
98,2.57038,2.27752,-2.54349,2.54349,0.0561059,0.336705,0.402616,2.41619
99,2.15301,3.36918,-10.3772,10.3772,0.149584,0.668703,1.07341,4.79861
