Rank,Realization,Raleigh Average Weekly Release Volume (MGW),Durham Average Weekly Buyback Volume (MGW),Total Realization Cost of Releases to Raleigh,Total Realization Cost of Releases to Durham,Raleigh Average Weekly Transfer Volume (MGW),Durham Average Weekly Transfer Volume (MGW),Total Realization Cost of Transfers to Raleigh,Total Realization Cost of Transfers to Durham
1,0,0.955436,0.40593,10.887,-10.887,0.142522,0.934841,1.02274,6.70842
1,1,4.69488,2.0584,-0.971083,0.971083,0.375186,1.06508,2.69234,7.64304
1,2,2.57115,3.45084,-10.9632,10.9632,0.415527,3.32645,2.98182,23.8706
1,3,6.93686,7.49492,-39.9835,39.9835,0.860611,1.88225,6.17574,13.507
1,4,10.1764,17.2359,-109.885,109.885,1.58089,1.93664,11.3444,13.8973
1,5,8.74876,14.5803,-90.8285,90.8285,1.18526,1.90322,8.5054,13.6575
1,6,6.24493,3.43095,-10.8205,10.8205,0.380638,0.531429,2.73146,3.81353
1,7,7.66443,10.7335,-63.2234,63.2234,0.558491,0.743287,4.00773,5.33383
1,8,4.7926,22.609,-148.442,148.442,1.15867,3.07245,8.3146,22.0479
1,9,6.37797,9.60115,-55.0979,55.0979,0.807807,0.827492,5.79682,5.93808
1,10,5.41699,3.88603,-14.0862,14.0862,0.10708,0.757809,0.768406,5.43804
1,11,6.67227,10.9362,-64.6782,64.6782,0.621386,0.91105,4.45907,6.5377
1,12,8.21546,0.0970257,13.1037,-13.1037,0.187029,0.360286,1.34212,2.58542
1,13,6.76888,6.70491,-34.3144,34.3144,0.73188,3.14135,5.25197,22.5423
1,14,6.73956,5.37988,-24.806,24.806,0.234109,1.24301,1.67997,8.91983
1,15,7.04911,10.5601,-61.9795,61.9795,0.732849,5.70693,5.25893,40.9529
1,16,4.13823,1.01037,6.54962,-6.54962,0.521947,0.802122,3.74549,5.75603
1,17,12.6766,7.62111,-40.8891,40.8891,0.764544,6.32808,5.48637,45.4103
1,18,4.18171,1.1801,5.33162,-5.33162,0.0813354,0.48898,0.583663,3.50892
1,19,7.23224,3.61466,-12.1388,12.1388,0.768969,1.11002,5.51812,7.96553
1,20,4.00647,9.20112,-52.2272,52.2272,1.06391,0.891661,7.63459,6.39856
1,21,7.08241,8.44276,-46.7853,46.7853,0.69705,1.69997,5.00203,12.199
1,22,10.2943,19.6049,-126.885,126.885,2.2772,2.03274,16.3412,14.5869
1,23,4.0645,3.08462,-8.33527,8.33527,0.604426,1.09679,4.33736,7.87059
