Rank,Realization,Raleigh Average Weekly Release Volume (MGW),Durham Average Weekly Buyback Volume (MGW),Total Realization Cost of Releases to Raleigh,Total Realization Cost of Releases to Durham,Raleigh Average Weekly Transfer Volume (MGW),Durham Average Weekly Transfer Volume (MGW),Total Realization Cost of Transfers to Raleigh,Total Realization Cost of Transfers to Durham
1,24,8.71908,17.444,-111.378,111.378,0.969895,2.53482,6.95996,18.1898
1,25,10.7742,15.27,-95.7777,95.7777,1.66779,3.80955,11.9681,27.3373
1,26,4.21069,8.31334,-45.8565,45.8565,0.683355,0.935961,4.90376,6.71645
1,27,12.9803,19.8568,-128.692,128.692,1.44759,1.73504,10.3879,12.4507
1,28,2.5139,0.938595,7.06464,-7.06464,0.21967,0.130445,1.57635,0.936074
1,29,6.10932,15.1439,-94.8726,94.8726,1.17307,0.924883,8.41798,6.63696
1,30,8.37946,14.6477,-91.3119,91.3119,0.76846,3.62628,5.51447,26.0222
1,31,6.61438,4.36681,-17.5362,17.5362,0.501304,1.03088,3.59736,7.3976
1,32,5.17333,20.2638,-131.613,131.613,2.05941,3.51192,14.7783,25.2015
1,33,4.94875,5.16693,-23.2779,23.2779,0.206841,6.25745,1.48429,44.9035
1,34,10.5034,28.6619,-191.878,191.878,2.95704,1.44442,21.2197,10.3652
1,35,7.49863,4.77398,-20.4581,20.4581,0.605182,1.11881,4.34279,8.02855
1,36,1.53694,2.93254,-7.24391,7.24391,0.16396,0.233214,1.17658,1.67354
1,37,4.13241,7.34006,-38.8723,38.8723,1.05241,1.09532,7.55209,7.85999
1,38,6.77507,6.34353,-31.7212,31.7212,0.314169,1.83033,2.25448,13.1344
1,39,2.40359,4.5875,-19.1199,19.1199,0.235864,0.442703,1.69256,3.17683
1,40,8.27072,16.4084,-103.947,103.947,1.39172,1.79567,9.98695,12.8857
1,41,7.56151,7.5799,-40.5934,40.5934,0.924412,1.24304,6.63358,8.92006
1,42,8.98472,12.9917,-79.4282,79.4282,0.85782,1.01957,6.15572,7.31642
1,43,0.939331,0.286295,11.7455,-11.7455,0,0.331024,0,2.37543
1,44,1.79874,7.71825,-41.5862,41.5862,0.793932,0.382262,5.69725,2.74311
1,45,8.81047,12.8836,-78.653,78.653,0.846825,1.46465,6.07682,10.5104
1,46,6.71678,13.3954,-82.3251,82.3251,0.603411,1.36063,4.33008,9.76391
1,47,5.00536,4.33531,-17.3102,17.3102,0.455087,1.12166,3.2657,8.049
1,48,2.94127,7.74627,-41.7873,41.7873,0.269002,0.669252,1.93036,4.80255
1,49,4.05578,0.835394,7.80522,-7.80522,0.40921,1.35301,2.93649,9.70922
1,50,3.41741,0.144033,12.7664,-12.7664,0.144538,0.522222,1.0372,3.74747
1,51,13.4224,30.4713,-204.862,204.862,1.70717,8.02938,12.2507,57.6188
1,52,9.8171,3.73001,-12.9666,12.9666,0.544295,1.28058,3.90586,9.18947
1,53,2.76201,9.67262,-55.6107,55.6107,0.952778,4.50478,6.83713,32.3263
1,54,7.21309,4.91783,-21.4903,21.4903,0.388289,0.751488,2.78637,5.39268
1,55,10.8607,14.4742,-90.0671,90.0671,1.04326,1.05632,7.48645,7.58016
1,56,5.69384,3.34021,-10.1693,10.1693,0.736305,1.26234,5.28372,9.05856
1,57,7.58677,5.83754,-28.0902,28.0902,0.544029,0.781606,3.90395,5.60881
1,58,8.39536,7.41455,-39.4068,39.4068,1.4117,5.93181,10.1304,42.5667
1,59,7.39342,12.8585,-78.4726,78.4726,1.73621,2.08668,12.4591,14.974
1,60,9.38061,9.83732,-56.7926,56.7926,0.790846,2.79042,5.67511,20.024
1,61,8.05569,21.1236,-137.783,137.783,1.8265,3.8253,13.107,27.4504
1,62,10.4837,11.2829,-67.1658,67.1658,1.05819,2.08964,7.59357,14.9952
1,63,0,0,13.8,-13.8,0,0.631385,0,4.53082
1,64,5.83086,9.68836,-55.7237,55.7237,1.02607,2.00936,7.36307,14.4192
1,65,6.36447,6.71752,-34.4049,34.4049,0.612028,1.27035,4.39191,9.11601
1,66,9.90379,14.2017,-88.1117,88.1117,1.64483,1.88214,11.8033,13.5062
1,67,0.308546,4.74885,-20.2777,20.2777,0.455764,0.736741,3.27056,5.28685
1,68,3.1806,3.75515,-13.1469,13.1469,0.30984,1.15955,2.22341,8.32095
1,69,1.7134,5.98309,-29.1346,29.1346,0.466538,0.587024,3.34788,4.21249
1,70,7.1744,9.21655,-52.3379,52.3379,0.87454,1.21061,6.2757,8.68737
1,71,5.55311,4.97192,-21.8785,21.8785,1.01086,1.38611,7.25396,9.94672
1,72,3.59208,8.98478,-50.6748,50.6748,1.09974,2.43848,7.89171,17.4985
1,73,8.7804,14.2983,-88.8049,88.8049,0.671903,1.4203,4.82158,10.1921
1,74,4.02474,5.64617,-26.7169,26.7169,0.861041,0.728076,6.17883,5.22467
1,75,6.63722,10.8426,-64.0065,64.0065,0.952874,1.20071,6.83783,8.6163
1,76,0.0989968,0,13.8,-13.8,0.0725681,1.12926,0.520748,8.10354
1,77,3.65222,6.48495,-32.736,32.736,0.956863,1.23969,6.86645,8.89605
1,78,5.0878,6.93199,-35.944,35.944,0.94904,2.16988,6.81031,15.571
1,79,3.42543,1.91967,0.0244806,-0.0244806,0.167534,0.466992,1.20222,3.35114
1,80,3.25666,6.53078,-33.0649,33.0649,0.883763,1.37319,6.34188,9.85399
1,81,5.47125,10.2241,-59.5684,59.5684,0.718986,1.98981,5.15945,14.2789
1,82,8.52548,9.43069,-53.8747,53.8747,0.620156,0.910964,4.45024,6.53707
1,83,4.55904,1.83137,0.658091,-0.658091,0.0214467,0.863046,0.153902,6.19322
1,84,5.53621,9.30526,-52.9746,52.9746,0.79811,0.953497,5.72724,6.8423
1,85,4.97137,4.46827,-18.2643,18.2643,0.429672,0.305687,3.08333,2.19361
1,86,5.98136,4.42244,-17.9354,17.9354,0.92095,1.24682,6.60874,8.94715
1,87,4.0982,10.2761,-59.9416,59.9416,0.543112,0.639632,3.89737,4.59
1,88,6.34114,10.4101,-60.9027,60.9027,0.637834,0.965997,4.5771,6.93199
1,89,5.23085,4.64555,-19.5365,19.5365,0.731189,1.04517,5.24701,7.50012
1,90,3.71614,2.48238,-4.01354,4.01354,0.125178,1.78835,0.898274,12.8332
1,91,6.7213,14.3168,-88.9372,88.9372,1.029,2.25052,7.3841,16.1497
1,92,6.83829,13.6155,-83.9048,83.9048,0.537727,7.63857,3.85873,54.8144
1,93,7.93519,8.94383,-50.3809,50.3809,1.67074,1.42785,11.9892,10.2462
1,94,8.49792,15.1203,-94.7034,94.7034,1.48443,1.85657,10.6523,13.3228
1,95,8.24246,7.57047,-40.5257,40.5257,0.638694,0.706751,4.58327,5.07165
1,96,0.955167,0,13.8,-13.8,0.0706072,0.656683,0.506677,4.71236
1,97,3.57783,1.88645,0.262823,-0.262823,0.628942,0.402623,4.51329,2.88922
1,98,3.28768,2.8924,-6.95585,6.95585,0.415194,0.865699,2.97943,6.21226
1,99,4.22648,18.4086,-118.3,118.3,1.81344,3.09061,13.0132,22.1782
