Realization Number,Raleigh Average Weekly Release Volume (MGW),Durham Average Weekly Buyback Volume (MGW),Total Realization Cost of Releases to Raleigh,Total Realization Cost of Releases to Durham,Raleigh Average Weekly Transfer Volume (MGW),Durham Average Weekly Transfer Volume (MGW),Total Realization Cost of Transfers to Raleigh,Total Realization Cost of Transfers to Durham
69,9.35191,0.975414,6.80043,-6.80043,0.0325384,0.355814,0.233496,2.55332
70,6.13339,0.761032,8.33884,-8.33884,0.0426884,0.670613,0.306332,4.81232
71,7.41246,1.23982,4.90305,-4.90305,0.0664641,0.661355,0.476947,4.74588
72,4.29819,0.423026,10.7644,-10.7644,0.061876,0.155979,0.444022,1.11931
73,5.56995,1.06784,6.13715,-6.13715,0.0262163,0.143097,0.188128,1.02687
74,5.29247,0.435216,10.6769,-10.6769,0.098179,0.160874,0.704533,1.15443
75,3.26885,0.439994,10.6426,-10.6426,0.124226,0.373783,0.891446,2.68226
76,4.89495,0.720684,8.62837,-8.62837,0,0.115268,0,0.82716
77,2.64143,0.469334,10.4321,-10.4321,0,0.207519,0,1.48915
78,4.31126,0.281316,11.7813,-11.7813,0.00112735,0.267113,0.00808989,1.9168
79,6.07629,0.746551,8.44275,-8.44275,0.026551,0.217141,0.19053,1.55821
80,9.47556,1.06199,6.17919,-6.17919,0.104473,0.217338,0.749698,1.55962
81,12.0994,1.2063,5.14361,-5.14361,0.107018,0.274536,0.767959,1.97007
82,7.22548,0.859495,7.63226,-7.63226,0.00797397,0.532583,0.0572212,3.82181
83,6.06366,0.594321,9.53515,-9.53515,0.101936,0.232479,0.731491,1.66827
84,1.48426,0.224354,12.19,-12.19,0.012864,0.279881,0.0923124,2.00842
85,6.30726,0.92638,7.1523,-7.1523,0.087531,0.194598,0.628122,1.39643
86,2.51346,0.358597,11.2267,-11.2267,0,0.0498781,0,0.357925
87,4.32731,0.329078,11.4385,-11.4385,0.00660339,0.217748,0.0473859,1.56256
88,2.84462,0.301316,11.6378,-11.6378,0.0209343,0.116877,0.150224,0.838712
89,4.90719,0.715844,8.66311,-8.66311,0.00490597,0.159281,0.0352053,1.143
90,3.4964,0.434673,10.6808,-10.6808,0.0423457,0.0480353,0.303873,0.344702
91,10.5111,0.84903,7.70736,-7.70736,0.0496296,0.512282,0.356142,3.67614
92,2.77608,0.319455,11.5076,-11.5076,0.102313,0.460192,0.734197,3.30234
93,6.96336,0.844587,7.73924,-7.73924,0.0814716,0.215412,0.584641,1.54579
94,7.29814,0.706203,8.73228,-8.73228,0.0764647,0.557936,0.54871,4.00375
95,2.6533,0.283577,11.7651,-11.7651,0,0.143254,0,1.02799
96,8.82326,0.611082,9.41487,-9.41487,0.0597966,0.486783,0.4291,3.49315
97,3.04912,0.30377,11.6201,-11.6201,0.105491,0.0875241,0.757001,0.628073
98,3.03009,0.283533,11.7654,-11.7654,0,0.176779,0,1.26856
99,2.49713,0.55014,9.8522,-9.8522,0.121604,0.462566,0.872627,3.31937
