Realization Number,Raleigh Average Weekly Release Volume (MGW),Durham Average Weekly Buyback Volume (MGW),Total Realization Cost of Releases to Raleigh,Total Realization Cost of Releases to Durham,Raleigh Average Weekly Transfer Volume (MGW),Durham Average Weekly Transfer Volume (MGW),Total Realization Cost of Transfers to Raleigh,Total Realization Cost of Transfers to Durham
70,6.58887,0.652294,9.11914,-9.11914,0.147456,1.54568,1.05815,11.0918
71,6.66108,0.96492,6.87573,-6.87573,0.224354,2.25755,1.60997,16.2002
72,3.89042,0.401947,10.9156,-10.9156,0.0927094,0.494902,0.665283,3.55141
73,5.41907,0.961673,6.89903,-6.89903,0.0269979,0.25659,0.193737,1.84129
74,5.08633,0.444869,10.6076,-10.6076,0.1001,0.5311,0.718319,3.81117
75,3.02563,0.546124,9.88102,-9.88102,0.218662,1.93419,1.56912,13.8798
76,4.76087,0.691443,8.8382,-8.8382,0.00871887,0.445039,0.0625666,3.1936
77,2.90395,0.665843,9.02191,-9.02191,0.0156967,1.57224,0.112639,11.2824
78,4.41558,0.281047,11.7832,-11.7832,0.0206351,0.449537,0.148077,3.22588
79,5.87594,0.65802,9.07805,-9.07805,0.073367,0.570197,0.526482,4.09173
80,8.49057,0.735652,8.52096,-8.52096,0.196659,0.749084,1.41123,5.37542
81,11.554,1.06973,6.12364,-6.12364,0.305865,0.654499,2.19488,4.69668
82,6.76234,0.837505,7.79007,-7.79007,0.131295,0.815872,0.942171,5.8547
83,6.03953,0.593897,9.53819,-9.53819,0.141226,2.12992,1.01344,15.2843
84,1.52161,0.23203,12.135,-12.135,0.0423136,1.14605,0.303643,8.22408
85,5.99921,0.834201,7.81377,-7.81377,0.106346,0.944254,0.763139,6.77596
86,3.01216,0.398459,10.9407,-10.9407,0.0669736,0.914588,0.480603,6.56308
87,4.06869,0.274833,11.8278,-11.8278,0.0245795,0.495724,0.176382,3.55731
88,2.71243,0.238676,12.0873,-12.0873,0.0289416,0.297151,0.207685,2.13235
89,4.72604,0.509664,10.1427,-10.1427,0.0151476,0.343941,0.108699,2.46812
90,3.4703,0.467502,10.4452,-10.4452,0.0575823,0.307514,0.41321,2.20672
91,9.4252,0.845191,7.73491,-7.73491,0.132819,3.61526,0.953112,25.9431
92,3.02636,0.318947,11.5112,-11.5112,0.192344,2.30287,1.38026,16.5254
93,7.09557,1.00178,6.61124,-6.61124,0.125799,1.88807,0.902734,13.5488
94,7.1468,0.662795,9.04378,-9.04378,0.218544,1.87691,1.56827,13.4687
95,2.69432,0.365418,11.1778,-11.1778,0.056627,0.355542,0.406355,2.55137
96,8.53156,0.655781,9.09412,-9.09412,0.10908,1.16408,0.782759,8.35342
97,2.97325,0.296491,11.6724,-11.6724,0.114932,0.263748,0.824752,1.89266
98,2.84548,0.318518,11.5143,-11.5143,0.0425701,0.396814,0.305483,2.84754
99,2.47542,0.601627,9.48273,-9.48273,0.236625,0.742157,1.69802,5.32572
