Realization Number,Raleigh Average Weekly Release Volume (MGW),Durham Average Weekly Buyback Volume (MGW),Total Realization Cost of Releases to Raleigh,Total Realization Cost of Releases to Durham,Raleigh Average Weekly Transfer Volume (MGW),Durham Average Weekly Transfer Volume (MGW),Total Realization Cost of Transfers to Raleigh,Total Realization Cost of Transfers to Durham
0,2.08911,0.159256,12.6572,-12.6572,0.201571,1.43619,1.44647,10.3061
1,1.89056,0.100221,13.0808,-13.0808,0.0212875,0.875797,0.152759,6.28472
2,0.746105,0.243072,12.0557,-12.0557,0,0.180715,0,1.29681
3,2.7116,0.309982,11.5756,-11.5756,0.0108969,1.34985,0.0781963,9.68653
4,3.20042,0.41621,10.8133,-10.8133,0.213831,2.60709,1.53445,18.7085
5,0.790346,0.106171,13.0381,-13.0381,0.0532423,1.45566,0.382067,10.4458
6,3.69665,0.21791,12.2363,-12.2363,0.0663234,0.698551,0.475937,5.0128
7,0.766023,0.257298,11.9536,-11.9536,0.0625163,2.24469,0.448617,16.1079
8,3.18788,0.280033,11.7905,-11.7905,0.093622,1.36478,0.671832,9.79366
9,7.38044,0.924913,7.16282,-7.16282,0.544765,0.975122,3.90923,6.99748
10,2.85192,0.61232,9.40599,-9.40599,0.102474,0.41885,0.73535,3.00567
11,3.26103,0.586905,9.58837,-9.58837,0.0496782,1.20131,0.356491,8.62058
12,2.54242,0.159256,12.6572,-12.6572,0.0265264,0.571572,0.190354,4.1016
13,5.83027,0.24542,12.0389,-12.0389,0.117036,1.72882,0.83985,12.406
14,2.75642,0.384016,11.0443,-11.0443,0.0282342,1.40879,0.202608,10.1095
15,8.23856,0.693087,8.82641,-8.82641,0.0830043,1.751,0.595639,12.5652
16,3.77254,0.488192,10.2967,-10.2967,0.0792753,1.1612,0.568879,8.33277
17,11.9241,1.79968,0.885516,-0.885516,0.7557,1.80791,5.4229,12.9736
18,4.03816,0.529076,10.0034,-10.0034,0.0129729,0.271985,0.0930937,1.95176
19,2.9901,0.273139,11.84,-11.84,0.112357,0.124972,0.806271,0.896799
20,0.776164,0.413409,10.8334,-10.8334,0.0978556,1.22678,0.702212,8.80339
21,1.03992,0.0910989,13.1463,-13.1463,0.225635,2.69026,1.61915,19.3053
22,2.63888,0.799203,8.06492,-8.06492,0.238992,2.48007,1.71501,17.797
23,1.5379,0.189767,12.4382,-12.4382,0.167876,0.682002,1.20468,4.89404
24,2.69861,0.467343,10.4463,-10.4463,0.0526396,0.287782,0.377742,2.06512
25,6.01712,1.3577,4.05715,-4.05715,0.341926,1.54113,2.45366,11.0591
26,9.99148,0.817674,7.93237,-7.93237,0.158342,1.47822,1.13626,10.6077
27,4.57148,0.548167,9.86636,-9.86636,0.207507,0.989616,1.48907,7.10148
28,3.21436,0.181421,12.4981,-12.4981,0.153273,0.308013,1.09989,2.2103
29,2.89655,0.24577,12.0364,-12.0364,0.146736,2.19299,1.05298,15.7369
30,1.23189,0.212341,12.2762,-12.2762,0.0265963,2.63357,0.190855,18.8985
31,2.449,0.354543,11.2558,-11.2558,0.0850481,2.27978,0.610305,16.3597
32,2.25612,0.390073,11.0008,-11.0008,0.256882,3.01784,1.84339,21.656
33,1.82175,0.150066,12.7231,-12.7231,0.0712695,1.13084,0.51143,8.11493
34,0,0,13.8,-13.8,0.0134492,0.273634,0.0965118,1.96359
35,2.0926,0.212341,12.2762,-12.2762,0.0601422,1.61066,0.43158,11.5581
36,1.50998,0.25616,11.9618,-11.9618,0.0265824,0.208553,0.190756,1.49658
37,4.12719,0.302704,11.6278,-11.6278,0.256995,1.47649,1.8442,10.5953
38,7.74345,1.08004,6.04966,-6.04966,0.20575,1.41997,1.47646,10.1897
39,1.55912,0.159256,12.6572,-12.6572,0.055555,1.03037,0.398663,7.39394
40,1.33687,0.13002,12.867,-12.867,0.0242567,1.83329,0.174066,13.1557
41,1.00134,0.424682,10.7525,-10.7525,0.0843423,0.844896,0.605241,6.06298
42,1.7185,0.0753487,13.2593,-13.2593,0.192154,0.519715,1.3789,3.72948
43,3.22508,0.318512,11.5144,-11.5144,0.0620288,0.340398,0.445119,2.4427
44,0.565733,0.069653,13.3002,-13.3002,0.0398317,0.473027,0.285833,3.39444
45,3.71488,0.638307,9.21951,-9.21951,0.11083,0.784781,0.795313,5.63159
46,1.71368,0.389514,11.0048,-11.0048,0.12485,0.395832,0.89592,2.84049
47,4.35809,0.412771,10.838,-10.838,0.0325467,0.405065,0.233555,2.90675
48,1.76149,0.159256,12.6572,-12.6572,0.0446343,0.357998,0.320295,2.56899
49,0.639263,0.106171,13.0381,-13.0381,0.0512703,0.513214,0.367916,3.68282
50,2.09609,0.212341,12.2762,-12.2762,0.131017,0.885536,0.940176,6.3546
51,1.23797,0.265426,11.8953,-11.8953,0.24242,1.53826,1.7396,11.0386
52,5.14701,0.632683,9.25987,-9.25987,0.111883,0.402161,0.802873,2.88591
53,4.15437,0.0907755,13.1486,-13.1486,0.0318505,4.03813,0.228559,28.9776
54,5.94209,0.319701,11.5058,-11.5058,0.0745491,0.866051,0.534965,6.21478
55,6.15699,0.5218,10.0556,-10.0556,0.373723,2.4265,2.68183,17.4126
56,2.02876,0.159256,12.6572,-12.6572,0.0753351,1.42159,0.540605,10.2013
57,0.531797,0,13.8,-13.8,0.00584629,0.233419,0.041953,1.67502
58,3.19073,0.556206,9.80867,-9.80867,0.213835,2.72884,1.53448,19.5821
59,6.76502,0.610491,9.41912,-9.41912,0.094502,1.85911,0.678146,13.3409
60,2.24306,0.318512,11.5144,-11.5144,0.0158608,0.339175,0.113817,2.43392
61,4.70168,0.42775,10.7305,-10.7305,0.147456,1.82807,1.05815,13.1183
62,0.153426,0.0530853,13.4191,-13.4191,0.027868,0.444204,0.199981,3.18761
63,5.04918,0.684882,8.88529,-8.88529,0.0862369,0.584811,0.618836,4.19661
64,1.27112,0.243082,12.0556,-12.0556,0.066562,2.55291,0.477649,18.3197
65,0.402808,0,13.8,-13.8,0.0363199,2.09406,0.260632,15.027
66,1.54651,0.22715,12.17,-12.17,0.133802,2.99285,0.960161,21.4767
67,1.58689,0.265426,11.8953,-11.8953,0.069902,1.06691,0.501617,7.65614
68,2.70134,0.112027,12.9961,-12.9961,0.0630046,0.746515,0.452121,5.35699
69,3.95859,0.508873,10.1483,-10.1483,0.0352719,0.439295,0.253111,3.15238
70,3.91371,0.530669,9.99192,-9.99192,0.135703,0.951436,0.973807,6.82751
71,6.28339,0.802796,8.03914,-8.03914,0.221246,1.92897,1.58766,13.8423
72,3.97447,0.623663,9.3246,-9.3246,0.0995212,0.3797,0.714164,2.72473
73,3.46315,0.20273,12.3452,-12.3452,0.0279119,0.232178,0.200296,1.66611
74,3.75088,0.377412,11.0917,-11.0917,0.0722327,0.345236,0.518342,2.47741
75,0.454032,0.159256,12.6572,-12.6572,0.0678086,1.48687,0.486594,10.6698
76,2.36687,0.558468,9.79244,-9.79244,0.00223303,0.55235,0.0160243,3.96366
77,1.68106,0.255021,11.97,-11.97,0.0156967,1.51125,0.112639,10.8448
78,3.17664,0.37565,11.1043,-11.1043,0.0486336,0.319252,0.348994,2.29096
79,3.55164,0.265426,11.8953,-11.8953,0.050203,0.486336,0.360257,3.48994
80,6.58367,0.524906,10.0333,-10.0333,0.168303,0.722223,1.20774,5.18267
81,6.70595,0.301203,11.6386,-11.6386,0.227588,0.378073,1.63317,2.71305
82,2.52145,0.343419,11.3356,-11.3356,0.0708113,0.614054,0.508142,4.40645
83,2.46936,0.199693,12.367,-12.367,0.131777,2.09251,0.945635,15.0159
84,0.518269,0.197298,12.3842,-12.3842,0.0390781,1.13332,0.280424,8.1327
85,4.23861,0.382529,11.055,-11.055,0.101965,0.930098,0.731703,6.67439
86,0.903601,0.271013,11.8552,-11.8552,0.00932646,0.620684,0.0669267,4.45403
87,1.3927,0.159256,12.6572,-12.6572,0.00781344,0.472306,0.0560692,3.38927
88,0.328751,0,13.8,-13.8,0.0210376,0.19814,0.150965,1.42185
89,3.2266,0.10188,13.0689,-13.0689,0.0121013,0.241465,0.0868386,1.73275
90,0.889438,0.189544,12.4398,-12.4398,0.0722751,0.139033,0.518646,0.997697
91,7.8991,0.580793,9.63223,-9.63223,0.121853,3.49734,0.874414,25.0969
92,1.98602,0.113396,12.9863,-12.9863,0.174527,2.244,1.2524,16.103
