Realization Number,Raleigh Average Weekly Release Volume (MGW),Durham Average Weekly Buyback Volume (MGW),Total Realization Cost of Releases to Raleigh,Total Realization Cost of Releases to Durham,Raleigh Average Weekly Transfer Volume (MGW),Durham Average Weekly Transfer Volume (MGW),Total Realization Cost of Transfers to Raleigh,Total Realization Cost of Transfers to Durham
0,4.21213,0.340534,11.3563,-11.3563,0.15055,0.643406,1.08035,4.61708
1,4.36868,0.0530853,13.4191,-13.4191,0.024113,0.355546,0.173035,2.5514
2,2.12222,0.133272,12.8436,-12.8436,0,0.178822,0,1.28323
3,5.02274,0.238884,12.0858,-12.0858,0.0131735,0.177223,0.0945332,1.27175
4,8.84324,0.616226,9.37796,-9.37796,0.0951458,0.563868,0.682766,4.04632
5,2.57112,0.140525,12.7916,-12.7916,0.0193837,0.19347,0.139097,1.38834
6,6.81465,0.246593,12.0304,-12.0304,0.0549544,0.41364,0.394353,2.96828
7,3.55409,0.245177,12.0406,-12.0406,0.0688274,0.622598,0.493905,4.46776
8,5.07872,0.359459,11.2205,-11.2205,0.0639748,0.37376,0.459083,2.6821
9,10.1315,0.557285,9.80092,-9.80092,0.198635,0.634539,1.42541,4.55345
10,6.44703,0.316659,11.5277,-11.5277,0.0347826,0.162925,0.2496,1.16915
11,5.07693,0.321937,11.4898,-11.4898,0.0434689,0.179069,0.311933,1.285
12,7.73536,0.328284,11.4442,-11.4442,0,0.336623,0,2.41561
13,9.07687,0.39814,10.9429,-10.9429,0.129192,0.723478,0.927083,5.19168
14,6.00387,0.185798,12.4667,-12.4667,0.0324072,0.287412,0.232554,2.06247
15,13.4609,0.586489,9.59136,-9.59136,0.0540583,0.587226,0.387922,4.21394
16,5.28572,0.265426,11.8953,-11.8953,0.0524359,0.335133,0.37628,2.40491
17,13.065,0.755639,8.37753,-8.37753,0.159072,0.692921,1.1415,4.9724
18,7.91313,0.238884,12.0858,-12.0858,0.0129729,0.183833,0.0930937,1.31918
19,5.17035,0.345372,11.3216,-11.3216,0.0846795,0.0719525,0.60766,0.516331
20,3.41767,0.233073,12.1275,-12.1275,0.0270295,0.381493,0.193964,2.73759
21,4.53501,0.303566,11.6216,-11.6216,0.0599716,0.708777,0.430356,5.08618
22,4.00174,0.349886,11.2892,-11.2892,0.195188,0.699136,1.40067,5.017
23,2.48008,0.103016,13.0608,-13.0608,0.0135409,0.428036,0.0971694,3.07159
24,4.08077,0.238046,12.0918,-12.0918,0.0526397,0.194469,0.377742,1.39551
