Realization Number,Raleigh Average Weekly Release Volume (MGW),Durham Average Weekly Buyback Volume (MGW),Total Realization Cost of Releases to Raleigh,Total Realization Cost of Releases to Durham,Raleigh Average Weekly Transfer Volume (MGW),Durham Average Weekly Transfer Volume (MGW),Total Realization Cost of Transfers to Raleigh,Total Realization Cost of Transfers to Durham
0,3.99185,0.57407,9.68047,-9.68047,0.208024,0.856272,1.49278,6.14461
1,9.10182,0.830159,7.84278,-7.84278,0.0374245,0.57657,0.268558,4.13747
2,3.99293,0.353258,11.265,-11.265,0.00620048,0.139622,0.0444946,1.00192
3,7.79065,0.787405,8.14958,-8.14958,0.138733,0.990034,0.995551,7.10448
4,10.4039,0.897288,7.36106,-7.36106,0.164389,1.00408,1.17966,7.20529
5,8.17405,0.970585,6.83508,-6.83508,0.023202,0.440493,0.166497,3.16098
6,9.63843,1.11419,5.80454,-5.80454,0.0709026,0.752286,0.508797,5.3984
7,8.08274,0.770692,8.26951,-8.26951,0.06094,0.790696,0.437305,5.67404
8,5.45239,0.583938,9.60966,-9.60966,0.150469,0.762872,1.07976,5.47437
9,11.6512,1.20676,5.14027,-5.14027,0.507284,0.930577,3.64027,6.67782
10,9.99954,0.78643,8.15658,-8.15658,0.105759,0.356154,0.758924,2.55576
11,7.05164,0.821389,7.90571,-7.90571,0.0885911,0.593282,0.63573,4.25739
12,9.98495,0.782814,8.18252,-8.18252,0.0139053,0.531699,0.0997842,3.81548
13,11.1446,1.41107,3.67413,-3.67413,0.184751,1.20892,1.32578,8.67523
14,7.11713,0.562996,9.75994,-9.75994,0.0369641,0.535193,0.265255,3.84055
15,16.5944,1.7846,0.99368,-0.99368,0.0799765,1.06439,0.573911,7.63804
16,7.07693,0.766747,8.29782,-8.29782,0.10711,0.685155,0.768622,4.91667
17,13.8947,1.54149,2.73825,-2.73825,0.266099,0.776593,1.90953,5.57283
18,9.80747,1.00635,6.57842,-6.57842,0.0129729,0.287653,0.0930937,2.0642
19,7.3159,1.46831,3.26342,-3.26342,0.110709,0.0983156,0.794447,0.705512
20,6.36608,0.818041,7.92974,-7.92974,0.0998057,0.525329,0.716206,3.76976
21,7.67249,1.1392,5.6251,-5.6251,0.181021,1.04202,1.29901,7.47754
22,6.18948,0.548561,9.86353,-9.86353,0.311527,1.3055,2.23552,9.36827
23,4.2437,0.807409,8.00603,-8.00603,0,0.556573,0,3.99397
24,6.89775,0.4995,10.2156,-10.2156,0.0756391,0.343583,0.542787,2.46555
25,12.5283,1.4739,3.22331,-3.22331,0.367861,0.943198,2.63977,6.76839
26,9.58377,1.32896,4.2634,-4.2634,0.183736,0.720567,1.31849,5.17079
27,11.0398,1.03925,6.34233,-6.34233,0.20854,1.15243,1.49648,8.26985
28,8.72454,0.738012,8.50403,-8.50403,0.127669,0.613375,0.916152,4.40158
29,14.2318,1.46454,3.29044,-3.29044,0.235124,1.09492,1.68725,7.85716
30,9.19013,1.22321,5.02227,-5.02227,0.0539561,0.911118,0.387189,6.53818
31,7.33963,0.58914,9.57233,-9.57233,0.0884954,1.23554,0.635043,8.86627
32,11.0029,1.13,5.69109,-5.69109,0.232822,0.478483,1.67073,3.4336
33,7.90299,1.05153,6.2542,-6.2542,0.0429285,0.63385,0.308055,4.54851
34,4.66372,1.28663,4.56713,-4.56713,0.0688465,0.366827,0.494043,2.63235
35,7.08823,0.769429,8.27858,-8.27858,0.128509,0.652038,0.92218,4.67902
36,4.12577,0.438924,10.6503,-10.6503,0.0351829,0.505491,0.252472,3.6274
37,7.29434,0.791921,8.11717,-8.11717,0.223595,0.857239,1.60452,6.15154
38,13.2726,1.37704,3.91836,-3.91836,0.143342,0.866162,1.02862,6.21558
39,5.01544,0.565296,9.74344,-9.74344,0.0569532,0.301557,0.408696,2.16397
40,8.83584,0.758237,8.35889,-8.35889,0.101883,0.789672,0.731115,5.66669
41,6.06238,0.738542,8.50022,-8.50022,0.0745443,0.430141,0.53493,3.08669
42,4.02483,0.716951,8.65516,-8.65516,0.195509,0.610214,1.40298,4.3789
43,9.02781,0.890622,7.40889,-7.40889,0.0637815,0.397433,0.457696,2.85198
44,6.54444,0.525434,10.0295,-10.0295,0.101915,0.771236,0.73134,5.53439
45,10.6129,0.928604,7.13634,-7.13634,0.09272,0.363794,0.665359,2.61058
46,4.73175,0.541305,9.9156,-9.9156,0.105243,0.413503,0.755227,2.96729
47,8.85925,1.3037,4.44463,-4.44463,0.0773431,0.633393,0.555014,4.54523
48,7.46644,0.655353,9.09719,-9.09719,0.0263933,0.26596,0.189399,1.90853
49,5.97242,0.435831,10.6725,-10.6725,0.0424699,0.512949,0.304764,3.68092
50,5.75109,0.840846,7.76609,-7.76609,0.0908579,0.408585,0.651996,2.932
51,8.94117,0.859986,7.62874,-7.62874,0.324389,1.11014,2.32782,7.96634
52,11.5404,1.25661,4.78259,-4.78259,0.153704,0.422171,1.10298,3.0295
53,13.6678,1.59256,2.3718,-2.3718,0.160102,1.10526,1.14889,7.93135
54,11.5287,1.14388,5.59151,-5.59151,0.066384,0.728014,0.476372,5.22423
55,18.3543,1.80217,0.867656,-0.867656,0.154723,0.94875,1.11029,6.80823
56,3.4545,0.494966,10.2481,-10.2481,0.135836,0.766772,0.974756,5.50236
57,6.86426,1.01064,6.54764,-6.54764,0.00913365,0.459409,0.0655431,3.29672
58,8.15526,0.847654,7.71724,-7.71724,0.316638,1.52518,2.27219,10.9447
59,13.1503,1.49782,3.05162,-3.05162,0.161447,0.823548,1.15855,5.90978
60,10.7107,0.910256,7.268,-7.268,0.01566,0.332825,0.112376,2.38835
61,9.53288,0.738974,8.49712,-8.49712,0.206537,0.448795,1.48211,3.22055
62,5.49392,0.872237,7.54083,-7.54083,0.0360059,0.487083,0.258378,3.49531
63,11.9003,0.989421,6.69992,-6.69992,0.0699847,0.447258,0.50221,3.20952
64,3.12555,0.768438,8.28569,-8.28569,0.0454123,0.709578,0.325879,5.09194
65,5.78379,0.875133,7.52004,-7.52004,0.0852868,0.759132,0.612018,5.44753
66,5.27047,0.708259,8.71754,-8.71754,0.214069,1.35941,1.53616,9.75515
67,3.80337,0.411716,10.8455,-10.8455,0.126877,0.553535,0.910472,3.97217
68,7.30072,0.567927,9.72456,-9.72456,0.0398218,0.564549,0.285761,4.05121
69,15.2124,1.45556,3.35489,-3.35489,0.0365881,0.617119,0.262556,4.42844
70,9.16862,1.20056,5.18481,-5.18481,0.0198544,0.85745,0.142475,6.15306
71,8.25692,1.17877,5.34118,-5.34118,0.162311,0.952552,1.16475,6.83551
