Realization Number,Raleigh Average Weekly Release Volume (MGW),Durham Average Weekly Buyback Volume (MGW),Total Realization Cost of Releases to Raleigh,Total Realization Cost of Releases to Durham,Raleigh Average Weekly Transfer Volume (MGW),Durham Average Weekly Transfer Volume (MGW),Total Realization Cost of Transfers to Raleigh,Total Realization Cost of Transfers to Durham
0,3.82122,0.546311,9.87967,-9.87967,0.208027,0.787948,1.4928,5.65431
1,4.32454,0.106407,13.0364,-13.0364,0.0325347,0.547027,0.233469,3.92546
2,2.06915,0.292527,11.7008,-11.7008,0,0.264829,0,1.90041
3,4.77326,0.364668,11.1831,-11.1831,0.0268956,0.361076,0.193003,2.59108
4,8.05126,1.18337,5.30812,-5.30812,0.168946,0.629463,1.21235,4.51703
5,2.49479,0.263037,11.9124,-11.9124,0.0229654,0.386946,0.1648,2.77672
6,5.67907,0.411367,10.848,-10.848,0.070839,0.745623,0.508341,5.35059
7,3.4572,0.468882,10.4353,-10.4353,0.0838789,0.751484,0.601915,5.39265
8,5.01269,0.664861,9.02896,-9.02896,0.117583,0.610726,0.843777,4.38257
9,9.44859,1.024,6.4518,-6.4518,0.452902,0.849358,3.25002,6.095
10,5.9125,0.585034,9.60179,-9.60179,0.0827849,0.267132,0.594064,1.91694
11,4.93682,0.639753,9.20914,-9.20914,0.0882395,0.347127,0.633207,2.49099
12,7.18678,0.605722,9.45334,-9.45334,0.0225184,0.515648,0.161592,3.70029
13,8.29815,0.910984,7.26278,-7.26278,0.173409,1.04805,1.24438,7.52084
14,5.60917,0.413971,10.8293,-10.8293,0.0348156,0.53145,0.249836,3.81368
15,12.0297,1.04985,6.26627,-6.26627,0.066474,0.924249,0.477018,6.63241
16,5.16979,0.6743,8.96123,-8.96123,0.12381,0.680972,0.888462,4.88666
17,12.026,1.4621,3.30798,-3.30798,0.273613,0.922804,1.96344,6.62204
18,6.35199,0.424884,10.751,-10.751,0.0129729,0.32403,0.0930937,2.32524
19,5.03318,0.663547,9.03839,-9.03839,0.113175,0.0801879,0.812142,0.575428
20,2.98659,0.431264,10.7052,-10.7052,0.0756379,0.433822,0.542777,3.11311
21,4.48512,0.583965,9.60946,-9.60946,0.184493,1.04918,1.32392,7.52891
22,3.8959,0.854735,7.66642,-7.66642,0.248993,1.04253,1.78677,7.48123
23,2.39966,0.223877,12.1935,-12.1935,0.0847806,0.478452,0.608386,3.43337
24,3.92018,0.491196,10.2752,-10.2752,0.0591854,0.309739,0.424715,2.22269
25,8.29746,1.30555,4.43138,-4.43138,0.290727,0.965714,2.08625,6.92997
26,8.66013,1.8293,0.672955,-0.672955,0.150135,0.585284,1.07737,4.19999
27,6.77219,0.583938,9.60966,-9.60966,0.132555,0.477405,0.951218,3.42586
28,4.66544,0.422103,10.771,-10.771,0.104252,0.439654,0.748115,3.15496
29,6.68985,0.838221,7.78493,-7.78493,0.159925,0.879973,1.14762,6.31468
30,3.67642,0.69396,8.82014,-8.82014,0.0238822,0.759683,0.171379,5.45149
31,5.64675,0.49504,10.2476,-10.2476,0.0839187,1.13145,0.602201,8.11929
32,6.55137,0.756155,8.37383,-8.37383,0.257994,0.384636,1.85136,2.76015
33,5.26342,0.416865,10.8086,-10.8086,0.048638,0.526387,0.349026,3.77735
34,3.24061,0.517355,10.0875,-10.0875,0.0701741,0.248767,0.503569,1.78515
35,5.92723,0.635626,9.23875,-9.23875,0.0545065,0.542528,0.391139,3.89318
36,3.68396,0.332999,11.4104,-11.4104,0.0335471,0.337422,0.240734,2.42134
37,7.19958,1.06328,6.16987,-6.16987,0.233968,0.857034,1.67895,6.15008
38,10.3587,1.17939,5.33667,-5.33667,0.138841,0.773325,0.996322,5.54938
39,2.37593,0.296501,11.6723,-11.6723,0.0569532,0.216807,0.408696,1.55581
40,3.59358,0.373206,11.1219,-11.1219,0.0609014,0.568691,0.437028,4.08093
41,3.29339,0.460031,10.4988,-10.4988,0.0718397,0.266868,0.515521,1.91504
42,3.43894,0.503139,10.1895,-10.1895,0.20649,0.649213,1.48177,4.65875
43,6.03401,0.500543,10.2081,-10.2081,0.0662824,0.324652,0.475642,2.3297
44,1.91887,0.265426,11.8953,-11.8953,0.101914,0.613251,0.731336,4.40069
45,6.36144,0.516485,10.0937,-10.0937,0.0905643,0.355101,0.649889,2.5482
46,3.04816,0.28779,11.7348,-11.7348,0.0934207,0.364939,0.670387,2.6188
47,5.50784,0.355535,11.2487,-11.2487,0.0251299,0.350938,0.180332,2.51833
48,3.07086,0.268084,11.8762,-11.8762,0.0263933,0.246733,0.189399,1.77055
49,1.95159,0.280484,11.7872,-11.7872,0.0315584,0.467595,0.226463,3.35546
50,3.45937,0.23457,12.1167,-12.1167,0.0920509,0.355857,0.660558,2.55363
51,2.3653,0.326805,11.4548,-11.4548,0.267607,0.86619,1.92035,6.21578
