Realization Number,Raleigh Average Weekly Release Volume (MGW),Durham Average Weekly Buyback Volume (MGW),Total Realization Cost of Releases to Raleigh,Total Realization Cost of Releases to Durham,Raleigh Average Weekly Transfer Volume (MGW),Durham Average Weekly Transfer Volume (MGW),Total Realization Cost of Transfers to Raleigh,Total Realization Cost of Transfers to Durham
0,8.05012,1.02503,6.4444,-6.4444,0.15055,0.690218,1.08035,4.953
1,12.7022,0.656833,9.08656,-9.08656,0.00923786,0.299097,0.0662909,2.14632
2,6.05239,0.496771,10.2352,-10.2352,0,0.135476,0,0.972178
3,13.4497,1.39517,3.78824,-3.78824,0.0777676,0.711028,0.55806,5.10233
4,13.3844,1.08959,5.98112,-5.98112,0.113082,0.759854,0.811476,5.45271
5,11.3546,0.834569,7.81113,-7.81113,0.0193787,0.273,0.139062,1.95905
6,12.8605,1.39162,3.8137,-3.8137,0.0549545,0.404142,0.394354,2.90012
7,10.8527,0.864564,7.59589,-7.59589,0.0720217,0.725119,0.516828,5.20345
8,10.5409,1.34617,4.13985,-4.13985,0.0517767,0.463755,0.371549,3.3279
9,19.4013,1.73678,1.33686,-1.33686,0.195271,0.726228,1.40126,5.21141
10,13.2829,0.873415,7.53237,-7.53237,0.015667,0.204093,0.112426,1.46457
11,9.75526,1.29033,4.54057,-4.54057,0.0599893,0.350996,0.430483,2.51875
12,15.9278,1.26344,4.73354,-4.73354,0,0.329594,0,2.36517
13,17.6933,2.37644,-3.25335,3.25335,0.184346,0.981579,1.32286,7.04381
14,11.5748,0.955253,6.9451,-6.9451,0.0323001,0.287519,0.231785,2.06324
15,25.5307,1.85202,0.509899,-0.509899,0.07369,0.896235,0.528799,6.43138
16,11.0637,1.13873,5.62847,-5.62847,0.0715878,0.446725,0.513714,3.2057
17,24.4137,2.42173,-3.57831,3.57831,0.125016,0.606889,0.897117,4.35504
18,12.5252,0.795037,8.09481,-8.09481,0.0129729,0.21891,0.0930937,1.5709
19,12.1211,1.66878,1.82484,-1.82484,0.0579947,0.13403,0.41617,0.961802
20,10.1579,0.822562,7.89729,-7.89729,0.033986,0.453999,0.243884,3.2579
21,13.3254,1.04336,6.31287,-6.31287,0.0665322,0.898568,0.477435,6.44812
22,10.2969,1.08275,6.03019,-6.03019,0.127627,0.931936,0.915851,6.68757
23,8.3668,1.20393,5.16063,-5.16063,0.0135409,0.429551,0.0971694,3.08246
24,10.1931,0.814021,7.95859,-7.95859,0.035268,0.223733,0.253083,1.6055
25,20.3342,2.32149,-2.85901,2.85901,0.176484,0.828837,1.26645,5.94773
26,16.3348,2.41649,-3.54073,3.54073,0.0847646,0.505341,0.608271,3.62632
27,17.3411,1.17209,5.38911,-5.38911,0.0559129,0.755998,0.401231,5.42504
28,12.1271,1.07155,6.11054,-6.11054,0.0662425,0.413275,0.475356,2.96566
29,17.8305,1.61253,2.22846,-2.22846,0.10914,1.05264,0.783189,7.55378
30,14.499,1.15157,5.53636,-5.53636,0.0144446,0.620864,0.103654,4.45532
31,11.709,1.33711,4.20493,-4.20493,0.0802417,0.988477,0.575815,7.09331
32,15.9469,1.30101,4.46395,-4.46395,0.0453558,0.414966,0.325473,2.9778
33,12.0308,1.32355,4.30221,-4.30221,0.0216787,0.585595,0.155566,4.20223
34,8.88928,1.55692,2.62754,-2.62754,0.00711376,0.176662,0.0510484,1.26773
35,12.682,0.885791,7.44356,-7.44356,0.0431397,0.421798,0.309571,3.02682
36,7.24408,0.792467,8.11326,-8.11326,0.00875733,0.270686,0.0628426,1.94244
37,13.3366,1.83423,0.637555,-0.637555,0.258962,0.681977,1.85831,4.89387
38,21.3671,1.93011,-0.050458,0.050458,0.145731,0.676598,1.04576,4.85527
39,9.19707,0.874333,7.52579,-7.52579,0.0536554,0.0999026,0.385031,0.716901
40,11.4762,0.870072,7.55636,-7.55636,0.0420492,0.642239,0.301745,4.60871
41,10.1285,0.936238,7.08156,-7.08156,0.0724019,0.260695,0.519556,1.87075
42,7.72543,1.11357,5.80899,-5.80899,0.0958013,0.501551,0.68747,3.59913
43,13.3393,1.02503,6.4444,-6.4444,0.0461432,0.159468,0.331124,1.14434
44,9.22011,0.716057,8.66158,-8.66158,0.0563665,0.567438,0.404486,4.07194
45,15.167,0.838261,7.78464,-7.78464,0.0800422,0.275674,0.574383,1.97824
46,7.20893,0.765491,8.30684,-8.30684,0.0823028,0.23581,0.590605,1.69217
47,13.0556,1.35207,4.09755,-4.09755,0.0239733,0.236325,0.172033,1.69587
48,12.5592,0.711584,8.69367,-8.69367,0.00712529,0.178574,0.0511311,1.28145
49,8.29741,0.757757,8.36233,-8.36233,0.0353902,0.341828,0.25396,2.45295
50,7.78725,0.576659,9.6619,-9.6619,0.0204455,0.292269,0.146717,2.09732
51,11.5116,1.15977,5.4775,-5.4775,0.295282,0.967739,2.11895,6.9445
52,15.7793,1.31689,4.35001,-4.35001,0.0717367,0.300237,0.514783,2.1545
53,18.3668,1.56224,2.58934,-2.58934,0.0861168,0.693575,0.617974,4.9771
54,15.4267,1.40227,3.73729,-3.73729,0.0497788,0.473579,0.357213,3.3984
55,24.4125,2.2558,-2.38762,2.38762,0.0873302,0.474377,0.626681,3.40413
56,6.0368,0.660206,9.06236,-9.06236,0.086231,0.514129,0.618794,3.68939
57,9.44609,0.632194,9.26338,-9.26338,0.00650127,0.337691,0.0466531,2.42327
58,11.3523,1.08314,6.02741,-6.02741,0.253407,1.18343,1.81845,8.4923
59,19.4613,1.42824,3.55093,-3.55093,0.15247,0.505677,1.09413,3.62874
60,14.3634,1.33389,4.22803,-4.22803,0.00679179,0.274912,0.0487379,1.97277
61,15.5549,1.27684,4.6374,-4.6374,0.103632,0.302033,0.74366,2.16739
62,6.74861,0.431481,10.7037,-10.7037,0.0185514,0.337349,0.133125,2.42082
63,16.5025,1.51607,2.92067,-2.92067,0.0360581,0.206793,0.258753,1.48394
64,5.14423,0.907708,7.28629,-7.28629,0.0149821,0.476656,0.107512,3.42048
65,10.3497,0.969097,6.84576,-6.84576,0.0285937,0.386473,0.205188,2.77333
66,8.24132,0.825351,7.87728,-7.87728,0.143904,1.02298,1.03265,7.34092
67,6.38018,0.522611,10.0497,-10.0497,0.055626,0.455817,0.399172,3.27094
68,12.2687,1.06599,6.15049,-6.15049,0.0428012,0.416378,0.307141,2.98793
69,16.9453,1.53,2.82071,-2.82071,0.0355192,0.524995,0.254886,3.76737
70,15.4645,1.80472,0.849293,-0.849293,0.0187019,0.545137,0.134205,3.9119
71,14.5857,2.05784,-0.96705,0.96705,0.0502853,0.688042,0.360848,4.93739
72,8.61397,1.22549,5.00586,-5.00586,0.0427585,0.159248,0.306835,1.14276
73,15.084,1.56134,2.59583,-2.59583,0.0233612,0.143238,0.16764,1.02788
74,10.1532,0.586584,9.59067,-9.59067,0.0747522,0.168909,0.536422,1.21209
75,13.4266,1.04567,6.29624,-6.29624,0.161492,0.712829,1.15887,5.11526
76,9.97059,1.24145,4.89134,-4.89134,0,0.17587,0,1.26204
77,7.80446,0.917463,7.21628,-7.21628,0,0.25595,0,1.8367
78,11.5727,0.621257,9.34186,-9.34186,0.00112735,0.411424,0.00808989,2.95238
79,12.0183,0.718467,8.64428,-8.64428,0.00572737,0.283794,0.0410996,2.0365
80,18.0167,1.54792,2.69214,-2.69214,0.115838,0.364188,0.831251,2.61341
81,22.4966,1.70011,1.60004,-1.60004,0.167054,0.393875,1.19878,2.82645
82,17.1412,1.36873,3.97799,-3.97799,0.00991917,0.575102,0.07118,4.12693
83,13.6791,1.79534,0.916643,-0.916643,0.102439,0.330124,0.735099,2.36897
84,8.91735,0.822882,7.895,-7.895,0.0367483,0.512045,0.263706,3.67444
