Realization Number,Raleigh Average Weekly Release Volume (MGW),Durham Average Weekly Buyback Volume (MGW),Total Realization Cost of Releases to Raleigh,Total Realization Cost of Releases to Durham,Raleigh Average Weekly Transfer Volume (MGW),Durham Average Weekly Transfer Volume (MGW),Total Realization Cost of Transfers to Raleigh,Total Realization Cost of Transfers to Durham
69,8.5039,0.77836,8.21449,-8.21449,0.0350369,0.523434,0.251424,3.75616
70,8.16983,0.638319,9.21942,-9.21942,0.0189222,0.627532,0.135786,4.50317
71,9.75126,1.35666,4.06458,-4.06458,0.117263,0.770519,0.841481,5.52924
72,5.88377,0.721233,8.62443,-8.62443,0.0953142,0.260074,0.683975,1.86629
73,7.92887,0.863268,7.60519,-7.60519,0.0261917,0.157875,0.187951,1.13291
74,6.33165,0.536335,9.95126,-9.95126,0.0858209,0.228663,0.615851,1.64089
75,3.63205,0.530853,9.9906,-9.9906,0.128983,0.433946,0.925584,3.114
76,4.72533,0.901759,7.32898,-7.32898,0,0.380932,0,2.73357
77,3.64521,0.707686,8.72165,-8.72165,0,0.310397,0,2.22741
78,5.61192,0.501795,10.1991,-10.1991,0.0610497,0.292387,0.438092,2.09817
79,7.01758,0.477768,10.3715,-10.3715,0.040988,0.37982,0.29413,2.72559
80,11.363,0.85542,7.6615,-7.6615,0.163306,0.387209,1.17188,2.77861
81,13.3635,0.957655,6.92787,-6.92787,0.138798,0.340467,0.996014,2.44319
82,8.05436,0.734928,8.52616,-8.52616,0.0373474,0.68806,0.268005,4.93752
83,7.45185,0.692305,8.83202,-8.83202,0.11042,0.340703,0.792376,2.44488
84,1.78845,0.295178,11.6818,-11.6818,0.0269803,0.474102,0.193611,3.40215
85,7.40095,0.871365,7.54709,-7.54709,0.0962962,0.316827,0.691022,2.27355
86,2.78844,0.336135,11.3879,-11.3879,0.0126787,0.193125,0.0909826,1.38587
87,4.59456,0.284845,11.756,-11.756,0.00413835,0.308976,0.0296968,2.21721
88,2.83553,0.265426,11.8953,-11.8953,0.021037,0.19729,0.150961,1.41575
89,7.29584,0.684868,8.88539,-8.88539,0,0.199424,0,1.43107
90,3.60821,0.359766,11.2183,-11.2183,0.0463136,0.101974,0.332346,0.731766
91,12.1846,1.26267,4.73908,-4.73908,0.101331,0.843143,0.727151,6.0504
92,3.62595,0.460787,10.4934,-10.4934,0.121505,0.563573,0.871919,4.0442
93,8.54762,0.834187,7.81388,-7.81388,0.0907501,0.270439,0.651223,1.94067
94,8.65895,0.805956,8.01646,-8.01646,0.111248,0.724004,0.798316,5.19545
95,3.4594,0.3919,10.9877,-10.9877,0.0651598,0.26496,0.467587,1.90136
96,10.7327,0.822111,7.90053,-7.90053,0.0805025,0.765229,0.577686,5.49128
97,3.61828,0.254857,11.9711,-11.9711,0.110924,0.130093,0.79599,0.933548
98,2.94534,0.33219,11.4162,-11.4162,0.00438964,0.307556,0.0315001,2.20702
99,3.25462,0.622328,9.33418,-9.33418,0.152687,0.592256,1.09568,4.25003
