Realization Number,Raleigh Average Weekly Release Volume (MGW),Durham Average Weekly Buyback Volume (MGW),Total Realization Cost of Releases to Raleigh,Total Realization Cost of Releases to Durham,Raleigh Average Weekly Transfer Volume (MGW),Durham Average Weekly Transfer Volume (MGW),Total Realization Cost of Transfers to Raleigh,Total Realization Cost of Transfers to Durham
0,4.33738,0,13.8,-13.8,0.15055,0.643406,1.08035,4.61708
1,4.42176,0,13.8,-13.8,0.024113,0.355546,0.173035,2.5514
2,2.14932,0,13.8,-13.8,0,0.198265,0,1.42275
3,5.07994,0,13.8,-13.8,0.0131735,0.187517,0.0945332,1.34562
4,9.07409,0,13.8,-13.8,0.0951458,0.570975,0.682766,4.09732
5,2.64294,0,13.8,-13.8,0.0193837,0.19347,0.139097,1.38834
6,6.73952,0,13.8,-13.8,0.0549309,0.413663,0.394184,2.96845
7,3.15249,0,13.8,-13.8,0.0688274,0.622598,0.493906,4.46776
8,5.1736,0,13.8,-13.8,0.0639749,0.37376,0.459084,2.6821
9,10.3126,0,13.8,-13.8,0.198635,0.651134,1.42541,4.67253
10,6.59261,0,13.8,-13.8,0.0306267,0.150549,0.219777,1.08034
11,5.18383,0,13.8,-13.8,0.0533823,0.19739,0.383071,1.41647
12,7.88751,0,13.8,-13.8,0,0.336623,0,2.41561
13,9.18267,0,13.8,-13.8,0.129192,0.740312,0.927083,5.31248
14,6.16496,0,13.8,-13.8,0.0324072,0.287412,0.232554,2.06247
15,13.5883,0,13.8,-13.8,0.0540583,0.587226,0.387922,4.21394
16,5.36718,0,13.8,-13.8,0.0524359,0.335133,0.37628,2.40491
17,13.0384,0,13.8,-13.8,0.161669,0.722185,1.16013,5.1824
18,7.94303,0,13.8,-13.8,0.0129729,0.183833,0.0930937,1.31918
19,5.3339,0,13.8,-13.8,0.0845697,0.0762118,0.606872,0.546896
20,3.49357,0,13.8,-13.8,0.026934,0.381588,0.193279,2.73828
21,4.80857,0,13.8,-13.8,0.0669996,0.738371,0.480789,5.29855
22,4.19448,0,13.8,-13.8,0.197262,0.761329,1.41555,5.4633
23,2.58487,0,13.8,-13.8,0.0135409,0.428036,0.0971695,3.07159
24,4.1355,0,13.8,-13.8,0.0526397,0.194469,0.377742,1.39551
25,8.73679,0,13.8,-13.8,0.146843,0.737506,1.05374,5.29234
26,8.62498,0,13.8,-13.8,0.144167,0.345293,1.03454,2.47782
27,7.66493,0,13.8,-13.8,0.131553,0.291635,0.944027,2.09277
28,4.98501,0,13.8,-13.8,0.0486406,0.313423,0.349045,2.24912
29,7.48786,0,13.8,-13.8,0.103887,0.84054,0.745493,6.03171
30,3.7958,0,13.8,-13.8,0.0146411,0.452485,0.105065,3.24703
31,5.50016,0,13.8,-13.8,0.0653438,0.834628,0.468907,5.98929
32,9.0685,0,13.8,-13.8,0.124878,0.273328,0.896125,1.9614
33,5.76905,0,13.8,-13.8,0.0219413,0.37736,0.157451,2.70793
34,3.16013,0,13.8,-13.8,0.00711376,0.156283,0.0510484,1.12148
35,6.4808,0,13.8,-13.8,0.0412865,0.361476,0.296272,2.59395
36,3.98975,0,13.8,-13.8,0.0033057,0.148333,0.0237217,1.06444
37,7.73232,0,13.8,-13.8,0.232797,0.696936,1.67055,5.00121
38,10.5542,0,13.8,-13.8,0.148133,0.603844,1.063,4.33318
39,2.61203,0,13.8,-13.8,0.0536554,0.0730397,0.385031,0.524133
40,4.5623,0,13.8,-13.8,0.0285942,0.351644,0.205192,2.52339
41,3.48765,0,13.8,-13.8,0.0681456,0.172086,0.489013,1.23489
42,3.67527,0,13.8,-13.8,0.162274,0.495224,1.16448,3.55373
43,5.58187,0,13.8,-13.8,0.0507915,0.125557,0.364479,0.900999
44,2.02533,0,13.8,-13.8,0.0563667,0.447426,0.404487,3.21073
45,6.6837,0,13.8,-13.8,0.0937297,0.264062,0.672604,1.89491
46,3.34059,0,13.8,-13.8,0.070578,0.199698,0.506468,1.43303
47,5.59645,0,13.8,-13.8,0.00421449,0.135545,0.0302432,0.97267
48,3.22221,0,13.8,-13.8,0.00712529,0.153902,0.0511311,1.1044
49,2.11461,0,13.8,-13.8,0.0353902,0.292348,0.25396,2.09789
50,3.84132,0,13.8,-13.8,0.0426062,0.239694,0.305742,1.72005
51,3.26117,0,13.8,-13.8,0.166298,0.59741,1.19335,4.28701
52,7.34685,0,13.8,-13.8,0.0684648,0.171832,0.491303,1.23307
53,7.20633,0,13.8,-13.8,0.00765357,0.451036,0.054922,3.23663
54,8.88321,0,13.8,-13.8,0.05682,0.328005,0.407741,2.35377
55,13.0464,0,13.8,-13.8,0.137896,0.461672,0.989539,3.31296
56,2.65515,0,13.8,-13.8,0.0666654,0.344455,0.478391,2.47181
57,2.38094,0,13.8,-13.8,0.000460575,0.217732,0.00330508,1.56244
58,5.78277,0,13.8,-13.8,0.198754,0.935386,1.42626,6.71233
59,8.88579,0,13.8,-13.8,0.119971,0.450526,0.860912,3.23298
60,5.7517,0,13.8,-13.8,0.014258,0.206892,0.102316,1.48466
61,7.74027,0,13.8,-13.8,0.117775,0.299153,0.845155,2.14672
62,1.12856,0,13.8,-13.8,0.0145803,0.228682,0.104628,1.64102
63,8.12999,0,13.8,-13.8,0.0348709,0.164175,0.250233,1.17812
64,1.31264,0,13.8,-13.8,0.0353541,0.456284,0.253701,3.27429
65,3.49868,0,13.8,-13.8,0.00275077,0.307254,0.0197395,2.20485
66,3.0378,0,13.8,-13.8,0.057202,0.585127,0.410482,4.19887
67,3.1032,0,13.8,-13.8,0,0.328224,0,2.35533
68,6.71842,0,13.8,-13.8,0.0428012,0.351044,0.307141,2.51909
69,9.78314,0,13.8,-13.8,0.0325384,0.355814,0.233496,2.55332
70,6.36016,0,13.8,-13.8,0.0426884,0.679266,0.306332,4.87441
71,7.70436,0,13.8,-13.8,0.0587855,0.669754,0.421845,4.80616
72,4.46119,0,13.8,-13.8,0.0427476,0.155979,0.306757,1.11931
73,5.78206,0,13.8,-13.8,0.0262177,0.143096,0.188138,1.02686
74,5.39377,0,13.8,-13.8,0.0976408,0.161413,0.70067,1.1583
75,3.4511,0,13.8,-13.8,0.1254,0.42247,0.89987,3.03165
76,5.07538,0,13.8,-13.8,0,0.115268,0,0.82716
77,2.76117,0,13.8,-13.8,0,0.207519,0,1.48915
78,4.4864,0,13.8,-13.8,0.00112735,0.267113,0.00808989,1.9168
79,6.20965,0,13.8,-13.8,0.0264744,0.217218,0.18998,1.55876
80,9.46339,0,13.8,-13.8,0.104309,0.217502,0.748521,1.56079
81,12.0962,0,13.8,-13.8,0.106921,0.315609,0.767267,2.26481
82,7.43903,0,13.8,-13.8,0.0245231,0.561847,0.175978,4.03181
83,6.00669,0,13.8,-13.8,0.101548,0.232867,0.728709,1.67105
84,1.69842,0,13.8,-13.8,0.012864,0.279881,0.0923124,2.00842
85,6.80344,0,13.8,-13.8,0.0873607,0.200336,0.6269,1.43761
86,2.64284,0,13.8,-13.8,0,0.0615436,0,0.441637
87,4.39453,0,13.8,-13.8,0.00660339,0.217748,0.0473859,1.56256
88,3.00377,0,13.8,-13.8,0.0288418,0.163117,0.206969,1.17052
89,5.02768,0,13.8,-13.8,0.00490597,0.164371,0.0352053,1.17953
90,3.68159,0,13.8,-13.8,0.0423457,0.096695,0.303873,0.693884
91,10.9874,0,13.8,-13.8,0.0495848,0.512782,0.35582,3.67973
92,3.09554,0,13.8,-13.8,0.099831,0.462674,0.716388,3.32015
93,7.16185,0,13.8,-13.8,0.0923647,0.273993,0.662809,1.96617
94,7.50269,0,13.8,-13.8,0.0690301,0.565371,0.49536,4.0571
95,2.67955,0,13.8,-13.8,0,0.143254,0,1.02799
96,9.01809,0,13.8,-13.8,0.0602555,0.547375,0.432393,3.92796
97,3.24645,0,13.8,-13.8,0.105047,0.087968,0.753816,0.631258
98,3.26925,0,13.8,-13.8,0,0.193269,0,1.3869
99,2.79032,0,13.8,-13.8,0.151207,0.521093,1.08506,3.73937
