Realization Number,Raleigh Average Weekly Release Volume (MGW),Durham Average Weekly Buyback Volume (MGW),Total Realization Cost of Releases to Raleigh,Total Realization Cost of Releases to Durham,Raleigh Average Weekly Transfer Volume (MGW),Durham Average Weekly Transfer Volume (MGW),Total Realization Cost of Transfers to Raleigh,Total Realization Cost of Transfers to Durham
0,5.88494,0.668018,9.0063,-9.0063,0.15055,0.737777,1.08035,5.29429
1,11.3904,0.776906,8.22492,-8.22492,0.0312128,0.51323,0.223983,3.68294
2,4.67686,0.475906,10.3849,-10.3849,0,0.218397,0,1.56722
3,10.4889,0.966283,6.86595,-6.86595,0.105606,0.911234,0.757831,6.53901
4,12.6286,1.14689,5.56995,-5.56995,0.211046,1.01589,1.51447,7.28999
5,10.1566,0.996105,6.65195,-6.65195,0.0655667,0.499918,0.470507,3.58741
6,11.0871,1.05816,6.20665,-6.20665,0.0549309,0.448619,0.394184,3.21929
7,10.437,0.638182,9.2204,-9.2204,0.0834596,0.848282,0.598906,6.08727
8,7.35326,0.83464,7.81062,-7.81062,0.0927791,0.616024,0.665783,4.42059
9,13.325,1.57985,2.46302,-2.46302,0.265821,0.780241,1.90753,5.59901
10,12.047,0.747271,8.43759,-8.43759,0.0492859,0.267053,0.353675,1.91637
11,8.8662,0.8313,7.83459,-7.83459,0.0601731,0.565177,0.431802,4.05571
12,12.5704,0.999305,6.62899,-6.62899,0,0.408281,0,2.92982
13,13.0108,1.46898,3.2586,-3.2586,0.194587,1.0979,1.39636,7.87856
14,9.41754,0.616086,9.37897,-9.37897,0.0324072,0.352329,0.232554,2.52832
15,20.5312,1.92289,0.00131029,-0.00131029,0.0737957,0.948333,0.529558,6.80524
16,8.9126,1.25449,4.79781,-4.79781,0.100309,0.547809,0.719814,3.93108
17,17.8478,2.08305,-1.14795,1.14795,0.159072,0.768752,1.1415,5.51656
18,11.923,0.981349,6.75784,-6.75784,0.0129729,0.218396,0.0930937,1.56721
19,9.20833,1.23396,4.9451,-4.9451,0.10445,0.135818,0.749536,0.974631
20,9.3265,0.775851,8.23249,-8.23249,0.0543572,0.723432,0.390068,5.19134
21,9.56939,1.06821,6.13454,-6.13454,0.179882,1.06769,1.29083,7.66172
22,8.17107,0.727613,8.57865,-8.57865,0.264274,1.07379,1.89643,7.7055
23,6.66589,0.99877,6.63283,-6.63283,0.0135409,0.473906,0.0971697,3.40075
24,8.58022,0.778823,8.21116,-8.21116,0.0631615,0.290082,0.453247,2.08163
25,15.3593,1.97742,-0.389958,0.389958,0.256579,1.02273,1.84121,7.3391
26,12.5015,1.71623,1.48437,-1.48437,0.164962,0.611302,1.18377,4.3867
27,14.3018,1.29089,4.53659,-4.53659,0.225021,0.949587,1.61475,6.81423
28,10.585,0.740987,8.48267,-8.48267,0.0779306,0.504724,0.55923,3.6219
29,15.0564,1.51412,2.93467,-2.93467,0.134773,1.36324,0.967133,9.78262
30,10.8952,1.47066,3.24658,-3.24658,0.0144446,0.736693,0.103654,5.28651
31,8.7579,0.882364,7.46815,-7.46815,0.0946035,1.06232,0.678875,7.62319
32,12.5106,1.3435,4.15906,-4.15906,0.0609298,0.554991,0.437232,3.98261
33,10.6917,0.723904,8.60527,-8.60527,0.0229234,0.614173,0.164498,4.40731
34,6.40713,1.52645,2.8462,-2.8462,0.031043,0.306936,0.222765,2.20257
35,11.2789,0.964543,6.87844,-6.87844,0.0994124,0.57284,0.713383,4.1107
36,5.54667,0.530853,9.9906,-9.9906,0.0105187,0.425808,0.0754824,3.0556
37,8.67144,0.910577,7.2657,-7.2657,0.208295,0.732642,1.49473,5.25744
38,17.2948,1.67467,1.78259,-1.78259,0.162134,0.741015,1.16347,5.31752
39,6.09456,0.500997,10.2048,-10.2048,0.0536554,0.22219,0.385031,1.59444
40,10.4974,0.910727,7.26462,-7.26462,0.105642,0.762379,0.75809,5.47083
41,7.65753,0.806132,8.0152,-8.0152,0.0724019,0.391613,0.519556,2.81022
42,6.17975,1.0128,6.53217,-6.53217,0.120745,0.490754,0.866464,3.52165
43,11.4006,1.00741,6.5708,-6.5708,0.0461775,0.332153,0.331369,2.38353
44,8.54126,0.619424,9.35502,-9.35502,0.0563667,0.636697,0.404488,4.56894
45,12.6984,0.991252,6.68677,-6.68677,0.0947599,0.277741,0.679997,1.99307
46,6.37446,0.507917,10.1552,-10.1552,0.0703027,0.288191,0.504492,2.06806
47,10.295,0.854427,7.66863,-7.66863,0.0318444,0.54497,0.228516,3.91071
48,10.1357,1.02896,6.41617,-6.41617,0.00712529,0.185394,0.0511311,1.33039
49,7.19706,0.457027,10.5204,-10.5204,0.0353902,0.411613,0.25396,2.95373
50,6.35935,0.424682,10.7525,-10.7525,0.0336914,0.313663,0.24177,2.25084
51,10.2773,0.819941,7.9161,-7.9161,0.351384,1.20444,2.52153,8.64307
52,14.043,1.10513,5.8696,-5.8696,0.0716857,0.312277,0.514416,2.2409
53,15.5723,1.3277,4.27243,-4.27243,0.199324,1.10046,1.43035,7.89691
54,13.0273,1.21253,5.0989,-5.0989,0.0735553,0.574196,0.527833,4.12043
55,22.2337,1.7796,1.02955,-1.02955,0.20586,1.06278,1.47725,7.62653
56,4.98017,0.490026,10.2836,-10.2836,0.10338,0.649736,0.741856,4.66251
57,7.39241,0.635704,9.23819,-9.23819,0.00913395,0.441087,0.0655452,3.16524
58,9.53463,0.76407,8.31704,-8.31704,0.286697,1.39074,2.05734,9.97996
59,15.2384,1.22118,5.03681,-5.03681,0.152471,0.62536,1.09413,4.48758
60,12.7602,0.974105,6.80983,-6.80983,0.0144217,0.310635,0.10349,2.22912
61,11.9466,1.1891,5.26705,-5.26705,0.183709,0.456444,1.3183,3.27544
62,6.25514,0.262884,11.9135,-11.9135,0.126851,0.538173,0.910281,3.86193
63,12.692,0.962356,6.89414,-6.89414,0.0353518,0.246852,0.253684,1.77141
64,3.73946,0.935498,7.08687,-7.08687,0.0416066,0.450031,0.298569,3.22943
65,9.51046,0.979197,6.77328,-6.77328,0.0690233,0.749905,0.495311,5.38132
66,7.32023,0.443073,10.6205,-10.6205,0.168241,1.20887,1.2073,8.67484
67,4.73459,0.53763,9.94196,-9.94196,0.0531781,0.507418,0.381606,3.64123
68,10.0892,0.852158,7.68491,-7.68491,0.0427635,0.455989,0.306871,3.27218
69,16.0976,1.31716,4.34809,-4.34809,0.088621,0.668413,0.635945,4.79653
70,12.4926,1.47715,3.19997,-3.19997,0.0502067,0.893429,0.360283,6.41125
71,10.0972,1.47558,3.21124,-3.21124,0.0964255,0.892836,0.691949,6.40699
72,6.01133,0.874803,7.52241,-7.52241,0.0618869,0.199614,0.4441,1.43243
73,11.8238,1.54515,2.71202,-2.71202,0.0262163,0.162064,0.188128,1.16297
74,9.12204,0.777801,8.2185,-8.2185,0.127154,0.255057,0.912456,1.83029
75,11.5761,1.24203,4.88716,-4.88716,0.163686,0.95206,1.17461,6.83198
76,6.88983,0.613612,9.39672,-9.39672,0,0.237929,0,1.70738
77,6.82832,0.786767,8.15416,-8.15416,0,0.286399,0,2.0552
78,10.617,0.643697,9.18083,-9.18083,0.0569889,0.56782,0.408952,4.07467
79,9.72997,0.658608,9.07383,-9.07383,0.0184179,0.300062,0.132167,2.15325
80,15.4208,1.21912,5.05157,-5.05157,0.142374,0.467955,1.02167,3.35804
81,19.4597,1.65659,1.91232,-1.91232,0.167495,0.633442,1.20195,4.54558
82,14.6426,1.38494,3.86171,-3.86171,0.0346312,0.686242,0.248513,4.92447
83,9.46524,0.962124,6.8958,-6.8958,0.101802,0.368927,0.730528,2.64742
84,8.29292,0.65946,9.06771,-9.06771,0.0367484,0.540327,0.263706,3.87738
85,12.8658,1.47691,3.20169,-3.20169,0.111044,0.585956,0.796854,4.20482
86,5.20042,0.828819,7.8524,-7.8524,0.0517309,0.376561,0.371221,2.70221
