Realization Number,Raleigh Average Weekly Release Volume (MGW),Durham Average Weekly Buyback Volume (MGW),Total Realization Cost of Releases to Raleigh,Total Realization Cost of Releases to Durham,Raleigh Average Weekly Transfer Volume (MGW),Durham Average Weekly Transfer Volume (MGW),Total Realization Cost of Transfers to Raleigh,Total Realization Cost of Transfers to Durham
0,4.80183,0,13.8,-13.8,0.15055,0.62473,1.08035,4.48306
1,4.68914,0,13.8,-13.8,0.00961784,0.202488,0.0690176,1.45305
2,2.9205,0,13.8,-13.8,0,0.135476,0,0.972177
3,5.9922,0,13.8,-13.8,0.0190891,0.170238,0.136984,1.22163
4,9.09617,0,13.8,-13.8,0.0864316,0.523419,0.620234,3.75605
5,3.42813,0,13.8,-13.8,0.0206732,0.159829,0.148351,1.14693
6,7.86994,0,13.8,-13.8,0.0351646,0.303844,0.252341,2.18039
7,4.01276,0,13.8,-13.8,0.043133,0.510728,0.309523,3.66498
8,6.5691,0,13.8,-13.8,0.0310891,0.25706,0.223096,1.84466
9,12.7048,0,13.8,-13.8,0.200826,0.583913,1.44113,4.19016
10,6.70819,0,13.8,-13.8,0.0305603,0.150616,0.219301,1.08082
11,6.12986,0,13.8,-13.8,0.036783,0.086929,0.263955,0.623802
12,8.4062,0,13.8,-13.8,0,0.268259,0,1.92503
13,11.0633,0,13.8,-13.8,0.0816373,0.451228,0.585829,3.23801
14,7.22925,0,13.8,-13.8,0.0322586,0.238342,0.231488,1.71034
15,12.7589,0,13.8,-13.8,0.0539546,0.519772,0.387178,3.72989
16,6.56412,0,13.8,-13.8,0.043599,0.291602,0.312867,2.09254
17,17.0152,0,13.8,-13.8,0.138602,0.534453,0.994606,3.83524
18,8.75625,0,13.8,-13.8,0.0129729,0.101037,0.0930937,0.72504
19,6.20307,0,13.8,-13.8,0.0340081,0.122623,0.244042,0.879944
20,3.7539,0,13.8,-13.8,0.0008129,0.299161,0.00583337,2.14678
21,5.48629,0,13.8,-13.8,0.05353,0.747975,0.384131,5.36747
22,5.29449,0,13.8,-13.8,0.179839,0.633101,1.29052,4.54313
23,3.03411,0,13.8,-13.8,0.0135409,0.387798,0.0971692,2.78284
24,5.00678,0,13.8,-13.8,0.0247462,0.172173,0.177578,1.23551
25,11.5095,0,13.8,-13.8,0.138239,0.540563,0.992,3.87908
26,12.5968,0,13.8,-13.8,0.0858476,0.318737,0.616042,2.28725
27,10.1242,0,13.8,-13.8,0.0538478,0.25491,0.386412,1.82923
28,5.93792,0,13.8,-13.8,0.0195015,0.298791,0.139943,2.14412
29,8.51873,0,13.8,-13.8,0.0738401,0.676616,0.529876,4.8554
30,5.3278,0,13.8,-13.8,0.0146411,0.405707,0.105065,2.91135
31,7.40875,0,13.8,-13.8,0.0730869,0.833039,0.524472,5.97789
32,8.42425,0,13.8,-13.8,0.0814075,0.208875,0.58418,1.49888
33,6.53266,0,13.8,-13.8,0.0214484,0.411261,0.153914,2.95121
34,3.59993,0,13.8,-13.8,0.00711376,0.156283,0.0510484,1.12148
35,7.00705,0,13.8,-13.8,0.0411238,0.304082,0.295105,2.18209
36,4.76745,0,13.8,-13.8,0.0033057,0.104368,0.0237217,0.748942
37,10.4318,0,13.8,-13.8,0.232441,0.669765,1.668,4.80623
38,12.3398,0,13.8,-13.8,0.147947,0.55642,1.06167,3.99287
39,3.6626,0,13.8,-13.8,0.0536554,0.0730397,0.385031,0.524133
40,5.30266,0,13.8,-13.8,0.0285942,0.343763,0.205192,2.46685
41,4.14624,0,13.8,-13.8,0.0681456,0.13998,0.489013,1.00449
42,4.78406,0,13.8,-13.8,0.0963621,0.477548,0.691494,3.42689
43,7.30947,0,13.8,-13.8,0.0468501,0.110945,0.336196,0.79614
44,2.16692,0,13.8,-13.8,0.0316765,0.360931,0.227311,2.59004
45,7.59206,0,13.8,-13.8,0.0726804,0.23967,0.521554,1.71988
46,4.23948,0,13.8,-13.8,0.0704486,0.16343,0.505539,1.17277
47,6.69639,0,13.8,-13.8,0.00421449,0.0888595,0.0302432,0.637656
48,3.74227,0,13.8,-13.8,0.00712529,0.147261,0.0511311,1.05674
49,2.37664,0,13.8,-13.8,0.0353902,0.292348,0.25396,2.09789
50,4.71887,0,13.8,-13.8,0.0337509,0.248549,0.242196,1.78359
51,3.10397,0,13.8,-13.8,0.148933,0.494657,1.06875,3.54966
